Created,9/24/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,1/21/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,American Indian or Alaska Native Age 3 to 5,Asian or Pacific Islander Age 3 to 5,Black (not Hispanic) Age 3 to 5,Hispanic Age 3 to 5,White (not Hispanic) Age 3 to 5,Age 3-5 Ethnicity Totals,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 6 to 21,American Indian or Alaska Native Age 6 to 21,Asian or Pacific Islander Age 6 to 21,Black (not Hispanic) Age 6 to 21,Hispanic Age 6 to 21,White (not Hispanic) Age 6 to 21,Age 6-21 Ethnicity Totals,Age 22,Age 6 to 22,Age 3-21 Totals
2006,Alabama                                           ,Emotional disturbance              ,0,0,         x,         x,0,0,0,0,         x,         x,13,38,85,103,125,150,514,203,196,234,251,213,135,"1,232",71,24,11,8,114,"1,860",         x,         x,705,16,"1,129","1,860",0,"1,860",         x
2006,Alabama                                           ,Orthopedic impairments             ,17,24,22,63,         x,0,23,         x,37,63,35,46,50,56,52,55,294,57,43,58,48,33,42,281,30,10,5,0,45,620,         x,         x,184,12,417,620,0,620,683
2006,Alabama                                           ,Other health impairments           ,26,20,47,93,0,0,         x,         x,73,93,103,212,336,513,521,562,"2,247",657,673,638,628,551,436,"3,583",248,41,         x,         x,299,"6,129",41,11,"1,894",64,"4,119","6,129",0,"6,129","6,222"
2006,Alabama                                           ,Specific learning disabilities     ,         x,         x,11,17,0,0,9,0,8,17,113,606,"1,584","2,566","3,215","3,645","11,729","3,899","4,379","4,649","4,837","4,345","3,703","25,812","2,286",534,119,29,"2,968","40,509",282,110,"19,196",872,"20,049","40,509",0,"40,509","40,526"
2006,Alabama                                           ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,         x,0,0,         x,0,         x,         x,0,0,0,0,         x,         x,0,         x,         x
2006,Alabama                                           ,Multiple disabilities              ,32,32,36,100,0,0,40,6,54,100,45,66,93,107,103,125,539,101,118,118,101,98,100,636,85,57,59,10,211,"1,386",9,17,564,29,767,"1,386",0,"1,386","1,486"
2006,Alabama                                           ,Autism                             ,45,56,94,195,         x,         x,52,         x,136,195,146,193,228,223,207,219,"1,216",162,173,162,146,106,87,836,52,35,32,7,126,"2,178",17,20,747,27,"1,367","2,178",0,"2,178","2,373"
2006,Alabama                                           ,Traumatic brain injury             ,         x,         x,9,16,0,0,         x,0,         x,16,         x,         x,12,         x,15,15,         x,         x,28,33,         x,34,         x,         x,         x,8,         x,         x,37,         x,         x,0,90,         x,         x,         x,0,263,         x
2006,Alabama                                           ,Developmental delay                ,528,741,987,"2,256",         x,         x,858,76,"1,298","2,256",960,859,530,0,0,0,"2,349",0,0,0,0,0,0,0,0,0,0,0,0,"2,349",11,22,989,50,"1,277","2,349",0,"2,349","4,605"
2006,Alabama                                           ,All disabilities                   ,"1,420","2,490","4,116","8,026",30,69,"2,515",155,"5,257","8,026","5,176","5,452","5,857","6,180","6,130","6,365","35,160","6,516","6,969","7,285","7,383","6,714","5,787","40,654","3,655","1,046",388,84,"5,173","80,987",517,319,"34,899","1,490","43,762","80,987",         x,         x,"89,013"
2006,Alaska                                            ,Mental retardation                 ,         x,0,         x,         x,         x,0,0,0,         x,         x,         x,         x,23,41,53,44,183,46,55,60,66,82,64,373,62,31,35,21,149,705,272,53,40,32,308,705,0,705,         x
2006,Alaska                                            ,Hearing impairments                ,         x,         x,         x,7,         x,         x,0,0,         x,7,15,13,14,15,13,12,82,12,9,11,12,11,6,61,12,5,0,0,17,160,40,17,         x,         x,90,160,0,160,167
2006,Alaska                                            ,Speech or language impairments     ,105,179,284,568,219,7,19,20,303,568,552,507,471,394,341,220,"2,485",111,102,77,55,40,46,431,17,         x,         x,0,22,"2,938","1,139",162,100,103,"1,434","2,938",0,"2,938","3,506"
2006,Alaska                                            ,Visual impairments                 ,0,         x,         x,         x,         x,0,         x,0,         x,         x,         x,6,         x,         x,5,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,         x,0,         x,35,8,         x,         x,         x,         x,35,0,35,         x
2006,Alaska                                            ,Emotional disturbance              ,0,0,0,0,0,0,0,0,0,0,5,16,36,40,56,69,222,74,68,84,83,74,71,454,36,9,         x,         x,50,726,218,14,76,22,396,726,0,         x,726
2006,Alaska                                            ,Orthopedic impairments             ,         x,         x,         x,5,         x,         x,0,0,         x,5,8,6,8,6,         x,         x,         x,9,8,8,         x,         x,         x,         x,         x,0,0,0,         x,72,19,         x,         x,         x,44,72,0,72,77
2006,Alaska                                            ,Other health impairments           ,         x,         x,10,22,7,0,0,0,15,22,33,53,84,120,147,168,605,174,189,173,158,149,123,966,61,11,         x,         x,81,"1,652",473,58,109,63,949,"1,652",0,"1,652","1,674"
2006,Alaska                                            ,Specific learning disabilities     ,         x,9,         x,19,         x,0,         x,         x,14,19,41,246,454,703,680,750,"2,874",760,746,709,770,731,589,"4,305",275,72,13,6,366,"7,545","2,640",281,471,342,"3,811","7,545",0,"7,545","7,564"
2006,Alaska                                            ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,         x,         x,0,0,0,0,         x,         x,         x,         x,         x,         x,         x,         x,0,0,0,0,0,10,5,         x,0,0,         x,10,0,         x,10
2006,Alaska                                            ,Multiple disabilities              ,6,         x,         x,14,         x,0,0,0,         x,14,18,14,14,24,21,20,111,23,30,44,34,35,26,192,31,26,21,14,92,395,153,14,18,7,203,395,0,395,409
2006,Alaska                                            ,Autism                             ,         x,11,         x,23,         x,         x,0,         x,19,23,28,34,44,47,43,44,240,32,39,44,35,19,17,186,10,9,         x,         x,28,454,62,25,18,26,323,454,0,454,477
2006,Alaska                                            ,Traumatic brain injury             ,0,0,         x,         x,         x,0,0,0,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,7,         x,6,12,10,         x,         x,         x,6,0,11,68,19,         x,         x,         x,39,68,0,68,         x
2006,Alaska                                            ,Developmental delay                ,296,487,538,"1,321",363,66,63,72,757,"1,321",416,379,218,0,0,0,"1,013",0,0,0,0,0,0,0,0,0,0,0,0,"1,013",375,48,69,50,471,"1,013",0,"1,013","2,334"
2006,Alaska                                            ,All disabilities                   ,429,709,849,"1,987",610,76,84,97,"1,120","1,987","1,128","1,290","1,371","1,394","1,366","1,337","7,886","1,249","1,256","1,221","1,225","1,158",958,"7,067",510,169,93,48,820,"15,773","5,423",680,913,662,"8,095","15,773",0,"15,773","17,760"
2006,American Samoa                                    ,Mental retardation                 ,         x,0,         x,         x,0,         x,0,0,0,         x,0,         x,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,5,26,         x,         x,0,         x,         x,26,0,0,         x
2006,American Samoa                                    ,Hearing impairments                ,0,0,0,0,0,0,         x,0,0,0,         x,0,         x,         x,         x,         x,9,         x,         x,         x,         x,0,         x,7,0,0,         x,         x,0,16,0,16,0,0,0,16,         x,0,16
2006,American Samoa                                    ,Speech or language impairments     ,         x,22,         x,48,0,48,0,0,0,48,5,         x,         x,         x,         x,         x,17,         x,         x,         x,0,         x,0,9,0,0,         x,         x,0,26,         x,         x,0,0,         x,26,         x,0,74
2006,American Samoa                                    ,Visual impairments                 ,0,0,         x,0,0,         x,0,         x,0,0,0,0,0,         x,0,0,         x,         x,         x,0,0,0,         x,         x,0,0,         x,         x,0,         x,0,         x,         x,0,0,         x,0,0,         x
2006,American Samoa                                    ,Emotional disturbance              ,         x,         x,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0
2006,American Samoa                                    ,Orthopedic impairments             ,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,0,         x,         x,0,0,0,0,0,         x,0,0,         x,         x,0,         x,0,         x,0,         x,         x,         x,         x,0,         x
2006,American Samoa                                    ,Other health impairments           ,0,0,         x,         x,0,         x,0,0,0,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,0,0,0,0,         x
2006,American Samoa                                    ,Specific learning disabilities     ,         x,         x,12,18,0,18,0,0,0,18,16,45,66,89,108,114,438,115,135,90,73,51,37,501,         x,         x,         x,0,18,957,0,         x,0,0,         x,957,0,0,975
2006,American Samoa                                    ,Deaf-blindness                     ,         x,         x,0,         x,0,0,0,         x,0,         x,0,         x,         x,         x,         x,         x,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,0,0,0,         x,         x,0,11
2006,American Samoa                                    ,Multiple disabilities              ,         x,         x,         x,9,0,         x,         x,0,0,9,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,         x,0,         x,0,0,         x,25,0,25,0,0,0,25,0,0,34
2006,American Samoa                                    ,Autism                             ,0,0,0,0,         x,0,         x,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,         x,0,0,0,0,0,         x,0,         x,0,0,0,         x,0,0,         x
2006,American Samoa                                    ,Traumatic brain injury             ,         x,         x,         x,         x,0,0,0,         x,0,         x,         x,         x,0,0,         x,0,0,0,0,         x,0,         x,0,0,0,         x,0,         x,0,0,0,0,         x,0,0,0,0,0,         x
2006,American Samoa                                    ,Developmental delay                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,0
2006,American Samoa                                    ,All disabilities                   ,23,29,26,78,         x,         x,0,0,0,78,25,53,75,99,116,121,489,126,145,98,81,59,43,552,16,         x,         x,0,27,"1,068",0,"1,060",0,0,8,"1,068",0,0,"1,146"
2006,Arizona                                           ,Mental retardation                 ,0,0,324,324,15,7,28,158,116,324,506,555,548,585,586,650,"3,430",659,689,683,668,677,585,"3,961",472,346,244,169,"1,231","8,622",673,136,749,"3,817","3,247","8,622",0,0,"8,946"
2006,Arizona                                           ,Hearing impairments                ,         x,99,         x,264,17,11,8,111,117,264,129,134,130,183,144,177,897,147,153,172,141,127,95,835,46,17,7,5,75,"1,807",151,66,65,788,737,"1,807",0,0,"2,071"
2006,Arizona                                           ,Speech or language impairments     ,0,         x,         x,"3,215",192,56,150,"1,327","1,490","3,215","4,733","4,479","3,618","2,875","2,072","1,375","19,152",788,445,248,134,85,62,"1,762",19,         x,         x,0,23,"20,937","1,219",459,987,"7,839","10,433","20,937",0,0,"24,152"
2006,Arizona                                           ,Visual impairments                 ,86,62,45,193,17,         x,         x,62,101,193,         x,49,59,63,         x,52,311,40,38,45,54,39,36,252,         x,         x,         x,         x,22,585,70,16,29,210,260,585,0,0,778
2006,Arizona                                           ,Emotional disturbance              ,0,0,92,92,         x,         x,10,24,52,92,189,293,429,494,633,680,"2,718",780,826,930,931,823,709,"4,999",306,80,21,13,420,"8,137",458,68,847,"1,677","5,087","8,137",0,0,"8,229"
2006,Arizona                                           ,Orthopedic impairments             ,0,         x,         x,57,         x,0,         x,23,28,57,67,58,72,62,54,61,374,51,41,43,         x,30,         x,230,24,8,         x,         x,37,641,29,12,35,214,351,641,0,0,698
2006,Arizona                                           ,Other health impairments           ,0,0,107,107,         x,         x,7,36,58,107,230,317,419,502,572,630,"2,670",673,665,555,519,414,328,"3,154",131,33,         x,         x,174,"5,998",231,73,447,"1,346","3,901","5,998",0,0,"6,105"
2006,Arizona                                           ,Specific learning disabilities     ,0,         x,         x,297,30,5,20,145,97,297,756,"1,724","3,165","4,397","5,633","6,038","21,713","6,354","6,305","6,031","5,749","5,375","4,738","34,552","2,132",465,107,65,"2,769","59,034","5,522",494,"3,868","25,228","23,922","59,034",0,0,"59,331"
2006,Arizona                                           ,Deaf-blindness                     ,         x,0,         x,12,         x,         x,0,         x,         x,12,         x,         x,8,8,         x,5,29,7,6,6,         x,6,         x,29,         x,9,         x,         x,16,74,5,0,5,27,37,74,0,0,86
2006,Arizona                                           ,Multiple disabilities              ,0,0,68,68,6,         x,         x,30,27,68,121,153,159,159,174,175,941,186,169,174,192,183,159,"1,063",121,98,56,45,320,"2,324",257,44,140,856,"1,027","2,324",0,0,"2,392"
2006,Arizona                                           ,Autism                             ,0,         x,         x,364,11,15,27,121,190,364,454,441,416,390,351,325,"2,377",322,260,290,215,171,127,"1,385",98,59,51,31,239,"4,001",102,142,235,925,"2,597","4,001",0,0,"4,365"
2006,Arizona                                           ,Traumatic brain injury             ,0,0,8,8,         x,0,         x,         x,         x,8,         x,         x,19,25,42,29,157,41,32,27,50,47,47,244,29,13,6,5,53,454,41,6,24,149,234,454,0,0,462
2006,Arizona                                           ,Developmental delay                ,"3,047","4,755","1,237","9,039",405,206,396,"3,428","4,604","9,039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,039"
2006,Arizona                                           ,All disabilities                   ,"3,205","4,932","5,903","14,040",707,310,663,"5,474","6,886","14,040","7,255","8,228","9,042","9,743","10,304","10,197","54,769","10,048","9,629","9,204","8,692","7,977","6,916","52,466","3,396","1,133",506,344,"5,379","112,614","8,758","1,516","7,431","43,076","51,833","112,614",0,0,"126,654"
2006,Arkansas                                          ,Mental retardation                 ,0,0,135,135,0,0,48,10,77,135,238,301,422,478,591,644,"2,674",799,769,906,969,"1,036","1,040","5,519",588,112,         x,         x,733,"8,926",49,35,"3,849",334,"4,659","8,926",0,"8,926","9,061"
2006,Arkansas                                          ,Hearing impairments                ,11,23,34,68,0,         x,11,         x,49,68,35,44,40,35,44,53,251,50,56,46,49,42,45,288,         x,         x,0,0,36,575,         x,         x,113,57,387,575,0,575,643
2006,Arkansas                                          ,Speech or language impairments     ,644,"1,349","2,413","4,406",30,32,791,174,"3,379","4,406","2,980","2,571","2,079","1,444","1,008",689,"10,771",388,297,207,166,133,90,"1,281",33,         x,         x,         x,38,"12,090",99,127,"2,456",650,"8,758","12,090",0,"12,090","16,496"
2006,Arkansas                                          ,Visual impairments                 ,5,         x,         x,9,0,0,         x,0,         x,9,13,         x,23,16,         x,23,94,15,28,25,16,19,9,112,14,         x,         x,0,20,226,         x,         x,48,7,164,226,0,226,235
2006,Arkansas                                          ,Emotional disturbance              ,0,0,         x,         x,0,0,0,0,         x,         x,7,20,26,51,47,66,217,51,95,92,121,85,83,527,39,         x,         x,0,42,786,         x,         x,162,23,590,786,0,786,         x
2006,Arkansas                                          ,Orthopedic impairments             ,11,17,9,37,         x,         x,12,         x,22,37,17,         x,14,         x,24,16,         x,         x,15,18,15,21,         x,         x,         x,         x,0,0,         x,190,         x,         x,35,9,142,190,0,190,227
2006,Arkansas                                          ,Other health impairments           ,14,17,69,100,0,0,         x,         x,78,100,159,288,473,570,663,706,"2,859",803,829,819,847,870,686,"4,854",286,38,5,0,329,"8,042",51,22,"1,608",169,"6,192","8,042",0,"8,042","8,142"
2006,Arkansas                                          ,Specific learning disabilities     ,0,0,60,60,         x,0,8,         x,43,60,205,461,948,"1,356","1,717","1,955","6,642","2,087","2,313","2,456","2,620","2,582","2,386","14,444","1,275",180,         x,         x,"1,482","22,568",203,96,"5,882","1,437","14,950","22,568",0,"22,568","22,628"
2006,Arkansas                                          ,Deaf-blindness                     ,0,0,         x,         x,0,0,0,0,         x,         x,0,0,         x,0,         x,         x,         x,0,         x,0,0,0,         x,         x,0,0,         x,0,         x,10,0,0,         x,         x,5,10,0,10,         x
2006,Arkansas                                          ,Multiple disabilities              ,31,25,63,119,         x,         x,31,11,74,119,87,101,97,114,98,107,604,117,91,99,106,93,86,592,55,29,         x,         x,99,"1,295",7,6,354,53,875,"1,295",0,"1,295","1,414"
2006,Arkansas                                          ,Autism                             ,36,50,109,195,         x,         x,29,13,148,195,106,148,139,145,152,131,821,142,116,143,125,88,89,703,41,11,5,0,57,"1,581",13,23,240,45,"1,260","1,581",0,"1,581","1,776"
2006,Arkansas                                          ,Traumatic brain injury             ,0,         x,         x,         x,0,0,0,0,         x,         x,5,         x,         x,         x,15,         x,         x,         x,         x,14,13,18,13,         x,12,         x,         x,0,20,155,         x,         x,         x,         x,112,155,0,155,         x
2006,Arkansas                                          ,Developmental delay                ,"2,425","3,361",769,"6,555",12,28,"2,310",457,"3,748","6,555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,555"
2006,Arkansas                                          ,All disabilities                   ,"3,177","4,846","3,666","11,689",47,68,"3,260",683,"7,631","11,689","3,852","3,964","4,269","4,228","4,374","4,402","25,089","4,476","4,622","4,825","5,047","4,987","4,536","28,493","2,379",389,85,9,"2,862","56,444",442,334,"14,785","2,789","38,094","56,444",0,"56,444","68,133"
2006,BIE schools                                       ,Mental retardation                 ,0,0,         x,         x,         x,0,0,0,0,         x,         x,15,         x,27,25,36,122,40,31,41,36,36,20,204,32,6,         x,         x,44,370,         x,0,0,0,         x,370,0,0,         x
2006,BIE schools                                       ,Hearing impairments                ,0,0,0,0,0,0,0,0,0,0,5,5,         x,         x,         x,         x,         x,8,5,         x,0,         x,         x,         x,0,         x,0,0,         x,47,47,0,0,0,0,47,0,0,47
2006,BIE schools                                       ,Speech or language impairments     ,0,         x,         x,139,         x,0,         x,0,0,139,271,225,180,136,         x,         x,         x,71,37,22,13,         x,         x,         x,         x,0,0,0,         x,"1,150","1,143",         x,         x,0,         x,"1,150",0,0,"1,289"
2006,BIE schools                                       ,Visual impairments                 ,0,0,         x,         x,         x,0,0,0,0,         x,         x,         x,         x,         x,         x,0,         x,         x,         x,         x,         x,0,         x,         x,         x,0,0,0,         x,17,17,0,0,0,0,17,0,0,         x
2006,BIE schools                                       ,Emotional disturbance              ,0,0,         x,         x,         x,0,0,0,0,         x,         x,         x,10,24,31,33,110,46,52,61,40,54,24,277,11,5,0,0,16,403,         x,0,         x,0,0,405,0,0,         x
2006,BIE schools                                       ,Orthopedic impairments             ,0,0,         x,         x,         x,0,0,0,0,         x,0,         x,0,         x,         x,         x,         x,         x,0,         x,0,         x,         x,         x,0,0,0,0,0,         x,         x,0,0,0,0,         x,0,0,12
2006,BIE schools                                       ,Other health impairments           ,0,0,         x,5,5,0,0,0,0,5,         x,         x,17,24,42,35,142,37,45,25,36,         x,         x,203,         x,         x,0,0,15,360,354,0,         x,0,         x,360,0,0,365
2006,BIE schools                                       ,Specific learning disabilities     ,0,         x,         x,9,9,0,0,0,0,9,33,76,159,215,326,312,"1,121",386,423,397,416,358,399,"2,379",232,75,         x,         x,331,"3,831","3,815",         x,         x,0,15,"3,842",0,0,"3,840"
2006,BIE schools                                       ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,         x,0,0,         x,0,         x,         x,         x,0,0,0,0,         x,0,0,         x
2006,BIE schools                                       ,Multiple disabilities              ,0,0,         x,         x,         x,0,0,0,0,         x,         x,         x,10,12,9,8,46,13,10,16,18,10,17,84,11,         x,         x,         x,20,150,150,0,0,0,0,150,0,0,         x
2006,BIE schools                                       ,Autism                             ,0,         x,         x,5,         x,0,0,0,         x,5,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,0,         x,50,         x,0,0,0,         x,50,0,0,55
2006,BIE schools                                       ,Traumatic brain injury             ,0,0,0,0,0,0,0,0,0,0,         x,0,         x,         x,         x,         x,         x,         x,0,         x,0,         x,         x,         x,         x,0,0,         x,         x,25,         x,         x,0,0,0,25,0,0,25
2006,BIE schools                                       ,Developmental delay                ,0,         x,         x,64,64,0,0,0,0,64,88,65,76,41,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,270,270,0,0,0,0,270,0,270,334
2006,BIE schools                                       ,All disabilities                   ,0,7,227,234,232,0,         x,0,         x,234,430,417,475,491,540,522,"2,875",608,608,580,564,506,505,"3,371",306,94,28,10,438,"6,684","6,651",         x,         x,0,23,"6,697",0,0,"6,918"
2006,California                                        ,Mental retardation                 ,"1,074","1,293","1,643","4,010",26,375,350,"2,281",978,"4,010","1,967","2,039","2,200","2,302","2,453","2,669","13,630","2,766","2,971","3,089","3,030","3,159","2,932","17,947","2,322","1,775","1,495","1,252","6,844","38,421",334,"3,259","4,670","19,702","10,456","38,421",0,"38,421","42,431"
