year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7,Ethnicity,el_yes,el_no
2007,Alabama,Hearing impairments,915,11,8,367,37,492,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Speech or language impairments,15401,100,91,5213,290,9707,15401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Visual impairments,457,NA,NA,162,NA,272,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Emotional disturbance,1667,5,0,605,21,1036,1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Orthopedic impairments,597,NA,NA,183,13,393,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Other health impairments,6027,45,18,1829,71,4064,6027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Specific learning disabilities,38882,274,120,18416,905,19167,38882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Deaf-blindness,5,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Multiple disabilities,1286,6,13,531,26,710,1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Autism,2509,17,22,826,39,1605,2509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Traumatic brain injury,237,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Developmental delay,2465,12,23,1032,70,1328,2465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,All disabilities,77661,528,324,32989,1587,42233,77661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Mental retardation,6667,38,23,3387,102,3117,6667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Hearing impairments,919,8,8,379,38,486,919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Speech or language impairments,14295,92,94,4757,299,9053,14295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Visual impairments,447,NA,NA,155,NA,271,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Emotional disturbance,1527,NA,NA,585,21,913,1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Orthopedic impairments,619,NA,NA,196,16,398,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Other health impairments,6252,47,27,1893,70,4215,6252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Specific learning disabilities,37863,262,116,17841,972,18672,37863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Deaf-blindness,8,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Multiple disabilities,1388,7,11,583,27,760,1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Autism,2958,22,29,945,57,1905,2958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Traumatic brain injury,243,5,NA,86,NA,148,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Developmental delay,2596,13,18,1064,91,1410,2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,All disabilities,75782,513,337,31871,1705,41356,75782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,Mental retardation,6402,39,NA,3221,114,2998,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Hearing impairments,922,8,14,366,42,492,922,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Speech or language impairments,13693,91,96,4379,333,8794,13693,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Visual impairments,460,NA,NA,159,NA,281,460,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Emotional disturbance,1537,5,NA,592,18,921,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Orthopedic impairments,615,NA,NA,201,15,390,615,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Other health impairments,6865,54,33,2141,97,4540,6865,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Specific learning disabilities,37393,234,NA,17540,1056,18450,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Deaf-blindness,7,0,0,0,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Multiple disabilities,1348,7,9,547,33,752,1348,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Autism,3451,25,41,1065,67,2253,3451,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Traumatic brain injury,245,NA,NA,93,NA,142,245,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,Developmental delay,2801,18,19,1118,129,1517,2801,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2009,Alabama,All disabilities,75739,496,367,31422,1917,41537,75739,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2010,Alabama,Mental retardation,6121,NA,NA,NA,NA,NA,NA,118,34,27,3061,0,2873,NA,NA,NA,NA,NA
2010,Alabama,Hearing impairments,918,NA,NA,NA,NA,NA,NA,49,8,13,351,0,497,0,918,NA,NA,NA
2010,Alabama,Speech or language impairments,13229,NA,NA,NA,NA,NA,NA,392,77,97,4027,0,8590,46,13229,NA,NA,NA
2010,Alabama,Visual impairments,455,NA,NA,NA,NA,NA,NA,NA,6,NA,149,0,281,NA,455,NA,NA,NA
2010,Alabama,Emotional disturbance,1425,NA,NA,NA,NA,NA,NA,13,6,NA,542,0,854,7,NA,NA,NA,NA
2010,Alabama,Orthopedic impairments,599,NA,NA,NA,NA,NA,NA,16,NA,5,200,0,372,NA,599,NA,NA,NA
2010,Alabama,Other health impairments,7757,NA,NA,NA,NA,NA,NA,120,56,32,2570,0,4957,22,7757,NA,NA,NA
2010,Alabama,Specific learning disabilities,35987,NA,NA,NA,NA,NA,NA,1143,225,99,16718,NA,17729,70,NA,NA,NA,NA
2010,Alabama,Deaf-blindness,9,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,9,NA,NA,NA
2010,Alabama,Multiple disabilities,1310,NA,NA,NA,NA,NA,NA,43,5,10,516,NA,734,NA,1310,NA,NA,NA
2010,Alabama,Autism,3985,NA,NA,NA,NA,NA,NA,80,23,47,1177,NA,2648,NA,3985,NA,NA,NA
2010,Alabama,Traumatic brain injury,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,244,NA,NA,NA
2010,Alabama,Developmental delay,2755,NA,NA,NA,NA,NA,NA,142,16,19,1079,0,1486,13,2755,NA,NA,NA
2010,Alabama,All disabilities,74794,NA,NA,NA,NA,NA,NA,2129,462,359,30486,5,41169,184,74794,NA,NA,NA
2011,Alabama,Intellectual disabilities,5891,NA,NA,NA,NA,NA,NA,121,34,23,2968,NA,2727,17,NA,NA,NA,NA
2011,Alabama,Hearing impairments,897,NA,NA,NA,NA,NA,NA,44,10,12,330,0,492,9,897,NA,NA,NA
2011,Alabama,Speech or language impairments,13109,NA,NA,NA,NA,NA,NA,380,NA,115,3921,NA,8499,102,13109,NA,NA,NA
2011,Alabama,Visual impairments,448,NA,NA,NA,NA,NA,NA,16,NA,NA,145,0,274,NA,448,NA,NA,NA
2011,Alabama,Emotional disturbance,1347,NA,NA,NA,NA,NA,NA,15,5,NA,497,0,817,12,NA,NA,NA,NA
2011,Alabama,Orthopedic impairments,600,NA,NA,NA,NA,NA,NA,19,5,7,191,0,372,6,600,NA,NA,NA
2011,Alabama,Other health impairments,8072,NA,NA,NA,NA,NA,NA,120,71,NA,2743,NA,5025,69,8072,NA,NA,NA
2011,Alabama,Specific learning disabilities,33618,NA,NA,NA,NA,NA,NA,1077,248,100,15467,8,16571,147,33618,NA,NA,NA
2011,Alabama,Deaf-blindness,10,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA
2011,Alabama,Multiple disabilities,1294,NA,NA,NA,NA,NA,NA,42,6,11,504,0,726,5,1294,NA,NA,NA
2011,Alabama,Autism,4418,NA,NA,NA,NA,NA,NA,85,NA,48,1316,NA,2916,26,4418,NA,NA,NA
2011,Alabama,Traumatic brain injury,244,NA,NA,NA,NA,NA,NA,5,NA,NA,96,NA,NA,NA,244,NA,NA,NA
2011,Alabama,Developmental delay,2846,NA,NA,NA,NA,NA,NA,134,20,18,1119,0,1522,33,2846,NA,NA,NA
2011,Alabama,All disabilities,72794,NA,NA,NA,NA,NA,NA,2058,519,383,29297,17,40088,432,72794,NA,NA,NA
2012,Alabama,All Disabilities,72361,NA,NA,NA,NA,NA,NA,2358,513,376,28811,25,39628,650,NA,NA,0,70785
2012,Alabama,Autism,4915,NA,NA,NA,NA,NA,NA,119,30,50,1455,4,3207,50,NA,NA,NA,NA
2012,Alabama,Deaf-blindness,9,NA,NA,NA,NA,NA,NA,0,0,0,1,0,8,0,NA,NA,NA,NA
2012,Alabama,Developmental delay (valid only for children ages 3-9 when defined by state),2804,NA,NA,NA,NA,NA,NA,142,11,23,1158,1,1419,50,NA,NA,NA,NA
2012,Alabama,Emotional disturbance,1322,NA,NA,NA,NA,NA,NA,14,3,0,484,0,799,22,NA,NA,NA,NA
2012,Alabama,Hearing impairment,869,NA,NA,NA,NA,NA,NA,48,7,15,309,0,482,8,NA,NA,NA,NA
2012,Alabama,Intellectual disability,5942,NA,NA,NA,NA,NA,NA,143,37,28,3019,1,2689,25,NA,NA,NA,NA
2012,Alabama,Multiple disabilities,1272,NA,NA,NA,NA,NA,NA,48,6,9,494,0,708,7,NA,NA,NA,NA
2012,Alabama,Orthopedic impairment,582,NA,NA,NA,NA,NA,NA,20,5,6,178,0,366,7,NA,NA,NA,NA
2012,Alabama,Other health impairment,8763,NA,NA,NA,NA,NA,NA,151,69,38,3087,3,5310,105,NA,NA,NA,NA
2012,Alabama,Specific learning disability,32112,NA,NA,NA,NA,NA,NA,1183,244,100,14517,11,15847,210,NA,NA,NA,NA
2012,Alabama,Speech or language impairment,13084,NA,NA,NA,NA,NA,NA,472,93,97,3870,4,8392,156,NA,NA,NA,NA
2012,Alabama,Traumatic brain injury,220,NA,NA,NA,NA,NA,NA,3,3,2,92,1,118,1,NA,NA,NA,NA
2012,Alabama,Visual impairment,467,NA,NA,NA,NA,NA,NA,15,5,8,147,0,283,9,NA,NA,NA,NA
2013,Alabama,All Disabilities,73565,NA,NA,NA,NA,NA,NA,2751,535,404,28895,37,40049,894,NA,NA,1743,71822
2013,Alabama,Autism,5437,NA,NA,NA,NA,NA,NA,138,33,51,1622,6,3508,79,NA,NA,78,5359
2013,Alabama,Deaf-blindness,10,NA,NA,NA,NA,NA,NA,0,0,0,1,0,9,0,NA,NA,0,10
2013,Alabama,Developmental delay (valid only for children ages 3-9 when defined by state),2914,NA,NA,NA,NA,NA,NA,172,13,26,1169,2,1461,71,NA,NA,130,2784
2013,Alabama,Emotional disturbance,1322,NA,NA,NA,NA,NA,NA,20,6,1,495,0,776,24,NA,NA,5,1317
2013,Alabama,Hearing impairment,895,NA,NA,NA,NA,NA,NA,51,6,13,322,0,495,8,NA,NA,35,860
2013,Alabama,Intellectual disability,6104,NA,NA,NA,NA,NA,NA,165,38,31,3127,3,2702,38,NA,NA,128,5976
2013,Alabama,Multiple disabilities,1284,NA,NA,NA,NA,NA,NA,52,6,10,489,0,715,12,NA,NA,21,1263
2013,Alabama,Orthopedic impairment,566,NA,NA,NA,NA,NA,NA,24,4,9,165,0,357,7,NA,NA,12,554
2013,Alabama,Other health impairment,9447,NA,NA,NA,NA,NA,NA,193,67,35,3454,3,5555,140,NA,NA,93,9354
2013,Alabama,Specific learning disability,31647,NA,NA,NA,NA,NA,NA,1357,251,103,13986,18,15668,264,NA,NA,890,30757
2013,Alabama,Speech or language impairment,13227,NA,NA,NA,NA,NA,NA,558,104,114,3835,4,8374,238,NA,NA,339,12888
2013,Alabama,Traumatic brain injury,231,NA,NA,NA,NA,NA,NA,6,3,1,91,1,126,3,NA,NA,3,228
2013,Alabama,Visual impairment,481,NA,NA,NA,NA,NA,NA,15,4,10,139,0,303,10,NA,NA,9,472
2014,Alabama,All Disabilities,75204,NA,NA,NA,NA,NA,NA,3244,538,411,28815,47,40939,1210,NA,NA,1930,73274
2014,Alabama,Autism,5840,NA,NA,NA,NA,NA,NA,172,34,55,1720,5,3741,113,NA,NA,85,5755
2014,Alabama,Deaf-blindness,11,NA,NA,NA,NA,NA,NA,0,0,0,2,0,9,0,NA,NA,0,11
2014,Alabama,Developmental delay,3012,NA,NA,NA,NA,NA,NA,172,13,28,1196,2,1521,80,NA,NA,136,2876
2014,Alabama,Emotional disturbance,1308,NA,NA,NA,NA,NA,NA,28,6,0,531,0,724,19,NA,NA,8,1300
2014,Alabama,Hearing impairment,908,NA,NA,NA,NA,NA,NA,64,5,14,313,1,500,11,NA,NA,43,865
2014,Alabama,Intellectual disability,6217,NA,NA,NA,NA,NA,NA,210,33,30,3156,4,2726,58,NA,NA,168,6049
2014,Alabama,Multiple disabilities,1271,NA,NA,NA,NA,NA,NA,59,4,13,495,0,688,12,NA,NA,25,1246
2014,Alabama,Orthopedic impairment,565,NA,NA,NA,NA,NA,NA,28,4,11,166,0,345,11,NA,NA,15,550
2014,Alabama,Other health impairment,10163,NA,NA,NA,NA,NA,NA,247,78,38,3625,5,5979,191,NA,NA,102,10061
2014,Alabama,Specific learning disability,31860,NA,NA,NA,NA,NA,NA,1574,260,106,13566,21,15933,400,NA,NA,948,30912
2014,Alabama,Speech or language impairment,13315,NA,NA,NA,NA,NA,NA,662,91,103,3810,8,8338,303,NA,NA,387,12928
2014,Alabama,Traumatic brain injury,246,NA,NA,NA,NA,NA,NA,11,4,1,89,1,136,4,NA,NA,6,240
2014,Alabama,Visual impairment,488,NA,NA,NA,NA,NA,NA,17,6,12,146,0,299,8,NA,NA,7,481
2015,Alabama,All Disabilities,76910,NA,NA,NA,NA,NA,NA,3735,555,428,29067,47,41790,1288,NA,NA,2102,74808
2015,Alabama,Autism,6208,NA,NA,NA,NA,NA,NA,226,32,70,1853,3,3903,121,NA,NA,109,6099
2015,Alabama,Deaf-blindness,15,NA,NA,NA,NA,NA,NA,1,0,0,3,0,11,0,NA,NA,0,15
2015,Alabama,Developmental delay,3080,NA,NA,NA,NA,NA,NA,216,13,27,1169,3,1573,79,NA,NA,146,2934
2015,Alabama,Emotional disturbance,1348,NA,NA,NA,NA,NA,NA,30,5,0,541,0,748,24,NA,NA,6,1342
2015,Alabama,Hearing impairment,926,NA,NA,NA,NA,NA,NA,71,7,19,326,1,493,9,NA,NA,50,876
2015,Alabama,Intellectual disability,6357,NA,NA,NA,NA,NA,NA,242,30,32,3204,4,2777,68,NA,NA,199,6158
2015,Alabama,Multiple disabilities,1230,NA,NA,NA,NA,NA,NA,64,5,16,464,0,670,11,NA,NA,28,1202
2015,Alabama,Orthopedic impairment,537,NA,NA,NA,NA,NA,NA,29,3,13,161,0,320,11,NA,NA,16,521
2015,Alabama,Other health impairment,10754,NA,NA,NA,NA,NA,NA,300,75,40,3868,3,6255,213,NA,NA,135,10619
2015,Alabama,Specific learning disability,32392,NA,NA,NA,NA,NA,NA,1788,286,95,13423,25,16310,465,NA,NA,1018,31374
2015,Alabama,Speech or language impairment,13316,NA,NA,NA,NA,NA,NA,735,92,106,3800,7,8301,275,NA,NA,384,12932
2015,Alabama,Traumatic brain injury,254,NA,NA,NA,NA,NA,NA,12,3,0,91,1,142,5,NA,NA,4,250
2015,Alabama,Visual impairment,493,NA,NA,NA,NA,NA,NA,21,4,10,164,0,287,7,NA,NA,7,486
2016,Alabama,All Disabilities,79196,NA,NA,NA,NA,NA,NA,4374,628,465,29727,56,42426,1520,NA,NA,2356,76840
2016,Alabama,Autism,6565,NA,NA,NA,NA,NA,NA,282,38,75,1966,5,4056,143,NA,NA,143,6422
2016,Alabama,Deaf-blindness,15,NA,NA,NA,NA,NA,NA,2,0,0,1,0,11,1,NA,NA,1,14
2016,Alabama,Developmental delay,3238,NA,NA,NA,NA,NA,NA,255,18,24,1231,2,1623,85,NA,NA,169,3069
2016,Alabama,Emotional disturbance,1333,NA,NA,NA,NA,NA,NA,33,6,1,553,1,717,22,NA,NA,8,1325
2016,Alabama,Hearing impairment,929,NA,NA,NA,NA,NA,NA,83,7,17,322,1,489,10,NA,NA,51,878
2016,Alabama,Intellectual disability,6527,NA,NA,NA,NA,NA,NA,322,34,38,3258,6,2786,83,NA,NA,253,6274
2016,Alabama,Multiple disabilities,1221,NA,NA,NA,NA,NA,NA,58,4,18,448,0,674,19,NA,NA,25,1196
2016,Alabama,Orthopedic impairment,527,NA,NA,NA,NA,NA,NA,29,2,11,149,0,322,14,NA,NA,18,509
2016,Alabama,Other health impairment,11340,NA,NA,NA,NA,NA,NA,370,90,45,4132,6,6448,249,NA,NA,154,11186
2016,Alabama,Specific learning disability,33556,NA,NA,NA,NA,NA,NA,2132,310,109,13648,27,16774,556,NA,NA,1133,32423
2016,Alabama,Speech or language impairment,13217,NA,NA,NA,NA,NA,NA,769,112,114,3770,7,8122,323,NA,NA,388,12829
2016,Alabama,Traumatic brain injury,259,NA,NA,NA,NA,NA,NA,14,2,1,92,1,143,6,NA,NA,5,254
2016,Alabama,Visual impairment,469,NA,NA,NA,NA,NA,NA,25,5,12,157,0,261,9,NA,NA,8,461
2017,Alabama,All Disabilities,82492,NA,NA,NA,NA,NA,NA,4949,690,508,30770,59,43860,1656,NA,NA,3052,79440
2017,Alabama,Autism,7069,NA,NA,NA,NA,NA,NA,343,42,75,2092,7,4351,159,NA,NA,170,6899
2017,Alabama,Deaf-blindness,13,NA,NA,NA,NA,NA,NA,0,0,0,1,0,12,0,NA,NA,0,13
2017,Alabama,Developmental delay,3316,NA,NA,NA,NA,NA,NA,293,15,33,1267,3,1617,88,NA,NA,210,3106
2017,Alabama,Emotional disturbance,1365,NA,NA,NA,NA,NA,NA,31,8,1,535,1,768,21,NA,NA,10,1355
2017,Alabama,Hearing impairment,942,NA,NA,NA,NA,NA,NA,94,8,20,311,1,497,11,NA,NA,62,880
2017,Alabama,Intellectual disability,6800,NA,NA,NA,NA,NA,NA,339,33,46,3436,5,2845,96,NA,NA,284,6516
2017,Alabama,Multiple disabilities,1240,NA,NA,NA,NA,NA,NA,66,6,18,459,0,672,19,NA,NA,29,1211
2017,Alabama,Orthopedic impairment,512,NA,NA,NA,NA,NA,NA,28,2,11,149,0,310,12,NA,NA,20,492
2017,Alabama,Other health impairment,12098,NA,NA,NA,NA,NA,NA,425,100,51,4509,6,6725,282,NA,NA,202,11896
2017,Alabama,Specific learning disability,34899,NA,NA,NA,NA,NA,NA,2502,341,122,13963,28,17318,625,NA,NA,1562,33337
2017,Alabama,Speech or language impairment,13488,NA,NA,NA,NA,NA,NA,783,130,116,3797,7,8330,325,NA,NA,475,13013
2017,Alabama,Traumatic brain injury,268,NA,NA,NA,NA,NA,NA,14,1,1,98,0,146,8,NA,NA,8,260
2017,Alabama,Visual impairment,482,NA,NA,NA,NA,NA,NA,31,4,14,153,1,269,10,NA,NA,20,462
2018,Alabama,All Disabilities,85436,NA,NA,NA,NA,NA,NA,5496,731,562,31528,66,45220,1833,NA,NA,3424,82012
2018,Alabama,Autism,7465,NA,NA,NA,NA,NA,NA,387,40,85,2213,9,4548,183,NA,NA,205,7260
2018,Alabama,Deaf-blindness,12,NA,NA,NA,NA,NA,NA,1,0,1,1,0,8,1,NA,NA,0,12
2018,Alabama,Developmental delay,3419,NA,NA,NA,NA,NA,NA,299,16,37,1324,5,1662,76,NA,NA,207,3212
2018,Alabama,Emotional disturbance,1406,NA,NA,NA,NA,NA,NA,40,11,1,527,0,803,24,NA,NA,13,1393
2018,Alabama,Hearing impairment,894,NA,NA,NA,NA,NA,NA,91,8,18,288,1,472,16,NA,NA,60,834
2018,Alabama,Intellectual disability,7014,NA,NA,NA,NA,NA,NA,388,40,52,3548,2,2888,96,NA,NA,315,6699
2018,Alabama,Multiple disabilities,1251,NA,NA,NA,NA,NA,NA,67,6,16,453,0,687,22,NA,NA,33,1218
2018,Alabama,Orthopedic impairment,508,NA,NA,NA,NA,NA,NA,32,2,10,162,1,290,11,NA,NA,26,482
2018,Alabama,Other health impairment,12819,NA,NA,NA,NA,NA,NA,466,96,66,4849,7,7009,326,NA,NA,228,12591
2018,Alabama,Specific learning disability,35963,NA,NA,NA,NA,NA,NA,2817,359,126,14121,33,17814,693,NA,NA,1782,34181
2018,Alabama,Speech or language impairment,13916,NA,NA,NA,NA,NA,NA,865,146,133,3786,7,8612,367,NA,NA,527,13389
2018,Alabama,Traumatic brain injury,272,NA,NA,NA,NA,NA,NA,15,2,1,101,0,147,6,NA,NA,7,265
2018,Alabama,Visual impairment,497,NA,NA,NA,NA,NA,NA,28,5,16,155,1,280,12,NA,NA,21,476
2005,Alaska,Mental retardation,742,287,52,41,32,330,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Hearing impairments,169,46,19,5,8,91,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Speech or language impairments,3499,1207,176,175,137,1804,3499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Visual impairments,40,NA,NA,NA,NA,23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Emotional disturbance,745,225,20,69,21,410,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Orthopedic impairments,69,18,NA,NA,NA,43,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Other health impairments,967,351,29,30,24,533,967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Specific learning disabilities,7872,2770,298,462,319,4023,7872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Deaf-blindness,11,NA,NA,0,0,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Multiple disabilities,406,151,14,16,6,219,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Autism,390,48,21,23,20,278,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Traumatic brain injury,63,17,NA,NA,NA,36,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,Developmental delay,942,340,49,56,54,443,942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alaska,All disabilities,15915,5476,685,884,630,8240,15915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alaska,Mental retardation,705,272,53,40,32,308,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alaska,Hearing impairments,160,40,17,NA,NA,90,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alaska,Speech or language impairments,2938,1139,162,100,103,1434,2938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alaska,Visual impairments,35,8,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
