year,state,disability,total_6to21,aian,api,black,hisp,white,total_ethnicity
2005,American Samoa,Deaf-blindness,NA,0,NA,0,0,0,NA
2005,American Samoa,Multiple disabilities,27,0,27,0,0,0,27
2005,American Samoa,Autism,NA,0,NA,0,0,0,NA
2005,American Samoa,Traumatic brain injury,0,0,0,0,NA,0,0
2005,American Samoa,Developmental delay,0,0,0,0,0,NA,0
2005,American Samoa,All disabilities,1131,0,1126,0,0,5,1131
2005,Arizona,Mental retardation,8581,676,121,745,3675,3364,8581
2005,Arizona,Hearing impairments,1792,166,52,63,735,776,1792
2005,Arizona,Speech or language impairments,20247,1190,443,971,7279,10364,20247
2005,Arizona,Visual impairments,555,76,13,29,183,254,555
2005,Arizona,Emotional disturbance,8038,436,42,834,1608,5118,8038
2005,Arizona,Orthopedic impairments,666,41,16,32,209,368,666
2005,Arizona,Other health impairments,5298,201,70,363,1118,3546,5298
2005,Arizona,Specific learning disabilities,59323,5565,505,3731,24727,24795,59323
2005,Arizona,Deaf-blindness,77,6,0,5,25,41,77
2005,Arizona,Multiple disabilities,2154,220,37,132,787,978,2154
2005,Arizona,Autism,3287,77,106,191,758,2155,3287
2005,Arizona,Traumatic brain injury,424,35,7,26,140,216,424
2005,Arizona,Developmental delay,0,0,0,0,0,0,0
2005,Arizona,All disabilities,110442,8689,1412,7122,41244,51975,110442
2005,Arkansas,Mental retardation,9882,45,36,4354,314,5133,9882
2005,Arkansas,Hearing impairments,589,NA,NA,122,43,410,589
2005,Arkansas,Speech or language impairments,11675,93,111,2362,551,8558,11675
2005,Arkansas,Visual impairments,206,NA,NA,40,8,153,206
2005,Arkansas,Emotional disturbance,788,NA,NA,168,17,593,788
2005,Arkansas,Orthopedic impairments,172,NA,NA,NA,10,125,172
2005,Arkansas,Other health impairments,8065,47,21,1569,155,6273,8065
2005,Arkansas,Specific learning disabilities,22845,190,93,5862,1249,15451,22845
2005,Arkansas,Deaf-blindness,8,0,0,NA,0,NA,8
2005,Arkansas,Multiple disabilities,1258,8,6,348,48,848,1258
2005,Arkansas,Autism,1378,10,19,239,32,1078,1378
2005,Arkansas,Traumatic brain injury,162,NA,NA,40,5,NA,162
2005,Arkansas,Developmental delay,0,0,0,0,0,0,0
2005,Arkansas,All disabilities,57028,406,312,15142,2432,38736,57028
2005,BIE schools,Mental retardation,422,416,0,NA,0,NA,422
2005,BIE schools,Hearing impairments,45,NA,0,0,0,NA,45
2005,BIE schools,Speech or language impairments,1183,1172,0,NA,0,NA,1183
2005,BIE schools,Visual impairments,18,18,0,0,0,0,18
2005,BIE schools,Emotional disturbance,496,480,0,NA,NA,11,496
2005,BIE schools,Orthopedic impairments,NA,NA,0,0,0,0,NA
2005,BIE schools,Other health impairments,331,323,0,0,0,8,331
2005,BIE schools,Specific learning disabilities,4457,4432,0,0,0,25,4457
2005,BIE schools,Deaf-blindness,NA,NA,0,0,0,0,NA
2005,BIE schools,Multiple disabilities,145,145,0,0,0,0,145
2005,BIE schools,Autism,34,NA,0,0,0,NA,34
2005,BIE schools,Traumatic brain injury,25,25,0,0,0,0,25
2005,BIE schools,Developmental delay,296,NA,0,0,0,NA,296
2005,BIE schools,All disabilities,7465,7393,0,NA,NA,63,7465
2005,California,Mental retardation,38525,320,3274,4714,19304,10913,38525
2005,California,Hearing impairments,10180,83,1069,811,5031,3186,10180
2005,California,Speech or language impairments,134594,1124,12144,9464,60568,51294,134594
2005,California,Visual impairments,3899,25,401,378,1594,1501,3899
2005,California,Emotional disturbance,27398,348,801,6159,6576,13514,27398
2005,California,Orthopedic impairments,12642,81,1045,1112,5686,4718,12642
2005,California,Other health impairments,36397,403,1454,4237,10614,19689,36397
2005,California,Specific learning disabilities,312622,2900,11790,43538,163805,90589,312622
2005,California,Deaf-blindness,175,NA,19,NA,77,64,175
2005,California,Multiple disabilities,4953,39,538,571,1975,1830,4953
2005,California,Autism,26603,168,3932,2486,7242,12775,26603
2005,California,Traumatic brain injury,1677,NA,126,NA,703,636,1677
2005,California,Developmental delay,0,0,0,0,0,0,0
2005,California,All disabilities,609665,5510,36593,73678,283175,210709,609665
2005,Colorado,Mental retardation,3417,48,59,413,1193,1704,3417
2005,Colorado,Hearing impairments,1308,19,45,70,409,765,1308
2005,Colorado,Speech or language impairments,15413,268,416,1074,4304,9351,15413
2005,Colorado,Visual impairments,313,NA,NA,24,77,196,313
2005,Colorado,Emotional disturbance,8483,165,77,1002,1616,5623,8483
2005,Colorado,Orthopedic impairments,8692,113,125,621,1588,6245,8692
2005,Colorado,Other health impairments,0,0,0,0,0,0,0
2005,Colorado,Specific learning disabilities,30500,554,402,2476,9563,17505,30500
2005,Colorado,Deaf-blindness,71,NA,NA,NA,23,41,71
2005,Colorado,Multiple disabilities,3036,33,85,219,725,1974,3036
2005,Colorado,Autism,1346,12,52,80,155,1047,1346
2005,Colorado,Traumatic brain injury,379,NA,10,NA,94,244,379
2005,Colorado,Developmental delay,0,0,0,0,0,0,0
2005,Colorado,All disabilities,72958,1225,1285,6006,19747,44695,72958
2005,Connecticut,Mental retardation,2962,9,54,681,649,1569,2962
2005,Connecticut,Hearing impairments,692,NA,NA,91,129,432,692
2005,Connecticut,Speech or language impairments,12714,40,272,1937,2136,8329,12714
2005,Connecticut,Visual impairments,272,NA,NA,51,43,169,272
2005,Connecticut,Emotional disturbance,6569,41,35,1562,1398,3533,6569
2005,Connecticut,Orthopedic impairments,123,0,NA,NA,22,84,123
2005,Connecticut,Other health impairments,10906,39,78,1337,1346,8106,10906
2005,Connecticut,Specific learning disabilities,24537,96,204,4118,4819,15300,24537
2005,Connecticut,Deaf-blindness,37,0,NA,NA,8,27,37
2005,Connecticut,Multiple disabilities,2300,8,59,430,399,1404,2300
2005,Connecticut,Autism,2853,6,96,351,242,2158,2853
2005,Connecticut,Traumatic brain injury,122,0,NA,NA,19,82,122
2005,Connecticut,Developmental delay,0,0,0,0,0,0,0
2005,Connecticut,All disabilities,64087,247,847,10590,11210,41193,64087
2005,Delaware,Mental retardation,2070,NA,NA,1106,154,786,2070
2005,Delaware,Hearing impairments,266,0,11,77,35,143,266
2005,Delaware,Speech or language impairments,1671,NA,NA,378,106,1153,1671
2005,Delaware,Visual impairments,41,0,NA,14,NA,25,41
2005,Delaware,Emotional disturbance,847,NA,NA,344,45,448,847
2005,Delaware,Orthopedic impairments,467,NA,NA,144,38,276,467
2005,Delaware,Other health impairments,1681,NA,NA,503,77,1087,1681
2005,Delaware,Specific learning disabilities,9173,26,56,3869,920,4302,9173
2005,Delaware,Deaf-blindness,44,0,NA,9,NA,25,44
2005,Delaware,Multiple disabilities,0,0,0,0,0,0,0
2005,Delaware,Autism,498,NA,NA,134,13,338,498
2005,Delaware,Traumatic brain injury,26,0,NA,10,NA,13,26
2005,Delaware,Developmental delay,0,0,0,0,0,0,0
2005,Delaware,All disabilities,16784,NA,NA,6588,1399,8596,16784
2005,District of Columbia,Mental retardation,1263,0,0,1213,NA,NA,1263
2005,District of Columbia,Hearing impairments,45,0,0,35,NA,NA,45
2005,District of Columbia,Speech or language impairments,1132,0,NA,974,90,NA,1132
2005,District of Columbia,Visual impairments,23,0,0,NA,NA,NA,23
2005,District of Columbia,Emotional disturbance,1787,0,0,1725,39,23,1787
2005,District of Columbia,Orthopedic impairments,NA,0,0,50,NA,NA,NA
2005,District of Columbia,Other health impairments,397,0,0,340,32,25,397
2005,District of Columbia,Specific learning disabilities,5384,NA,NA,4771,383,206,5384
2005,District of Columbia,Deaf-blindness,NA,0,0,NA,0,0,NA
2005,District of Columbia,Multiple disabilities,764,0,8,675,50,31,764
2005,District of Columbia,Autism,212,NA,NA,177,10,NA,212
2005,District of Columbia,Traumatic brain injury,NA,0,0,NA,0,0,NA
2005,District of Columbia,Developmental delay,148,0,NA,140,NA,5,148
2005,District of Columbia,All disabilities,11231,NA,NA,10141,661,383,11231
2005,Florida,Mental retardation,36558,71,378,16913,6255,12941,36558
2005,Florida,Hearing impairments,3672,10,80,919,937,1726,3672
2005,Florida,Speech or language impairments,78307,251,1409,19361,13988,43298,78307
2005,Florida,Visual impairments,1129,6,20,244,236,623,1129
2005,Florida,Emotional disturbance,34418,85,94,13853,4392,15994,34418
2005,Florida,Orthopedic impairments,3992,12,59,848,772,2301,3992
2005,Florida,Other health impairments,19410,71,141,3795,3541,11862,19410
2005,Florida,Specific learning disabilities,178488,537,1234,44471,42387,89859,178488
2005,Florida,Deaf-blindness,60,0,NA,NA,12,36,60
2005,Florida,Multiple disabilities,0,0,0,0,0,0,0
2005,Florida,Autism,7918,25,217,1624,1920,4132,7918
2005,Florida,Traumatic brain injury,614,0,NA,NA,105,321,614
2005,Florida,Developmental delay,0,0,0,0,0,0,0
2005,Florida,All disabilities,364566,1068,3638,102222,74545,183093,364566
2005,Georgia,Mental retardation,25726,22,239,15963,1241,8261,25726
2005,Georgia,Hearing impairments,1655,0,50,613,195,797,1655
2005,Georgia,Speech or language impairments,36543,52,774,11904,2714,21099,36543
2005,Georgia,Visual impairments,616,NA,NA,225,NA,350,616
2005,Georgia,Emotional disturbance,23257,40,97,11541,534,11045,23257
2005,Georgia,Orthopedic impairments,1008,NA,NA,315,71,599,1008
2005,Georgia,Other health impairments,24698,36,157,7865,756,15884,24698
2005,Georgia,Specific learning disabilities,54322,74,497,20544,4745,28462,54322
2005,Georgia,Deaf-blindness,21,0,NA,5,NA,9,21
2005,Georgia,Multiple disabilities,0,0,0,0,0,0,0
2005,Georgia,Autism,5655,6,155,1968,233,3293,5655
2005,Georgia,Traumatic brain injury,462,0,5,207,28,222,462
2005,Georgia,Developmental delay,2905,NA,NA,1253,186,1421,2905
2005,Georgia,All disabilities,176868,236,2054,72403,10733,91442,176868
2005,Guam,Mental retardation,92,0,89,NA,NA,0,92
2005,Guam,Hearing impairments,46,0,46,0,0,0,46
2005,Guam,Speech or language impairments,218,0,212,0,0,6,218
2005,Guam,Visual impairments,11,0,11,0,0,0,11
2005,Guam,Emotional disturbance,NA,0,NA,0,0,NA,NA
2005,Guam,Orthopedic impairments,28,0,NA,NA,0,0,28
2005,Guam,Other health impairments,99,0,97,0,NA,NA,99
2005,Guam,Specific learning disabilities,1638,NA,1612,NA,5,19,1638
2005,Guam,Deaf-blindness,NA,0,NA,0,0,0,NA
2005,Guam,Multiple disabilities,60,0,57,0,NA,NA,60
2005,Guam,Autism,59,0,NA,0,0,NA,59
2005,Guam,Traumatic brain injury,NA,0,NA,0,0,0,NA
2005,Guam,Developmental delay,NA,0,NA,0,NA,0,NA
2005,Guam,All disabilities,2309,NA,2263,NA,11,31,2309
2005,Hawaii,Mental retardation,1649,NA,1423,NA,45,158,1649
2005,Hawaii,Hearing impairments,314,NA,266,NA,NA,39,314
2005,Hawaii,Speech or language impairments,908,NA,600,35,NA,230,908
2005,Hawaii,Visual impairments,NA,NA,NA,NA,NA,9,NA
2005,Hawaii,Emotional disturbance,2330,17,1728,57,80,448,2330
2005,Hawaii,Orthopedic impairments,80,0,59,NA,0,NA,80
2005,Hawaii,Other health impairments,2483,23,1761,87,64,548,2483
2005,Hawaii,Specific learning disabilities,9455,60,7425,218,374,1378,9455
2005,Hawaii,Deaf-blindness,NA,0,NA,0,0,0,NA
2005,Hawaii,Multiple disabilities,359,NA,291,NA,8,51,359
2005,Hawaii,Autism,811,0,542,21,20,228,811
2005,Hawaii,Traumatic brain injury,71,NA,59,0,0,NA,71
2005,Hawaii,Developmental delay,1017,8,805,38,48,118,1017
2005,Hawaii,All disabilities,19540,128,15010,489,678,3235,19540
2005,Idaho,Mental retardation,1733,38,17,27,289,1362,1733
2005,Idaho,Hearing impairments,252,NA,8,NA,35,204,252
2005,Idaho,Speech or language impairments,5095,59,67,44,749,4176,5095
2005,Idaho,Visual impairments,87,0,NA,NA,6,NA,87
2005,Idaho,Emotional disturbance,1304,21,5,27,66,1185,1304
2005,Idaho,Orthopedic impairments,105,0,0,NA,NA,89,105
2005,Idaho,Other health impairments,2118,49,13,42,127,1887,2118
2005,Idaho,Specific learning disabilities,11320,280,72,121,1831,9016,11320
2005,Idaho,Deaf-blindness,6,0,0,0,NA,NA,6
2005,Idaho,Multiple disabilities,454,NA,NA,10,49,385,454
2005,Idaho,Autism,844,15,11,11,45,762,844
2005,Idaho,Traumatic brain injury,128,NA,NA,5,16,101,128
2005,Idaho,Developmental delay,1532,41,12,25,252,1202,1532
2005,Idaho,All disabilities,24978,516,211,317,3482,20452,24978
2005,Illinois,Mental retardation,26345,30,491,11073,3785,10966,26345
2005,Illinois,Hearing impairments,3659,NA,NA,666,728,2125,3659
2005,Illinois,Speech or language impairments,54147,90,1275,8237,7382,37163,54147
2005,Illinois,Visual impairments,1053,NA,NA,211,160,650,1053
2005,Illinois,Emotional disturbance,28700,42,213,10125,2549,15771,28700
2005,Illinois,Orthopedic impairments,2225,NA,NA,472,364,1332,2225
2005,Illinois,Other health impairments,21120,31,204,2717,1249,16919,21120
2005,Illinois,Specific learning disabilities,140861,191,1462,33315,25577,80316,140861
2005,Illinois,Deaf-blindness,44,0,NA,9,NA,30,44
2005,Illinois,Multiple disabilities,1038,0,NA,175,NA,735,1038
2005,Illinois,Autism,8010,8,342,1435,755,5470,8010
2005,Illinois,Traumatic brain injury,788,NA,NA,253,128,400,788
2005,Illinois,Developmental delay,0,0,0,0,0,0,0
2005,Illinois,All disabilities,287990,402,4236,68688,42787,171877,287990
2005,Indiana,Mental retardation,21196,35,74,5864,839,14384,21196
2005,Indiana,Hearing impairments,1965,5,37,209,100,1614,1965
2005,Indiana,Speech or language impairments,37771,68,285,3111,1374,32933,37771
2005,Indiana,Visual impairments,856,NA,NA,111,34,702,856
2005,Indiana,Emotional disturbance,14590,44,25,2714,235,11572,14590
2005,Indiana,Orthopedic impairments,1493,NA,NA,109,57,1307,1493
2005,Indiana,Other health impairments,8971,18,24,741,127,8061,8971
2005,Indiana,Specific learning disabilities,62969,128,177,7573,2554,52537,62969
2005,Indiana,Deaf-blindness,23,0,NA,NA,0,19,23
2005,Indiana,Multiple disabilities,1740,NA,NA,188,55,1485,1740
2005,Indiana,Autism,6477,9,66,597,142,5663,6477
2005,Indiana,Traumatic brain injury,547,NA,NA,NA,20,461,547
2005,Indiana,Developmental delay,0,0,0,0,0,0,0
2005,Indiana,All disabilities,158598,311,728,21284,5537,130738,158598
2005,Iowa,Mental retardation,11229,76,100,1009,599,9445,11229
2005,Iowa,Hearing impairments,767,NA,NA,50,44,654,767
2005,Iowa,Speech or language impairments,7044,40,80,506,356,6062,7044
2005,Iowa,Visual impairments,NA,NA,NA,13,8,NA,NA
2005,Iowa,Emotional disturbance,6742,51,52,699,317,5623,6742
2005,Iowa,Orthopedic impairments,802,5,7,57,43,690,802
2005,Iowa,Other health impairments,663,7,5,54,21,576,663
2005,Iowa,Specific learning disabilities,37106,237,324,3057,1969,31519,37106
2005,Iowa,Deaf-blindness,NA,0,0,0,0,NA,NA
2005,Iowa,Multiple disabilities,383,NA,NA,27,18,331,383
2005,Iowa,Autism,1220,9,22,87,49,1053,1220
2005,Iowa,Traumatic brain injury,212,NA,NA,16,8,186,212
2005,Iowa,Developmental delay,0,0,0,0,0,0,0
2005,Iowa,All disabilities,66339,431,615,5575,3432,56286,66339
2005,Kansas,Mental retardation,4507,66,42,1000,473,2926,4507
2005,Kansas,Hearing impairments,517,8,13,40,74,382,517
2005,Kansas,Speech or language impairments,9613,150,159,695,808,7801,9613
2005,Kansas,Visual impairments,181,NA,NA,28,25,122,181
2005,Kansas,Emotional disturbance,3571,60,15,591,212,2693,3571
2005,Kansas,Orthopedic impairments,367,NA,NA,24,25,312,367
2005,Kansas,Other health impairments,6992,95,38,764,370,5725,6992
2005,Kansas,Specific learning disabilities,23992,453,227,2837,2827,17648,23992
2005,Kansas,Deaf-blindness,9,0,NA,0,NA,6,9
2005,Kansas,Multiple disabilities,2120,32,20,247,145,1676,2120
2005,Kansas,Autism,1290,16,33,140,83,1018,1290
2005,Kansas,Traumatic brain injury,210,NA,NA,28,NA,160,210
2005,Kansas,Developmental delay,2959,33,29,316,392,2189,2959
2005,Kansas,All disabilities,56328,926,583,6710,5451,42658,56328
2005,Kentucky,Mental retardation,17601,13,28,2684,165,14711,17601
2005,Kentucky,Hearing impairments,591,NA,NA,61,21,498,591
2005,Kentucky,Speech or language impairments,19665,29,85,1793,282,17476,19665
2005,Kentucky,Visual impairments,412,0,0,NA,NA,381,412
2005,Kentucky,Emotional disturbance,5827,12,12,1469,38,4296,5827
2005,Kentucky,Orthopedic impairments,452,0,7,40,10,395,452
2005,Kentucky,Other health impairments,13213,25,29,1617,106,11436,13213
2005,Kentucky,Specific learning disabilities,15338,24,25,1633,277,13379,15338
2005,Kentucky,Deaf-blindness,13,0,0,NA,0,NA,13
2005,Kentucky,Multiple disabilities,4083,NA,NA,406,39,3621,4083
2005,Kentucky,Autism,1798,NA,25,230,NA,1527,1798
2005,Kentucky,Traumatic brain injury,221,0,NA,31,NA,NA,221
2005,Kentucky,Developmental delay,8267,6,31,1155,121,6954,8267
2005,Kentucky,All disabilities,87481,117,267,11149,1076,74872,87481
2005,Louisiana,Mental retardation,8875,48,27,5951,51,2798,8875
2005,Louisiana,Hearing impairments,1135,16,13,460,27,619,1135
2005,Louisiana,Speech or language impairments,18707,150,140,6965,312,11140,18707
2005,Louisiana,Visual impairments,402,NA,5,169,NA,223,402
2005,Louisiana,Emotional disturbance,3100,NA,NA,1882,22,1179,3100
2005,Louisiana,Orthopedic impairments,1015,14,5,358,16,622,1015
2005,Louisiana,Other health impairments,9208,51,20,3169,88,5880,9208
2005,Louisiana,Specific learning disabilities,29475,292,71,16614,326,12172,29475
2005,Louisiana,Deaf-blindness,6,0,0,NA,0,NA,6
2005,Louisiana,Multiple disabilities,910,8,11,371,15,505,910
2005,Louisiana,Autism,1753,NA,32,704,NA,994,1753
2005,Louisiana,Traumatic brain injury,247,NA,NA,NA,NA,NA,247
2005,Louisiana,Developmental delay,5023,53,21,2703,60,2186,5023
2005,Louisiana,All disabilities,79856,654,348,39458,942,38454,79856
2005,Maine,Mental retardation,842,NA,NA,19,10,804,842
2005,Maine,Hearing impairments,249,0,NA,NA,5,238,249
2005,Maine,Speech or language impairments,7268,66,94,126,69,6913,7268
2005,Maine,Visual impairments,83,NA,NA,NA,NA,75,83
2005,Maine,Emotional disturbance,3081,41,11,63,27,2939,3081
2005,Maine,Orthopedic impairments,60,NA,NA,NA,NA,NA,60
2005,Maine,Other health impairments,4810,47,25,103,51,4584,4810
2005,Maine,Specific learning disabilities,11344,94,NA,182,NA,10921,11344
2005,Maine,Deaf-blindness,5,0,NA,0,0,NA,5
2005,Maine,Multiple disabilities,3175,23,14,60,23,3055,3175
2005,Maine,Autism,1162,7,9,8,12,1126,1162
2005,Maine,Traumatic brain injury,95,NA,NA,NA,0,89,95
2005,Maine,Developmental delay,0,0,0,0,0,0,0
2005,Maine,All disabilities,32174,289,221,568,293,30803,32174
2005,Maryland,Mental retardation,6006,13,132,3562,266,2033,6006
2005,Maryland,Hearing impairments,1112,NA,NA,354,76,624,1112
2005,Maryland,Speech or language impairments,20723,90,733,7038,1778,11084,20723
2005,Maryland,Visual impairments,466,NA,NA,206,25,214,466
2005,Maryland,Emotional disturbance,9335,43,56,5216,232,3788,9335
2005,Maryland,Orthopedic impairments,420,NA,NA,187,30,184,420
2005,Maryland,Other health impairments,12883,44,184,5223,451,6981,12883
2005,Maryland,Specific learning disabilities,37151,128,470,16008,2982,17563,37151
2005,Maryland,Deaf-blindness,21,0,NA,NA,NA,14,21
2005,Maryland,Multiple disabilities,4877,23,117,2076,200,2461,4877
2005,Maryland,Autism,4651,11,248,1521,202,2669,4651
2005,Maryland,Traumatic brain injury,324,NA,NA,NA,NA,149,324
2005,Maryland,Developmental delay,842,5,15,482,73,267,842
2005,Maryland,All disabilities,98811,367,2061,42017,6335,48031,98811
2005,Massachusetts,Mental retardation,12175,56,331,2389,3278,6121,12175
2005,Massachusetts,Hearing impairments,1032,NA,NA,114,170,691,1032
2005,Massachusetts,Speech or language impairments,20689,86,814,1902,3245,14642,20689
2005,Massachusetts,Visual impairments,482,NA,NA,48,56,351,482
2005,Massachusetts,Emotional disturbance,13492,60,165,2086,2386,8795,13492
2005,Massachusetts,Orthopedic impairments,1141,11,33,106,103,888,1141
2005,Massachusetts,Other health impairments,7919,30,88,451,738,6612,7919
2005,Massachusetts,Specific learning disabilities,66102,270,1119,7094,10091,47528,66102
2005,Massachusetts,Deaf-blindness,235,0,7,38,54,136,235
2005,Massachusetts,Multiple disabilities,4771,16,120,422,621,3592,4771
2005,Massachusetts,Autism,5124,6,200,338,328,4252,5124
2005,Massachusetts,Traumatic brain injury,4967,20,88,269,348,4242,4967
2005,Massachusetts,Developmental delay,9330,31,207,792,1372,6928,9330
2005,Massachusetts,All disabilities,147459,588,3254,16049,22790,104778,147459
2005,Michigan,Mental retardation,24548,218,349,9150,811,14020,24548
2005,Michigan,Hearing impairments,2885,21,102,588,150,2024,2885
2005,Michigan,Speech or language impairments,43779,451,1169,7374,1565,33220,43779
2005,Michigan,Visual impairments,789,NA,39,161,NA,552,789
2005,Michigan,Emotional disturbance,19039,241,178,4291,425,13904,19039
2005,Michigan,Orthopedic impairments,4539,38,79,1361,140,2921,4539
2005,Michigan,Other health impairments,15899,191,271,1881,392,13164,15899
2005,Michigan,Specific learning disabilities,94646,1129,1315,20853,4404,66945,94646
2005,Michigan,Deaf-blindness,9,0,0,NA,0,NA,9
2005,Michigan,Multiple disabilities,2903,26,68,602,120,2087,2903
2005,Michigan,Autism,8561,73,233,1203,150,6902,8561
2005,Michigan,Traumatic brain injury,531,NA,NA,NA,NA,NA,531
2005,Michigan,Developmental delay,1189,NA,NA,245,58,850,1189
2005,Michigan,All disabilities,219317,2407,3834,47813,8265,156998,219317
2005,Minnesota,Mental retardation,9239,333,339,1246,463,6858,9239
2005,Minnesota,Hearing impairments,1991,31,192,161,130,1477,1991
2005,Minnesota,Speech or language impairments,16599,419,795,1230,808,13347,16599
2005,Minnesota,Visual impairments,350,NA,24,NA,19,266,350
2005,Minnesota,Emotional disturbance,16618,1016,180,3354,652,11416,16618
2005,Minnesota,Orthopedic impairments,1629,28,76,89,69,1367,1629
2005,Minnesota,Other health impairments,12496,420,191,1122,490,10273,12496
2005,Minnesota,Specific learning disabilities,33875,1103,1496,4376,2490,24410,33875
2005,Minnesota,Deaf-blindness,58,NA,NA,NA,0,50,58
2005,Minnesota,Multiple disabilities,515,NA,NA,57,28,400,515
2005,Minnesota,Autism,7450,94,247,418,225,6466,7450
2005,Minnesota,Traumatic brain injury,438,15,27,58,21,317,438
2005,Minnesota,Developmental delay,1851,91,54,207,131,1368,1851
2005,Minnesota,All disabilities,103109,3565,3647,12356,5526,78015,103109
2005,Mississippi,Mental retardation,4657,5,20,3390,27,1215,4657
2005,Mississippi,Hearing impairments,597,NA,NA,317,8,267,597
2005,Mississippi,Speech or language impairments,14542,17,68,5658,120,8679,14542
2005,Mississippi,Visual impairments,291,0,NA,164,NA,124,291
2005,Mississippi,Emotional disturbance,1532,NA,NA,703,14,806,1532
2005,Mississippi,Orthopedic impairments,488,NA,5,228,NA,249,488
2005,Mississippi,Other health impairments,4023,6,7,1695,22,2293,4023
2005,Mississippi,Specific learning disabilities,29722,75,45,18368,210,11024,29722
2005,Mississippi,Deaf-blindness,11,0,0,NA,0,NA,11
2005,Mississippi,Multiple disabilities,571,0,NA,289,NA,274,571
2005,Mississippi,Autism,780,NA,NA,386,9,374,780
2005,Mississippi,Traumatic brain injury,154,0,NA,NA,0,NA,154
2005,Mississippi,Developmental delay,2412,5,7,1402,15,983,2412
2005,Mississippi,All disabilities,59780,121,173,32684,434,26368,59780
2005,Missouri,Mental retardation,12041,44,87,3964,234,7712,12041
2005,Missouri,Hearing impairments,1248,5,27,239,47,930,1248
2005,Missouri,Speech or language impairments,33012,116,349,4631,667,27249,33012
2005,Missouri,Visual impairments,434,NA,NA,77,12,339,434
