year,state,disability,total_6to21,el_yes,el_no,aian7,asian7,black7,hisp7,nhpi7,tworace7,white7
2012,ARIZONA,Orthopedic impairment,664,NA,NA,19,21,22,233,3,10,356
2012,ARIZONA,Other health impairment,9216,NA,NA,362,97,672,2556,14,195,5320
2012,ARIZONA,Specific learning disability,52116,NA,NA,4196,405,3451,25352,95,737,17880
2012,ARIZONA,Speech or language impairment,18853,NA,NA,962,363,804,7986,29,373,8336
2012,ARIZONA,Traumatic brain injury,336,NA,NA,45,2,24,111,1,4,149
2012,ARIZONA,Visual impairment,482,NA,NA,47,15,25,168,2,8,217
2012,ARKANSAS,All Disabilities,51909,3138,48771,404,370,12620,4184,167,944,33220
2012,ARKANSAS,Autism,3231,NA,NA,24,63,442,218,10,77,2397
2012,ARKANSAS,Deaf-blindness,7,NA,NA,0,0,2,1,0,0,4
2012,ARKANSAS,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,ARKANSAS,Emotional disturbance,750,NA,NA,11,4,117,39,0,19,560
2012,ARKANSAS,Hearing impairment,449,NA,NA,1,10,78,68,11,6,275
2012,ARKANSAS,Intellectual disability,5474,NA,NA,28,20,2035,444,33,62,2852
2012,ARKANSAS,Multiple disabilities,1337,NA,NA,7,13,321,102,2,18,874
2012,ARKANSAS,Orthopedic impairment,194,NA,NA,1,2,33,14,0,4,140
2012,ARKANSAS,Other health impairment,9323,NA,NA,79,23,2130,364,8,170,6549
2012,ARKANSAS,Specific learning disability,18128,NA,NA,165,80,4617,1636,57,275,11298
2012,ARKANSAS,Speech or language impairment,12678,NA,NA,85,150,2751,1275,44,306,8067
2012,ARKANSAS,Traumatic brain injury,149,NA,NA,3,0,41,11,0,5,89
2012,ARKANSAS,Visual impairment,189,NA,NA,0,5,53,12,2,2,115
2012,BUREAU OF INDIAN AFFAIRS,All Disabilities,6199,2161,4038,6199,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Autism,131,NA,NA,131,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Deaf-blindness,1,NA,NA,1,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Developmental delay (valid only for children ages 3-9 when defined by state),355,NA,NA,355,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Emotional disturbance,343,NA,NA,343,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Hearing impairment,42,NA,NA,42,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Intellectual disability,342,NA,NA,342,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Multiple disabilities,148,NA,NA,148,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Orthopedic impairment,24,NA,NA,24,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Other health impairment,502,NA,NA,502,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Specific learning disability,3151,NA,NA,3151,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Speech or language impairment,1115,NA,NA,1115,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Traumatic brain injury,31,NA,NA,31,NA,NA,NA,NA,NA,NA
2012,BUREAU OF INDIAN AFFAIRS,Visual impairment,14,NA,NA,14,NA,NA,NA,NA,NA,NA
2012,CALIFORNIA,All Disabilities,613061,190383,422678,4759,35648,61166,326792,2692,14637,167367
2012,CALIFORNIA,Autism,63851,NA,NA,328,8852,4885,24300,235,1942,23309
2012,CALIFORNIA,Deaf-blindness,111,NA,NA,0,12,5,49,0,6,39
2012,CALIFORNIA,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,CALIFORNIA,Emotional disturbance,24981,NA,NA,293,680,4687,8101,100,886,10234
2012,CALIFORNIA,Hearing impairment,10640,NA,NA,45,1066,626,6027,66,220,2590
2012,CALIFORNIA,Intellectual disability,38591,NA,NA,233,3075,4066,22065,205,682,8265
2012,CALIFORNIA,Multiple disabilities,4896,NA,NA,22,470,471,2378,35,118,1402
2012,CALIFORNIA,Orthopedic impairment,11070,NA,NA,57,863,783,5561,72,212,3522
2012,CALIFORNIA,Other health impairment,62341,NA,NA,541,2271,8003,24822,235,1693,24776
2012,CALIFORNIA,Specific learning disability,278667,NA,NA,2395,8536,30496,171428,1142,5269,59401
2012,CALIFORNIA,Speech or language impairment,112897,NA,NA,800,9410,6694,59658,566,3491,32278
2012,CALIFORNIA,Traumatic brain injury,1593,NA,NA,19,95,167,803,10,37,462
2012,CALIFORNIA,Visual impairment,3423,NA,NA,26,318,283,1600,26,81,1089
2012,COLORADO,All Disabilities,76481,11389,65092,919,1255,5057,26514,131,2177,40428
2012,COLORADO,Autism,4482,NA,NA,46,119,197,864,9,146,3101
2012,COLORADO,Deaf-blindness,19,NA,NA,0,1,3,6,0,0,9
2012,COLORADO,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,COLORADO,Emotional disturbance,6467,NA,NA,85,57,586,1594,15,239,3891
2012,COLORADO,Hearing impairment,1281,NA,NA,10,63,59,523,2,40,584
2012,COLORADO,Intellectual disability,2845,NA,NA,43,60,317,1109,6,65,1245
2012,COLORADO,Multiple disabilities,3407,NA,NA,35,79,210,1138,5,105,1835
2012,COLORADO,Orthopedic impairment,9953,NA,NA,85,131,569,2312,8,306,6542
2012,COLORADO,Other health impairment,18,NA,NA,1,0,1,2,1,2,11
2012,COLORADO,Specific learning disability,34317,NA,NA,461,403,2495,14009,55,851,16043
2012,COLORADO,Speech or language impairment,12872,NA,NA,140,317,576,4703,29,395,6712
2012,COLORADO,Traumatic brain injury,508,NA,NA,12,5,25,159,0,18,289
2012,COLORADO,Visual impairment,312,NA,NA,1,20,19,95,1,10,166
2012,CONNECTICUT,All Disabilities,61705,4905,56800,245,1242,9991,14624,49,1196,34358
2012,CONNECTICUT,Autism,6566,NA,NA,24,278,765,949,6,109,4435
2012,CONNECTICUT,Deaf-blindness,16,NA,NA,0,0,0,2,0,1,13
2012,CONNECTICUT,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,CONNECTICUT,Emotional disturbance,5230,NA,NA,24,42,1110,1273,6,135,2640
2012,CONNECTICUT,Hearing impairment,541,NA,NA,0,37,77,159,0,4,264
2012,CONNECTICUT,Intellectual disability,2327,NA,NA,14,63,477,608,1,33,1131
2012,CONNECTICUT,Multiple disabilities,2712,NA,NA,14,93,458,565,2,45,1535
2012,CONNECTICUT,Orthopedic impairment,69,NA,NA,0,2,7,13,0,1,46
2012,CONNECTICUT,Other health impairment,12783,NA,NA,58,174,1863,2801,7,280,7600
2012,CONNECTICUT,Specific learning disability,21644,NA,NA,87,240,3683,5679,19,393,11543
2012,CONNECTICUT,Speech or language impairment,9539,NA,NA,22,306,1501,2516,8,192,4994
2012,CONNECTICUT,Traumatic brain injury,114,NA,NA,0,4,22,21,0,0,67
2012,CONNECTICUT,Visual impairment,164,NA,NA,2,3,28,38,0,3,90
2012,DELAWARE,All Disabilities,16920,973,15947,82,242,6693,2131,5,267,7500
2012,DELAWARE,Autism,1019,NA,NA,6,50,242,80,0,16,625
2012,DELAWARE,Deaf-blindness,57,NA,NA,1,1,15,14,0,1,25
2012,DELAWARE,Developmental delay (valid only for children ages 3-9 when defined by state),719,NA,NA,3,15,240,119,1,23,318
2012,DELAWARE,Emotional disturbance,745,NA,NA,4,3,354,48,0,19,317
2012,DELAWARE,Hearing impairment,216,NA,NA,2,7,64,40,0,5,98
2012,DELAWARE,Intellectual disability,1536,NA,NA,6,25,731,178,1,16,579
2012,DELAWARE,Multiple disabilities,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,DELAWARE,Orthopedic impairment,232,NA,NA,0,6,66,31,0,1,128
2012,DELAWARE,Other health impairment,2079,NA,NA,9,15,741,160,1,37,1116
2012,DELAWARE,Specific learning disability,8674,NA,NA,43,80,3882,1273,2,123,3271
2012,DELAWARE,Speech or language impairment,1520,NA,NA,8,39,321,170,0,25,957
2012,DELAWARE,Traumatic brain injury,65,NA,NA,0,1,21,10,0,0,33
2012,DELAWARE,Visual impairment,58,NA,NA,0,0,16,8,0,1,33
2012,DISTRICT OF COLUMBIA,All Disabilities,11035,610,10425,9,45,9385,1071,8,67,450
2012,DISTRICT OF COLUMBIA,Autism,564,NA,NA,0,9,423,48,2,2,80
2012,DISTRICT OF COLUMBIA,Deaf-blindness,0,NA,NA,0,0,0,0,0,0,0
2012,DISTRICT OF COLUMBIA,Developmental delay (valid only for children ages 3-9 when defined by state),445,NA,NA,0,0,341,80,0,8,16
2012,DISTRICT OF COLUMBIA,Emotional disturbance,1326,NA,NA,0,1,1261,43,1,5,15
2012,DISTRICT OF COLUMBIA,Hearing impairment,38,NA,NA,0,0,30,5,0,0,3
2012,DISTRICT OF COLUMBIA,Intellectual disability,832,NA,NA,0,3,763,58,0,5,3
2012,DISTRICT OF COLUMBIA,Multiple disabilities,1351,NA,NA,1,2,1188,74,0,10,76
2012,DISTRICT OF COLUMBIA,Orthopedic impairment,15,NA,NA,0,0,15,0,0,0,0
2012,DISTRICT OF COLUMBIA,Other health impairment,1290,NA,NA,1,4,1108,90,2,12,73
2012,DISTRICT OF COLUMBIA,Specific learning disability,4302,NA,NA,6,16,3591,545,2,21,121
2012,DISTRICT OF COLUMBIA,Speech or language impairment,826,NA,NA,1,9,631,122,1,4,58
2012,DISTRICT OF COLUMBIA,Traumatic brain injury,31,NA,NA,0,1,24,4,0,0,2
2012,DISTRICT OF COLUMBIA,Visual impairment,15,NA,NA,0,0,10,2,0,0,3
2012,FEDERATED STATES OF MICRONESIA,All Disabilities,1856,0,1856,0,0,0,0,1856,0,0
2012,FEDERATED STATES OF MICRONESIA,Autism,7,NA,NA,0,0,0,0,7,0,0
2012,FEDERATED STATES OF MICRONESIA,Deaf-blindness,2,NA,NA,0,0,0,0,2,0,0
2012,FEDERATED STATES OF MICRONESIA,Developmental delay (valid only for children ages 3-9 when defined by state),17,NA,NA,0,0,0,0,17,0,0
2012,FEDERATED STATES OF MICRONESIA,Emotional disturbance,8,NA,NA,0,0,0,0,8,0,0
2012,FEDERATED STATES OF MICRONESIA,Hearing impairment,56,NA,NA,0,0,0,0,56,0,0
2012,FEDERATED STATES OF MICRONESIA,Intellectual disability,13,NA,NA,0,0,0,0,13,0,0
2012,FEDERATED STATES OF MICRONESIA,Multiple disabilities,91,NA,NA,0,0,0,0,91,0,0
2012,FEDERATED STATES OF MICRONESIA,Orthopedic impairment,22,NA,NA,0,0,0,0,22,0,0
2012,FEDERATED STATES OF MICRONESIA,Other health impairment,62,NA,NA,0,0,0,0,62,0,0
2012,FEDERATED STATES OF MICRONESIA,Specific learning disability,1452,NA,NA,0,0,0,0,1452,0,0
2012,FEDERATED STATES OF MICRONESIA,Speech or language impairment,61,NA,NA,0,0,0,0,61,0,0
2012,FEDERATED STATES OF MICRONESIA,Traumatic brain injury,0,NA,NA,0,0,0,0,0,0,0
2012,FEDERATED STATES OF MICRONESIA,Visual impairment,65,NA,NA,0,0,0,0,65,0,0
2012,FLORIDA,All Disabilities,316882,24424,292458,1279,3899,82579,86095,256,8958,133816
2012,FLORIDA,Autism,21920,NA,NA,66,600,3576,6323,25,719,10611
2012,FLORIDA,Deaf-blindness,58,NA,NA,0,3,15,14,0,2,24
2012,FLORIDA,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,FLORIDA,Emotional disturbance,19584,NA,NA,54,46,7932,3467,8,595,7482
2012,FLORIDA,Hearing impairment,3637,NA,NA,16,109,815,1067,4,87,1539
2012,FLORIDA,Intellectual disability,26334,NA,NA,105,397,10328,5840,21,586,9057
2012,FLORIDA,Multiple disabilities,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,FLORIDA,Orthopedic impairment,2900,NA,NA,13,59,586,789,2,79,1372
2012,FLORIDA,Other health impairment,27008,NA,NA,114,201,5617,6967,14,789,13306
2012,FLORIDA,Specific learning disability,136407,NA,NA,601,1009,34909,42570,86,3536,53696
2012,FLORIDA,Speech or language impairment,77301,NA,NA,302,1435,18392,18649,93,2522,35908
2012,FLORIDA,Traumatic brain injury,556,NA,NA,4,7,161,111,0,16,257
2012,FLORIDA,Visual impairment,1177,NA,NA,4,33,248,298,3,27,564
2012,GEORGIA,All Disabilities,167642,8942,158700,358,2612,66310,18333,104,4941,74984
2012,GEORGIA,Autism,12765,NA,NA,24,464,4378,1043,6,420,6430
2012,GEORGIA,Deaf-blindness,25,NA,NA,0,1,8,2,0,0,14
2012,GEORGIA,Developmental delay (valid only for children ages 3-9 when defined by state),11741,NA,NA,25,203,4773,1593,8,350,4789
2012,GEORGIA,Emotional disturbance,13629,NA,NA,34,64,6475,671,10,509,5866
2012,GEORGIA,Hearing impairment,1673,NA,NA,1,64,616,282,0,44,666
2012,GEORGIA,Intellectual disability,16903,NA,NA,33,259,9292,1474,16,327,5502
2012,GEORGIA,Multiple disabilities,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,GEORGIA,Orthopedic impairment,812,NA,NA,4,21,236,99,1,14,437
2012,GEORGIA,Other health impairment,26705,NA,NA,60,210,9335,1596,15,879,14610
2012,GEORGIA,Specific learning disability,58581,NA,NA,130,665,23464,8789,34,1527,23972
2012,GEORGIA,Speech or language impairment,23660,NA,NA,42,629,7300,2677,14,836,12162
2012,GEORGIA,Traumatic brain injury,418,NA,NA,2,9,157,43,0,13,194
2012,GEORGIA,Visual impairment,730,NA,NA,3,23,276,64,0,22,342
2012,GUAM,All Disabilities,1856,87,1769,NA,267,5,3,1531,24,NA
2012,GUAM,Autism,132,NA,NA,NA,57,0,0,68,5,NA
2012,GUAM,Deaf-blindness,1,NA,NA,NA,0,0,0,1,0,NA
2012,GUAM,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,GUAM,Emotional disturbance,118,NA,NA,NA,3,2,0,110,1,NA
2012,GUAM,Hearing impairment,42,NA,NA,NA,7,0,1,33,1,NA
2012,GUAM,Intellectual disability,79,NA,NA,NA,11,0,0,64,4,NA
2012,GUAM,Multiple disabilities,80,NA,NA,NA,17,0,0,60,1,NA
2012,GUAM,Orthopedic impairment,15,NA,NA,NA,4,0,0,10,1,NA
2012,GUAM,Other health impairment,176,NA,NA,NA,15,1,0,154,1,NA
2012,GUAM,Specific learning disability,1034,NA,NA,NA,113,2,2,896,9,NA
2012,GUAM,Speech or language impairment,162,NA,NA,NA,39,0,0,119,1,NA
2012,GUAM,Traumatic brain injury,1,NA,NA,NA,0,0,0,1,0,NA
2012,GUAM,Visual impairment,16,NA,NA,NA,1,0,0,15,0,NA
2012,HAWAII,All Disabilities,17142,1785,15357,128,3741,477,1344,7794,1157,2501
2012,HAWAII,Autism,1199,NA,NA,8,396,38,89,240,114,314
2012,HAWAII,Deaf-blindness,9,NA,NA,0,2,0,0,7,0,0
2012,HAWAII,Developmental delay (valid only for children ages 3-9 when defined by state),1066,NA,NA,8,238,26,117,476,88,113
2012,HAWAII,Emotional disturbance,1063,NA,NA,10,142,24,82,546,80,179
2012,HAWAII,Hearing impairment,289,NA,NA,3,79,6,13,147,15,26
2012,HAWAII,Intellectual disability,1116,NA,NA,7,316,27,78,520,64,104
2012,HAWAII,Multiple disabilities,508,NA,NA,1,174,10,23,196,38,66
2012,HAWAII,Orthopedic impairment,82,NA,NA,0,17,0,6,40,2,17
2012,HAWAII,Other health impairment,2636,NA,NA,17,435,81,231,1116,184,572
2012,HAWAII,Specific learning disability,8510,NA,NA,67,1807,237,633,4289,521,956
2012,HAWAII,Speech or language impairment,553,NA,NA,7,104,27,66,161,48,140
2012,HAWAII,Traumatic brain injury,54,NA,NA,0,15,0,3,28,1,7
2012,HAWAII,Visual impairment,57,NA,NA,0,16,1,3,28,2,7
2012,IDAHO,All Disabilities,23803,1576,22227,520,190,361,4054,67,481,18130
2012,IDAHO,Autism,2100,NA,NA,34,27,20,210,9,41,1759
2012,IDAHO,Deaf-blindness,2,NA,NA,0,1,0,0,0,0,1
2012,IDAHO,Developmental delay (valid only for children ages 3-9 when defined by state),1632,NA,NA,41,10,13,359,6,41,1162
2012,IDAHO,Emotional disturbance,1395,NA,NA,33,1,42,165,4,37,1113
2012,IDAHO,Hearing impairment,273,NA,NA,2,10,6,64,2,3,186
2012,IDAHO,Intellectual disability,1957,NA,NA,37,21,38,400,6,28,1427
2012,IDAHO,Multiple disabilities,516,NA,NA,11,9,9,71,0,9,407
2012,IDAHO,Orthopedic impairment,101,NA,NA,0,2,1,20,0,1,77
2012,IDAHO,Other health impairment,3928,NA,NA,81,13,73,428,9,91,3233
2012,IDAHO,Specific learning disability,6592,NA,NA,177,28,91,1510,14,118,4654
2012,IDAHO,Speech or language impairment,5109,NA,NA,102,64,63,793,16,109,3962
2012,IDAHO,Traumatic brain injury,113,NA,NA,2,0,4,16,1,1,89
2012,IDAHO,Visual impairment,85,NA,NA,0,4,1,18,0,2,60
2012,ILLINOIS,All Disabilities,255219,13319,241900,1078,4982,56196,52749,297,7173,132744
2012,ILLINOIS,Autism,17272,NA,NA,62,834,2681,2592,40,506,10557
2012,ILLINOIS,Deaf-blindness,26,NA,NA,0,1,4,4,1,0,16
2012,ILLINOIS,Developmental delay (valid only for children ages 3-9 when defined by state),13866,NA,NA,67,381,2612,3245,21,501,7039
2012,ILLINOIS,Emotional disturbance,20192,NA,NA,78,208,6366,2466,17,738,10319
2012,ILLINOIS,Hearing impairment,3378,NA,NA,12,129,537,854,6,99,1741
2012,ILLINOIS,Intellectual disability,18459,NA,NA,80,459,6537,3574,19,366,7424
2012,ILLINOIS,Multiple disabilities,2106,NA,NA,5,73,341,354,3,37,1293
2012,ILLINOIS,Orthopedic impairment,1431,NA,NA,3,46,238,282,3,27,832
2012,ILLINOIS,Other health impairment,28559,NA,NA,109,369,4247,3248,30,934,19622
2012,ILLINOIS,Specific learning disability,104971,NA,NA,501,1127,26424,27241,89,2624,46965
2012,ILLINOIS,Speech or language impairment,43227,NA,NA,151,1293,5835,8564,64,1292,26028
2012,ILLINOIS,Traumatic brain injury,674,NA,NA,4,20,187,123,0,19,321
2012,ILLINOIS,Visual impairment,1058,NA,NA,6,42,187,202,4,30,587
2012,INDIANA,All Disabilities,150339,5818,144521,537,1105,20340,11035,58,7113,110151
2012,INDIANA,Autism,12621,NA,NA,32,163,1140,731,4,546,10005
2012,INDIANA,Deaf-blindness,27,NA,NA,0,1,7,2,0,0,17
2012,INDIANA,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,INDIANA,Emotional disturbance,13070,NA,NA,59,20,2440,477,8,855,9211
2012,INDIANA,Hearing impairment,2164,NA,NA,7,69,209,184,3,89,1603
2012,INDIANA,Intellectual disability,15474,NA,NA,61,112,3576,1238,6,683,9798
2012,INDIANA,Multiple disabilities,1992,NA,NA,5,19,245,133,1,82,1507
2012,INDIANA,Orthopedic impairment,1411,NA,NA,4,34,131,101,1,54,1086
2012,INDIANA,Other health impairment,16565,NA,NA,50,90,2148,750,6,874,12647
2012,INDIANA,Specific learning disability,53992,NA,NA,219,211,7500,4557,13,2422,39070
2012,INDIANA,Speech or language impairment,31603,NA,NA,95,369,2764,2755,16,1449,24155
2012,INDIANA,Traumatic brain injury,466,NA,NA,2,1,69,41,0,19,334
2012,INDIANA,Visual impairment,954,NA,NA,3,16,111,66,0,40,718
2012,IOWA,All Disabilities,58773,2632,56141,407,591,5237,5923,74,1930,44611
2012,IOWA,Autism,659,NA,NA,5,7,59,67,1,22,498
2012,IOWA,Deaf-blindness,0,NA,NA,0,0,0,0,0,0,0
2012,IOWA,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,IOWA,Emotional disturbance,5725,NA,NA,40,58,511,577,7,188,4344
2012,IOWA,Hearing impairment,410,NA,NA,3,4,37,42,1,14,309
2012,IOWA,Intellectual disability,10132,NA,NA,70,102,902,1021,13,333,7691
2012,IOWA,Multiple disabilities,321,NA,NA,2,3,29,33,0,11,243
2012,IOWA,Orthopedic impairment,659,NA,NA,5,7,59,67,1,22,498
2012,IOWA,Other health impairment,78,NA,NA,1,1,7,8,0,3,58
2012,IOWA,Specific learning disability,35490,NA,NA,244,355,3160,3572,45,1163,26951
2012,IOWA,Speech or language impairment,5062,NA,NA,35,51,451,511,6,166,3842
2012,IOWA,Traumatic brain injury,159,NA,NA,1,2,15,17,0,5,119
2012,IOWA,Visual impairment,78,NA,NA,1,1,7,8,0,3,58
2012,KANSAS,All Disabilities,56519,2142,54377,983,717,5567,8282,57,2820,38093
2012,KANSAS,Autism,2934,NA,NA,31,71,257,292,3,143,2137
2012,KANSAS,Deaf-blindness,15,NA,NA,0,1,1,1,0,0,12
2012,KANSAS,Developmental delay (valid only for children ages 3-9 when defined by state),4678,NA,NA,65,55,367,733,2,241,3215
2012,KANSAS,Emotional disturbance,2474,NA,NA,33,12,365,233,1,176,1654
2012,KANSAS,Hearing impairment,519,NA,NA,6,17,33,101,0,18,344
2012,KANSAS,Intellectual disability,3392,NA,NA,61,52,583,501,7,148,2040
2012,KANSAS,Multiple disabilities,2548,NA,NA,50,43,223,256,1,138,1837
2012,KANSAS,Orthopedic impairment,247,NA,NA,3,7,15,38,1,5,178
2012,KANSAS,Other health impairment,7121,NA,NA,88,38,667,606,6,408,5308
2012,KANSAS,Specific learning disability,23560,NA,NA,531,236,2569,4377,26,1111,14710
2012,KANSAS,Speech or language impairment,8692,NA,NA,106,174,450,1102,9,414,6437
2012,KANSAS,Traumatic brain injury,162,NA,NA,2,5,21,21,0,8,105
2012,KANSAS,Visual impairment,177,NA,NA,7,6,16,21,1,10,116
2012,KENTUCKY,All Disabilities,80100,1569,78531,126,476,9977,2773,29,1805,64914
2012,KENTUCKY,Autism,4321,NA,NA,8,49,426,132,1,88,3617
2012,KENTUCKY,Deaf-blindness,14,NA,NA,0,0,1,3,0,0,10
2012,KENTUCKY,Developmental delay (valid only for children ages 3-9 when defined by state),6079,NA,NA,8,28,756,299,0,175,4813
2012,KENTUCKY,Emotional disturbance,4734,NA,NA,6,11,1067,114,1,164,3371
2012,KENTUCKY,Hearing impairment,605,NA,NA,1,13,53,29,0,10,499
2012,KENTUCKY,Intellectual disability,13982,NA,NA,17,53,1779,304,2,206,11621
2012,KENTUCKY,Multiple disabilities,2185,NA,NA,3,17,240,64,1,32,1828
2012,KENTUCKY,Orthopedic impairment,435,NA,NA,0,6,40,10,0,10,369
2012,KENTUCKY,Other health impairment,13452,NA,NA,23,39,2125,280,2,366,10617
2012,KENTUCKY,Specific learning disability,14154,NA,NA,33,38,1754,721,6,311,11291
2012,KENTUCKY,Speech or language impairment,19433,NA,NA,26,214,1665,794,15,436,16283
2012,KENTUCKY,Traumatic brain injury,217,NA,NA,1,4,28,9,1,3,171
