year,state,disability,total_6to21,hisp,aian,asian7,black,nhpi7,white,tworace,total_ethnicity,api
2010,American Samoa,Autism,NA,NA,0,0,0,NA,0,0,NA,0
2010,American Samoa,Traumatic brain injury,NA,NA,0,NA,NA,NA,0,0,NA,NA
2010,American Samoa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,American Samoa,All disabilities,793,0,NA,NA,0,NA,0,0,793,NA
2010,Arizona,Mental retardation,7617,3477,566,144,666,12,2695,57,7617,156
2010,Arizona,Hearing impairments,1557,717,95,56,84,NA,598,NA,1557,56
2010,Arizona,Speech or language impairments,20115,8231,1077,407,973,50,9149,228,20115,457
2010,Arizona,Visual impairments,549,178,53,17,NA,NA,270,NA,549,17
2010,Arizona,Emotional disturbance,7928,2019,446,47,906,11,4412,87,7928,58
2010,Arizona,Orthopedic impairments,713,250,28,16,32,NA,379,NA,713,16
2010,Arizona,Other health impairments,8433,2177,329,80,654,9,5075,109,8433,89
2010,Arizona,Specific learning disabilities,53977,25394,4588,470,3715,53,19345,412,53977,523
2010,Arizona,Deaf-blindness,79,30,5,NA,NA,0,37,0,79,0
2010,Arizona,Multiple disabilities,1970,782,171,44,123,0,832,18,1970,44
2010,Arizona,Autism,7095,1888,199,222,438,14,4252,82,7095,236
2010,Arizona,Traumatic brain injury,323,120,33,NA,23,NA,139,5,323,NA
2010,Arizona,Developmental delay,704,288,57,12,57,NA,281,NA,704,12
2010,Arizona,All disabilities,111060,45551,7647,1521,7696,155,47464,1026,111060,1676
2010,Arkansas,Mental retardation,5872,391,33,23,2290,22,3068,45,5872,45
2010,Arkansas,Hearing impairments,526,68,NA,8,103,9,330,NA,526,17
2010,Arkansas,Speech or language impairments,12651,1204,97,136,2572,36,8387,219,12651,172
2010,Arkansas,Visual impairments,208,12,NA,5,56,0,132,NA,208,5
2010,Arkansas,Emotional disturbance,757,30,9,NA,147,0,552,17,NA,0
2010,Arkansas,Orthopedic impairments,198,11,NA,NA,NA,NA,144,NA,198,NA
2010,Arkansas,Other health impairments,8418,281,63,25,1824,9,6097,119,8418,34
2010,Arkansas,Specific learning disabilities,19096,1642,157,66,4992,61,11970,208,19096,127
2010,Arkansas,Deaf-blindness,NA,NA,0,0,NA,0,7,0,NA,0
2010,Arkansas,Multiple disabilities,1361,104,NA,14,341,NA,886,10,1361,14
2010,Arkansas,Autism,2602,142,NA,49,355,NA,2000,35,2602,49
2010,Arkansas,Traumatic brain injury,NA,NA,NA,0,37,0,101,NA,NA,0
2010,Arkansas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Arkansas,All disabilities,51847,3894,392,332,12751,143,33674,661,51847,475
2010,BIE schools,Mental retardation,359,0,NA,0,0,0,NA,0,359,0
2010,BIE schools,Hearing impairments,40,0,NA,0,0,0,0,0,NA,0
2010,BIE schools,Speech or language impairments,1204,NA,1185,0,0,0,15,NA,1204,0
2010,BIE schools,Visual impairments,13,0,NA,0,0,0,0,0,NA,0
2010,BIE schools,Emotional disturbance,414,0,408,0,0,0,NA,0,NA,0
2010,BIE schools,Orthopedic impairments,16,0,15,0,0,0,NA,0,NA,0
2010,BIE schools,Other health impairments,446,0,438,0,NA,0,5,NA,446,0
2010,BIE schools,Specific learning disabilities,3310,NA,3275,0,0,0,26,NA,3310,0
2010,BIE schools,Deaf-blindness,0,0,0,0,0,0,0,0,0,0
2010,BIE schools,Multiple disabilities,151,0,148,0,0,0,NA,0,NA,0
2010,BIE schools,Autism,110,NA,103,0,0,0,NA,0,NA,0
2010,BIE schools,Traumatic brain injury,31,0,31,0,0,0,0,0,31,0
2010,BIE schools,Developmental delay,311,0,308,0,0,0,NA,NA,NA,0
2010,BIE schools,All disabilities,6405,11,6322,0,NA,0,NA,NA,6405,0
2010,California,Mental retardation,38011,20778,270,2992,4180,191,8652,948,38011,3183
2010,California,Hearing impairments,10523,5694,55,1027,674,81,2759,233,10523,1108
2010,California,Speech or language impairments,118707,59575,951,10304,7437,640,36144,3656,118707,10944
2010,California,Visual impairments,3561,1576,25,334,335,24,1181,86,3561,358
2010,California,Emotional disturbance,26318,7785,314,730,5146,113,11429,801,26318,843
2010,California,Orthopedic impairments,12145,5922,73,963,890,75,3951,271,12145,1038
2010,California,Other health impairments,53439,19100,502,1916,6890,203,23191,1637,53439,2119
2010,California,Specific learning disabilities,278186,162784,2552,8531,32500,1217,63740,6862,278186,9748
2010,California,Deaf-blindness,114,49,0,13,NA,0,43,NA,114,13
2010,California,Multiple disabilities,4267,1907,25,405,453,25,1345,107,4267,430
2010,California,Autism,52840,18244,315,7381,4113,207,20852,1728,52840,7588
2010,California,Traumatic brain injury,1659,826,17,117,NA,10,470,NA,1659,127
2010,California,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,California,All disabilities,599770,304240,5099,34713,62791,2786,173757,16384,599770,37499
2010,Colorado,Mental retardation,2949,1147,NA,56,335,NA,1292,70,2949,56
2010,Colorado,Hearing impairments,1351,541,13,51,59,0,656,31,1351,51
2010,Colorado,Speech or language impairments,13774,4991,179,314,691,33,7198,368,13774,347
2010,Colorado,Visual impairments,322,NA,0,14,22,0,190,NA,322,14
2010,Colorado,Emotional disturbance,6815,1532,105,54,716,10,4162,236,6815,64
2010,Colorado,Orthopedic impairments,9449,2104,92,112,553,9,6331,248,9449,121
2010,Colorado,Other health impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Colorado,Specific learning disabilities,31142,11958,480,347,2310,40,15327,680,31142,387
2010,Colorado,Deaf-blindness,25,NA,0,0,NA,0,15,0,25,0
2010,Colorado,Multiple disabilities,3199,990,NA,81,205,NA,1825,67,3199,81
2010,Colorado,Autism,3420,587,34,91,172,8,2442,86,3420,99
2010,Colorado,Traumatic brain injury,467,139,NA,5,NA,0,275,NA,467,5
2010,Colorado,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Colorado,All disabilities,72913,24085,986,1125,5086,107,39713,1811,72913,1232
2010,Connecticut,Mental retardation,2427,580,NA,54,483,NA,1274,NA,2427,54
2010,Connecticut,Hearing impairments,609,154,NA,40,92,0,315,NA,609,40
2010,Connecticut,Speech or language impairments,10617,2492,48,317,1718,5,5895,142,10617,322
2010,Connecticut,Visual impairments,170,30,NA,NA,31,0,104,0,170,0
2010,Connecticut,Emotional disturbance,5317,1264,NA,40,1230,NA,2690,60,5317,40
2010,Connecticut,Orthopedic impairments,79,17,0,NA,NA,0,55,0,79,0
2010,Connecticut,Other health impairments,11603,2159,63,139,1678,6,7419,139,11603,145
2010,Connecticut,Specific learning disabilities,21121,5025,102,218,3529,11,11998,238,21121,229
2010,Connecticut,Deaf-blindness,26,NA,0,0,NA,0,18,0,26,0
2010,Connecticut,Multiple disabilities,2604,527,NA,86,421,NA,1522,30,2604,86
2010,Connecticut,Autism,5539,690,16,219,664,0,3884,66,5539,219
2010,Connecticut,Traumatic brain injury,122,NA,0,NA,24,0,71,0,122,0
2010,Connecticut,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Connecticut,All disabilities,60234,12965,292,1121,9880,29,35245,702,60234,1150
2010,Delaware,Mental retardation,1612,169,8,26,809,0,583,17,1612,26
2010,Delaware,Hearing impairments,217,36,NA,7,63,0,106,NA,217,7
2010,Delaware,Speech or language impairments,1414,119,12,27,344,0,885,27,1414,27
2010,Delaware,Visual impairments,56,7,0,0,18,0,31,0,56,0
2010,Delaware,Emotional disturbance,709,42,NA,NA,324,0,328,12,NA,0
2010,Delaware,Orthopedic impairments,295,40,NA,NA,84,0,161,0,295,0
2010,Delaware,Other health impairments,2097,146,9,18,691,0,1203,30,2097,18
2010,Delaware,Specific learning disabilities,8755,1103,43,86,3814,0,3607,102,8755,86
2010,Delaware,Deaf-blindness,49,10,NA,NA,14,0,23,0,49,0
2010,Delaware,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Delaware,Autism,841,47,NA,34,203,0,544,NA,841,34
2010,Delaware,Traumatic brain injury,50,9,0,NA,16,0,24,0,NA,0
2010,Delaware,Developmental delay,390,57,NA,6,150,NA,172,NA,390,6
2010,Delaware,All disabilities,16485,1785,NA,216,6530,NA,7667,205,16485,216
2010,District of Columbia,Mental retardation,933,55,0,NA,869,0,NA,5,933,0
2010,District of Columbia,Hearing impairments,42,NA,0,0,32,0,NA,0,NA,0
2010,District of Columbia,Speech or language impairments,737,117,0,11,559,0,44,6,737,11
2010,District of Columbia,Visual impairments,18,NA,0,0,13,0,NA,0,NA,0
2010,District of Columbia,Emotional disturbance,1560,41,NA,NA,1491,NA,NA,NA,1560,NA
2010,District of Columbia,Orthopedic impairments,16,NA,0,0,15,0,0,0,NA,0
2010,District of Columbia,Other health impairments,927,57,NA,5,803,0,56,NA,927,5
2010,District of Columbia,Specific learning disabilities,4658,434,NA,17,4027,NA,161,11,4658,17
2010,District of Columbia,Deaf-blindness,0,0,0,0,0,0,0,0,0,0
2010,District of Columbia,Multiple disabilities,1395,66,0,NA,1261,NA,NA,5,1395,NA
2010,District of Columbia,Autism,423,32,0,NA,319,NA,63,NA,NA,NA
2010,District of Columbia,Traumatic brain injury,27,NA,0,NA,23,0,0,0,NA,0
2010,District of Columbia,Developmental delay,254,40,0,NA,202,0,10,NA,254,0
2010,District of Columbia,All disabilities,10990,857,8,45,9614,7,421,38,10990,52
2010,Florida,Mental retardation,28120,5793,116,373,11412,20,9820,586,28120,393
2010,Florida,Hearing impairments,3338,952,NA,83,760,NA,1439,86,3338,83
2010,Florida,Speech or language impairments,81219,18359,383,1566,18665,74,39526,2646,81219,1640
2010,Florida,Visual impairments,1100,277,NA,25,239,NA,530,24,1100,25
2010,Florida,Emotional disturbance,23667,3809,69,55,9578,18,9476,662,23667,73
2010,Florida,Orthopedic impairments,3254,799,NA,59,666,NA,1644,65,3254,59
2010,Florida,Other health impairments,24788,5889,106,183,4998,20,12937,655,24788,203
2010,Florida,Specific learning disabilities,149703,44689,710,1035,36837,116,62652,3664,149703,1151
2010,Florida,Deaf-blindness,46,14,0,NA,9,0,20,NA,46,0
2010,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Florida,Autism,16963,4617,61,465,2850,24,8445,501,16963,489
2010,Florida,Traumatic brain injury,583,118,NA,NA,156,0,281,NA,583,0
2010,Florida,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Florida,All disabilities,332781,85316,1489,3854,86170,275,146770,8907,332781,4129
2010,Georgia,Mental retardation,17927,1384,34,235,10039,16,5901,318,17927,251
2010,Georgia,Hearing impairments,1672,254,NA,59,620,NA,687,48,1672,59
2010,Georgia,Speech or language impairments,24751,2627,54,554,7976,14,12693,833,24751,568
2010,Georgia,Visual impairments,700,58,NA,18,264,NA,334,24,700,18
2010,Georgia,Emotional disturbance,15931,696,47,73,7595,13,6993,514,15931,86
2010,Georgia,Orthopedic impairments,886,95,NA,22,266,NA,482,16,886,22
2010,Georgia,Other health impairments,25435,1356,70,190,8683,11,14307,818,25435,201
2010,Georgia,Specific learning disabilities,53276,7283,154,596,21105,30,22882,1226,53276,626
2010,Georgia,Deaf-blindness,26,NA,0,NA,8,0,15,0,NA,0
2010,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Georgia,Autism,10548,734,20,378,3548,5,5531,332,10548,383
2010,Georgia,Traumatic brain injury,459,NA,0,NA,179,0,215,15,NA,0
2010,Georgia,Developmental delay,10022,1289,25,183,3949,7,4241,328,10022,190
2010,Georgia,All disabilities,161633,15821,412,2316,64232,99,74281,4472,161633,2415
2010,Guam,Mental retardation,72,0,0,NA,0,56,0,NA,NA,56
2010,Guam,Hearing impairments,51,0,0,NA,0,39,NA,0,51,39
2010,Guam,Speech or language impairments,188,NA,NA,NA,NA,133,0,NA,188,133
2010,Guam,Visual impairments,14,0,0,NA,0,13,0,0,NA,13
2010,Guam,Emotional disturbance,126,0,NA,NA,NA,114,NA,NA,126,114
2010,Guam,Orthopedic impairments,28,0,0,NA,0,NA,NA,NA,NA,NA
2010,Guam,Other health impairments,161,0,0,NA,NA,141,NA,NA,NA,141
2010,Guam,Specific learning disabilities,1015,NA,NA,108,NA,884,10,8,NA,992
2010,Guam,Deaf-blindness,NA,0,0,0,0,NA,0,0,NA,0
2010,Guam,Multiple disabilities,65,0,0,9,0,52,NA,NA,NA,61
2010,Guam,Autism,116,0,0,44,0,63,NA,NA,116,107
2010,Guam,Traumatic brain injury,NA,0,0,0,0,NA,0,0,NA,0
2010,Guam,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Guam,All disabilities,1838,NA,NA,264,6,1517,22,24,1838,1781
2010,Hawaii,Mental retardation,1182,60,7,332,33,540,116,94,1182,872
2010,Hawaii,Hearing impairments,309,11,NA,91,NA,146,NA,25,309,237
2010,Hawaii,Speech or language impairments,544,36,NA,121,NA,179,127,50,544,300
2010,Hawaii,Visual impairments,NA,NA,0,NA,NA,NA,NA,6,NA,NA
2010,Hawaii,Emotional disturbance,1236,53,9,195,35,622,216,106,1236,817
2010,Hawaii,Orthopedic impairments,79,NA,0,20,NA,31,16,9,79,51
2010,Hawaii,Other health impairments,2648,110,22,474,85,1180,568,209,2648,1654
2010,Hawaii,Specific learning disabilities,8483,453,71,1843,255,4159,1003,699,8483,6002
2010,Hawaii,Deaf-blindness,NA,0,0,NA,0,NA,0,0,NA,NA
2010,Hawaii,Multiple disabilities,471,16,0,169,13,171,64,38,471,340
2010,Hawaii,Autism,1064,51,9,380,29,237,257,101,1064,617
2010,Hawaii,Traumatic brain injury,69,NA,0,19,NA,28,13,5,NA,47
2010,Hawaii,Developmental delay,1167,72,NA,296,NA,524,134,101,1167,820
2010,Hawaii,All disabilities,17318,870,136,3957,516,7846,2550,1443,17318,11803
2010,Idaho,Mental retardation,1804,314,29,13,28,9,1383,28,1804,22
2010,Idaho,Hearing impairments,258,52,NA,11,7,NA,176,6,258,11
2010,Idaho,Speech or language impairments,5329,685,111,72,64,13,4278,106,5329,85
2010,Idaho,Visual impairments,NA,17,NA,5,0,0,NA,NA,NA,5
2010,Idaho,Emotional disturbance,1397,118,39,6,43,NA,1155,32,NA,6
2010,Idaho,Orthopedic impairments,113,22,0,NA,NA,0,87,NA,113,0
2010,Idaho,Other health impairments,3142,278,62,12,57,8,2663,62,3142,20
2010,Idaho,Specific learning disabilities,7690,1404,211,29,113,18,5808,107,7690,47
2010,Idaho,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA,0
2010,Idaho,Multiple disabilities,495,53,10,NA,10,0,410,NA,495,0
2010,Idaho,Autism,1885,148,25,28,16,7,1634,27,1885,35
2010,Idaho,Traumatic brain injury,122,24,5,NA,NA,NA,88,NA,122,NA
2010,Idaho,Developmental delay,1453,251,41,NA,12,NA,1105,31,1453,NA
2010,Idaho,All disabilities,23792,3366,539,193,353,63,18866,412,23792,256
2010,Illinois,Mental retardation,20455,3778,65,457,7581,24,8209,341,20455,481
2010,Illinois,Hearing impairments,3558,882,13,135,550,9,1882,87,3558,144
2010,Illinois,Speech or language impairments,46777,8797,198,1317,6420,62,28632,1351,46777,1379
2010,Illinois,Visual impairments,1073,202,NA,42,NA,NA,599,28,1073,42
2010,Illinois,Emotional disturbance,22063,2621,74,204,7287,11,11153,713,22063,215
2010,Illinois,Orthopedic impairments,1615,338,NA,44,293,NA,903,33,1615,44
2010,Illinois,Other health impairments,26315,2682,113,305,3658,23,18767,767,26315,328
2010,Illinois,Specific learning disabilities,116793,28281,528,1227,28773,107,55158,2719,116793,1334
2010,Illinois,Deaf-blindness,31,NA,0,NA,NA,NA,21,NA,NA,NA
2010,Illinois,Multiple disabilities,1890,303,NA,63,310,NA,1163,43,1890,63
2010,Illinois,Autism,14834,2056,58,683,2337,31,9253,416,14834,714
2010,Illinois,Traumatic brain injury,676,NA,NA,NA,201,NA,316,NA,NA,NA
2010,Illinois,Developmental delay,10262,2112,31,303,1855,13,5558,390,10262,316
2010,Illinois,All disabilities,266342,52184,1095,4793,59463,288,141614,6905,266342,5081
2010,Indiana,Mental retardation,17037,1166,76,98,4129,6,10784,778,17037,104
2010,Indiana,Hearing impairments,2039,151,NA,53,203,NA,1532,87,2039,53
2010,Indiana,Speech or language impairments,32009,2307,124,346,2902,13,24809,1508,32009,359
2010,Indiana,Visual impairments,887,58,NA,NA,114,0,672,30,887,0
2010,Indiana,Emotional disturbance,13407,362,73,17,2492,6,9602,855,13407,23
2010,Indiana,Orthopedic impairments,1396,96,NA,NA,120,0,1089,60,1396,0
2010,Indiana,Other health impairments,13490,466,62,NA,1570,NA,10684,644,13490,NA
2010,Indiana,Specific learning disabilities,53917,3782,277,172,7377,21,39903,2385,53917,193
2010,Indiana,Deaf-blindness,25,NA,0,0,NA,0,21,0,NA,0
2010,Indiana,Multiple disabilities,1886,106,7,13,219,0,1467,74,1886,13
2010,Indiana,Autism,10773,483,39,139,943,5,8671,493,10773,144
2010,Indiana,Traumatic brain injury,482,NA,NA,NA,NA,0,348,19,NA,0
2010,Indiana,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Indiana,All disabilities,147348,9011,678,938,20150,56,109582,6933,147348,994
2010,Iowa,Mental retardation,10528,951,78,95,940,10,8187,267,10528,105
2010,Iowa,Hearing impairments,428,39,NA,NA,39,0,332,11,428,0
2010,Iowa,Speech or language impairments,5266,476,39,48,470,5,4095,133,5266,53
2010,Iowa,Visual impairments,77,8,NA,NA,8,0,57,NA,77,0
2010,Iowa,Emotional disturbance,5959,538,44,54,532,6,4634,151,5959,60
2010,Iowa,Orthopedic impairments,682,62,NA,6,62,NA,529,17,682,6
2010,Iowa,Other health impairments,77,8,NA,NA,8,0,57,NA,77,0
2010,Iowa,Specific learning disabilities,36923,3327,271,332,3291,36,28732,934,36923,368
2010,Iowa,Deaf-blindness,0,0,0,0,0,0,0,0,0,0
2010,Iowa,Multiple disabilities,336,31,NA,NA,31,0,259,9,336,0
2010,Iowa,Autism,682,62,NA,6,62,NA,529,17,682,6
2010,Iowa,Traumatic brain injury,165,15,NA,NA,15,0,128,NA,165,0
2010,Iowa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Iowa,All disabilities,61123,5517,451,552,5458,59,47539,1547,61123,611
2010,Kansas,Mental retardation,3630,529,57,NA,659,NA,2210,121,3630,NA
2010,Kansas,Hearing impairments,539,98,NA,19,41,0,364,NA,539,19
2010,Kansas,Speech or language impairments,8902,1124,117,170,460,16,6692,323,8902,186
2010,Kansas,Visual impairments,169,NA,NA,5,20,NA,109,8,169,5
2010,Kansas,Emotional disturbance,2777,227,48,NA,430,NA,1917,141,2777,NA
2010,Kansas,Orthopedic impairments,271,29,NA,5,NA,NA,212,7,271,5
2010,Kansas,Other health impairments,6976,553,98,33,672,6,5317,297,6976,39
2010,Kansas,Specific learning disabilities,23235,4140,444,249,2574,29,14985,814,23235,278
2010,Kansas,Deaf-blindness,18,NA,0,NA,NA,0,13,NA,NA,0
2010,Kansas,Multiple disabilities,2315,213,41,31,232,0,1708,90,2315,31
2010,Kansas,Autism,2332,216,NA,69,201,NA,1746,81,2332,69
2010,Kansas,Traumatic brain injury,188,27,NA,5,19,NA,123,9,NA,5
2010,Kansas,Developmental delay,4917,723,69,60,442,5,3431,187,4917,65
2010,Kansas,All disabilities,56269,7902,904,709,5763,72,38827,2092,56269,781
2010,Kentucky,Mental retardation,15437,287,NA,52,2061,NA,12849,168,15437,52
2010,Kentucky,Hearing impairments,626,29,NA,NA,59,0,515,11,626,0
2010,Kentucky,Speech or language impairments,19960,654,35,189,1734,12,17012,324,19960,201
2010,Kentucky,Visual impairments,479,8,0,NA,38,0,426,NA,479,0
2010,Kentucky,Emotional disturbance,5080,82,NA,7,1184,NA,3657,142,5080,7
2010,Kentucky,Orthopedic impairments,457,11,0,NA,43,0,392,NA,457,0
2010,Kentucky,Other health impairments,14634,241,NA,39,2157,NA,11876,294,14634,39
2010,Kentucky,Specific learning disabilities,14025,568,37,NA,1724,NA,11445,215,14025,NA
2010,Kentucky,Deaf-blindness,16,NA,0,0,NA,0,14,0,16,0
2010,Kentucky,Multiple disabilities,2849,50,NA,16,286,NA,2451,40,2849,16
2010,Kentucky,Autism,3502,70,6,46,358,0,2972,50,3502,46
2010,Kentucky,Traumatic brain injury,225,NA,0,NA,NA,0,189,NA,225,0
2010,Kentucky,Developmental delay,7117,234,NA,44,964,NA,5711,152,7117,44
2010,Kentucky,All disabilities,84407,2241,141,447,10636,27,69509,1406,84407,474
2010,Louisiana,Mental retardation,7625,120,54,31,4939,NA,2465,NA,7625,31
2010,Louisiana,Hearing impairments,1184,54,13,NA,500,0,604,NA,1184,0
2010,Louisiana,Speech or language impairments,17634,496,159,172,6978,5,9718,106,17634,177
2010,Louisiana,Visual impairments,450,NA,NA,5,195,0,237,NA,450,5
2010,Louisiana,Emotional disturbance,1999,29,12,NA,1189,0,753,11,NA,0
2010,Louisiana,Orthopedic impairments,1091,27,12,7,427,NA,612,NA,1091,7
2010,Louisiana,Other health impairments,9332,157,46,35,3640,5,5390,59,9332,40
2010,Louisiana,Specific learning disabilities,23503,473,224,NA,13241,NA,9371,105,23503,NA
2010,Louisiana,Deaf-blindness,NA,0,0,0,NA,0,NA,0,NA,0
