year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5
2006,Alaska,Developmental delay,1013,375,48,69,50,471,1013
2006,Alaska,All disabilities,15773,5423,680,913,662,8095,15773
2006,American Samoa,Mental retardation,26,NA,NA,0,NA,NA,26
2006,American Samoa,Hearing impairments,16,0,16,0,0,0,16
2006,American Samoa,Speech or language impairments,26,NA,NA,0,0,NA,26
2006,American Samoa,Visual impairments,NA,0,NA,NA,0,0,NA
2006,American Samoa,Emotional disturbance,0,0,0,0,0,0,0
2006,American Samoa,Orthopedic impairments,NA,0,NA,0,NA,NA,NA
2006,American Samoa,Other health impairments,0,NA,0,0,0,0,0
2006,American Samoa,Specific learning disabilities,957,0,NA,0,0,NA,957
2006,American Samoa,Deaf-blindness,NA,0,NA,0,0,0,NA
2006,American Samoa,Multiple disabilities,25,0,25,0,0,0,25
2006,American Samoa,Autism,NA,0,NA,0,0,0,NA
2006,American Samoa,Traumatic brain injury,0,0,0,NA,0,0,0
2006,American Samoa,Developmental delay,0,0,0,0,0,NA,0
2006,American Samoa,All disabilities,1068,0,1060,0,0,8,1068
2006,Arizona,Mental retardation,8622,673,136,749,3817,3247,8622
2006,Arizona,Hearing impairments,1807,151,66,65,788,737,1807
2006,Arizona,Speech or language impairments,20937,1219,459,987,7839,10433,20937
2006,Arizona,Visual impairments,585,70,16,29,210,260,585
2006,Arizona,Emotional disturbance,8137,458,68,847,1677,5087,8137
2006,Arizona,Orthopedic impairments,641,29,12,35,214,351,641
2006,Arizona,Other health impairments,5998,231,73,447,1346,3901,5998
2006,Arizona,Specific learning disabilities,59034,5522,494,3868,25228,23922,59034
2006,Arizona,Deaf-blindness,74,5,0,5,27,37,74
2006,Arizona,Multiple disabilities,2324,257,44,140,856,1027,2324
2006,Arizona,Autism,4001,102,142,235,925,2597,4001
2006,Arizona,Traumatic brain injury,454,41,6,24,149,234,454
2006,Arizona,Developmental delay,0,0,0,0,0,0,0
2006,Arizona,All disabilities,112614,8758,1516,7431,43076,51833,112614
2006,Arkansas,Mental retardation,8926,49,35,3849,334,4659,8926
2006,Arkansas,Hearing impairments,575,NA,NA,113,57,387,575
2006,Arkansas,Speech or language impairments,12090,99,127,2456,650,8758,12090
2006,Arkansas,Visual impairments,226,NA,NA,48,7,164,226
2006,Arkansas,Emotional disturbance,786,NA,NA,162,23,590,786
2006,Arkansas,Orthopedic impairments,190,NA,NA,35,9,142,190
2006,Arkansas,Other health impairments,8042,51,22,1608,169,6192,8042
2006,Arkansas,Specific learning disabilities,22568,203,96,5882,1437,14950,22568
2006,Arkansas,Deaf-blindness,10,0,0,NA,NA,5,10
2006,Arkansas,Multiple disabilities,1295,7,6,354,53,875,1295
2006,Arkansas,Autism,1581,13,23,240,45,1260,1581
2006,Arkansas,Traumatic brain injury,155,NA,NA,NA,NA,112,155
2006,Arkansas,Developmental delay,0,0,0,0,0,0,0
2006,Arkansas,All disabilities,56444,442,334,14785,2789,38094,56444
2006,BIE schools,Mental retardation,370,NA,0,0,0,NA,370
2006,BIE schools,Hearing impairments,47,47,0,0,0,0,47
2006,BIE schools,Speech or language impairments,1150,1143,NA,NA,0,NA,1150
2006,BIE schools,Visual impairments,17,17,0,0,0,0,17
2006,BIE schools,Emotional disturbance,403,NA,0,NA,0,0,405
2006,BIE schools,Orthopedic impairments,NA,NA,0,0,0,0,NA
2006,BIE schools,Other health impairments,360,354,0,NA,0,NA,360
2006,BIE schools,Specific learning disabilities,3831,3815,NA,NA,0,15,3842
2006,BIE schools,Deaf-blindness,NA,NA,0,0,0,0,NA
2006,BIE schools,Multiple disabilities,150,150,0,0,0,0,150
2006,BIE schools,Autism,50,NA,0,0,0,NA,50
2006,BIE schools,Traumatic brain injury,25,NA,NA,0,0,0,25
2006,BIE schools,Developmental delay,270,270,0,0,0,0,270
2006,BIE schools,All disabilities,6684,6651,NA,NA,0,23,6697
2006,California,Mental retardation,38421,334,3259,4670,19702,10456,38421
2006,California,Hearing impairments,9937,67,1051,776,4943,3100,9937
2006,California,Speech or language impairments,133563,1131,12567,9456,61200,49209,133563
2006,California,Visual impairments,3858,23,412,366,1601,1456,3858
2006,California,Emotional disturbance,26984,351,812,6006,6628,13187,26984
2006,California,Orthopedic impairments,12622,77,1089,1073,5770,4613,12622
2006,California,Other health impairments,39749,422,1638,4858,11880,20951,39749
2006,California,Specific learning disabilities,303042,2759,11255,41629,163305,84094,303042
2006,California,Deaf-blindness,156,NA,15,NA,65,63,156
2006,California,Multiple disabilities,4591,30,501,517,1939,1604,4591
2006,California,Autism,31077,186,4645,2736,8802,14708,31077
2006,California,Traumatic brain injury,1685,NA,136,NA,749,577,1685
2006,California,Developmental delay,0,0,0,0,0,0,0
2006,California,All disabilities,605685,5399,37380,72304,286584,204018,605685
2006,Colorado,Mental retardation,3390,50,58,419,1224,1639,3390
2006,Colorado,Hearing impairments,1350,20,42,81,434,773,1350
2006,Colorado,Speech or language impairments,15285,266,393,1081,4472,9073,15285
2006,Colorado,Visual impairments,308,NA,NA,23,83,184,308
2006,Colorado,Emotional disturbance,8129,172,76,1010,1606,5265,8129
2006,Colorado,Orthopedic impairments,9088,132,123,670,1708,6455,9088
2006,Colorado,Other health impairments,0,0,0,0,0,0,0
2006,Colorado,Specific learning disabilities,29996,569,350,2401,9878,16798,29996
2006,Colorado,Deaf-blindness,33,0,NA,NA,10,18,33
2006,Colorado,Multiple disabilities,3009,31,82,214,786,1896,3009
2006,Colorado,Autism,1642,12,55,91,207,1277,1642
2006,Colorado,Traumatic brain injury,390,NA,10,NA,96,251,390
2006,Colorado,Developmental delay,0,0,0,0,0,0,0
2006,Colorado,All disabilities,72620,1267,1205,6015,20504,43629,72620
2006,Connecticut,Mental retardation,2782,10,53,602,613,1504,2782
2006,Connecticut,Hearing impairments,714,NA,NA,100,151,420,714
2006,Connecticut,Speech or language impairments,12319,49,318,1888,2370,7694,12319
2006,Connecticut,Visual impairments,247,NA,NA,48,46,146,247
2006,Connecticut,Emotional disturbance,5857,47,44,1255,1250,3261,5857
2006,Connecticut,Orthopedic impairments,374,NA,NA,26,40,300,374
2006,Connecticut,Other health impairments,11095,57,102,1436,1544,7956,11095
2006,Connecticut,Specific learning disabilities,22960,106,209,3834,4754,14057,22960
2006,Connecticut,Deaf-blindness,53,0,NA,NA,5,42,53
2006,Connecticut,Multiple disabilities,2316,8,61,421,431,1395,2316
2006,Connecticut,Autism,3361,12,126,443,296,2484,3361
2006,Connecticut,Traumatic brain injury,114,0,NA,NA,24,72,114
2006,Connecticut,Developmental delay,102,NA,NA,16,41,42,102
2006,Connecticut,All disabilities,62294,295,975,10086,11565,39373,62294
2006,Delaware,Mental retardation,2000,NA,NA,1071,156,751,2000
2006,Delaware,Hearing impairments,271,0,11,73,35,152,271
2006,Delaware,Speech or language impairments,1724,NA,NA,381,104,1200,1724
2006,Delaware,Visual impairments,45,0,NA,13,NA,29,45
2006,Delaware,Emotional disturbance,876,NA,NA,365,47,452,876
2006,Delaware,Orthopedic impairments,427,NA,NA,121,35,263,427
2006,Delaware,Other health impairments,1860,NA,NA,592,96,1158,1860
2006,Delaware,Specific learning disabilities,9297,26,64,3950,965,4292,9297
2006,Delaware,Deaf-blindness,45,0,NA,13,NA,24,45
2006,Delaware,Multiple disabilities,0,0,0,0,0,0,0
2006,Delaware,Autism,576,NA,NA,148,17,395,576
2006,Delaware,Traumatic brain injury,32,0,NA,12,NA,16,32
2006,Delaware,Developmental delay,0,0,0,0,0,0,0
2006,Delaware,All disabilities,17153,NA,NA,6739,1467,8732,17153
2006,District of Columbia,Mental retardation,1201,0,0,1155,NA,NA,1201
2006,District of Columbia,Hearing impairments,53,0,0,42,NA,NA,53
2006,District of Columbia,Speech or language impairments,872,0,NA,750,61,NA,872
2006,District of Columbia,Visual impairments,23,0,0,NA,NA,0,23
2006,District of Columbia,Emotional disturbance,1580,0,NA,1534,28,NA,1580
2006,District of Columbia,Orthopedic impairments,NA,0,0,NA,NA,0,NA
2006,District of Columbia,Other health impairments,461,0,NA,400,NA,NA,461
2006,District of Columbia,Specific learning disabilities,4987,NA,NA,4440,355,173,4987
2006,District of Columbia,Deaf-blindness,NA,0,0,NA,0,0,NA
2006,District of Columbia,Multiple disabilities,774,0,5,696,43,30,774
2006,District of Columbia,Autism,219,0,NA,182,NA,NA,219
2006,District of Columbia,Traumatic brain injury,NA,0,0,NA,0,0,NA
2006,District of Columbia,Developmental delay,130,0,NA,120,NA,6,130
2006,District of Columbia,All disabilities,10359,NA,NA,9394,588,340,10359
2006,Florida,Mental retardation,35323,65,392,16101,6269,12496,35323
2006,Florida,Hearing impairments,3653,7,78,884,986,1698,3653
2006,Florida,Speech or language impairments,79695,239,1406,19426,14412,44212,79695
2006,Florida,Visual impairments,1137,NA,NA,247,226,636,1137
2006,Florida,Emotional disturbance,33295,90,61,13551,4275,15318,33295
2006,Florida,Orthopedic impairments,3899,10,66,827,775,2221,3899
2006,Florida,Other health impairments,20940,72,146,4109,3910,12703,20940
2006,Florida,Specific learning disabilities,176939,510,1223,43818,43449,87939,176939
2006,Florida,Deaf-blindness,62,0,NA,NA,15,34,62
2006,Florida,Multiple disabilities,0,0,0,0,0,0,0
2006,Florida,Autism,9101,27,267,1769,2239,4799,9101
2006,Florida,Traumatic brain injury,601,NA,NA,NA,110,306,601
2006,Florida,Developmental delay,0,0,0,0,0,0,0
2006,Florida,All disabilities,364645,1026,3670,100921,76666,182362,364645
2006,Georgia,Mental retardation,24110,20,246,14650,1309,7885,24110
2006,Georgia,Hearing impairments,1631,NA,NA,603,207,771,1631
2006,Georgia,Speech or language impairments,35348,51,735,11488,2863,20211,35348
2006,Georgia,Visual impairments,647,NA,NA,223,33,370,647
2006,Georgia,Emotional disturbance,22287,40,93,10920,533,10701,22287
2006,Georgia,Orthopedic impairments,1016,NA,NA,308,63,620,1016
2006,Georgia,Other health impairments,26030,46,172,8467,908,16437,26030
2006,Georgia,Specific learning disabilities,54387,78,535,20916,5323,27535,54387
2006,Georgia,Deaf-blindness,22,0,NA,5,NA,10,22
2006,Georgia,Multiple disabilities,0,0,0,0,0,0,0
2006,Georgia,Autism,6815,5,209,2339,303,3959,6815
2006,Georgia,Traumatic brain injury,471,NA,NA,195,NA,241,471
2006,Georgia,Developmental delay,3636,NA,NA,1599,272,1703,3636
2006,Georgia,All disabilities,176400,250,2146,71713,11848,90443,176400
2006,Guam,Mental retardation,83,0,80,NA,NA,0,83
2006,Guam,Hearing impairments,48,0,48,0,0,0,48
2006,Guam,Speech or language impairments,220,0,215,0,0,5,220
2006,Guam,Visual impairments,11,0,11,0,0,0,11
2006,Guam,Emotional disturbance,83,0,NA,0,0,NA,83
2006,Guam,Orthopedic impairments,31,0,NA,NA,0,0,31
2006,Guam,Other health impairments,122,0,NA,0,0,NA,122
2006,Guam,Specific learning disabilities,1503,NA,1482,NA,NA,16,1503
2006,Guam,Deaf-blindness,NA,0,NA,0,0,0,NA
2006,Guam,Multiple disabilities,55,0,53,0,NA,NA,55
2006,Guam,Autism,60,0,NA,0,0,NA,60
2006,Guam,Traumatic brain injury,NA,0,NA,0,0,0,NA
2006,Guam,Developmental delay,7,0,NA,0,0,0,7
2006,Guam,All disabilities,2228,NA,2191,NA,6,27,2228
2006,Hawaii,Mental retardation,1505,NA,1302,NA,41,136,1505
2006,Hawaii,Hearing impairments,317,NA,274,NA,NA,NA,317
2006,Hawaii,Speech or language impairments,775,NA,508,NA,38,194,775
2006,Hawaii,Visual impairments,67,NA,NA,NA,NA,14,67
2006,Hawaii,Emotional disturbance,2004,NA,1497,53,71,NA,2004
2006,Hawaii,Orthopedic impairments,76,0,56,NA,0,NA,76
2006,Hawaii,Other health impairments,2520,24,1799,91,87,519,2520
2006,Hawaii,Specific learning disabilities,9061,59,7152,226,353,1271,9061
2006,Hawaii,Deaf-blindness,NA,0,NA,0,0,0,NA
2006,Hawaii,Multiple disabilities,348,NA,282,NA,10,47,348
2006,Hawaii,Autism,859,6,576,17,29,231,859
2006,Hawaii,Traumatic brain injury,NA,NA,56,0,0,NA,NA
2006,Hawaii,Developmental delay,1038,9,823,41,34,131,1038
2006,Hawaii,All disabilities,18640,136,14378,492,669,2965,18640
2006,Idaho,Mental retardation,1787,38,21,25,299,1404,1787
2006,Idaho,Hearing impairments,247,NA,5,NA,35,201,247
2006,Idaho,Speech or language impairments,5054,64,65,58,730,4137,5054
2006,Idaho,Visual impairments,96,NA,NA,NA,NA,NA,96
2006,Idaho,Emotional disturbance,1377,32,5,30,78,1232,1377
2006,Idaho,Orthopedic impairments,102,NA,0,NA,13,85,102
2006,Idaho,Other health impairments,2307,56,22,42,152,2035,2307
2006,Idaho,Specific learning disabilities,10447,268,60,136,1714,8269,10447
2006,Idaho,Deaf-blindness,8,0,0,0,NA,NA,8
2006,Idaho,Multiple disabilities,490,NA,NA,9,57,415,490
2006,Idaho,Autism,993,16,16,12,52,897,993
2006,Idaho,Traumatic brain injury,136,6,NA,NA,17,108,136
2006,Idaho,Developmental delay,1506,35,15,18,260,1178,1506
2006,Idaho,All disabilities,24550,528,214,340,3419,20049,24550
2006,Illinois,Mental retardation,25605,40,478,10635,3859,10593,25605
2006,Illinois,Hearing impairments,3659,5,131,672,762,2089,3659
2006,Illinois,Speech or language impairments,53266,108,1323,8022,7942,35871,53266
2006,Illinois,Visual impairments,1026,NA,NA,208,160,617,1026
2006,Illinois,Emotional disturbance,28027,51,219,9925,2664,15168,28027
2006,Illinois,Orthopedic impairments,2062,NA,NA,424,362,1227,2062
2006,Illinois,Other health impairments,23604,40,230,3130,1546,18658,23604
2006,Illinois,Specific learning disabilities,140848,220,1498,34283,27355,77492,140848
2006,Illinois,Deaf-blindness,27,NA,0,5,NA,20,27
2006,Illinois,Multiple disabilities,1255,NA,NA,198,169,857,1255
2006,Illinois,Autism,9398,15,428,1623,941,6391,9398
2006,Illinois,Traumatic brain injury,834,NA,NA,274,NA,412,834
2006,Illinois,Developmental delay,0,0,0,0,0,0,0
2006,Illinois,All disabilities,289611,490,4430,69399,45897,169395,289611
2006,Indiana,Mental retardation,20487,32,72,5427,914,14042,20487
2006,Indiana,Hearing impairments,2028,5,40,205,99,1679,2028
2006,Indiana,Speech or language impairments,38289,72,301,3231,1524,33161,38289
2006,Indiana,Visual impairments,844,NA,NA,104,39,691,844
2006,Indiana,Emotional disturbance,14761,47,22,2730,265,11697,14761
2006,Indiana,Orthopedic impairments,1498,0,22,109,58,1309,1498
2006,Indiana,Other health impairments,9840,27,31,860,158,8764,9840
2006,Indiana,Specific learning disabilities,62187,127,195,7678,2783,51404,62187
2006,Indiana,Deaf-blindness,23,0,0,NA,0,NA,23
2006,Indiana,Multiple disabilities,1781,NA,NA,174,67,1523,1781
2006,Indiana,Autism,7391,11,70,648,178,6484,7391
2006,Indiana,Traumatic brain injury,550,NA,NA,NA,23,NA,550
2006,Indiana,Developmental delay,0,0,0,0,0,0,0
2006,Indiana,All disabilities,159679,326,777,21234,6108,131234,159679
2006,Iowa,Mental retardation,10968,67,101,956,621,9223,10968
2006,Iowa,Hearing impairments,715,5,7,62,40,601,715
2006,Iowa,Speech or language impairments,6904,43,63,603,391,5804,6904
2006,Iowa,Visual impairments,NA,NA,NA,14,9,NA,NA
2006,Iowa,Emotional disturbance,6513,40,59,568,369,5477,6513
2006,Iowa,Orthopedic impairments,748,5,7,65,42,629,748
2006,Iowa,Other health impairments,551,NA,NA,48,31,464,551
2006,Iowa,Specific learning disabilities,36972,227,338,3223,2098,31086,36972
2006,Iowa,Deaf-blindness,NA,0,0,0,0,NA,NA
2006,Iowa,Multiple disabilities,371,NA,NA,33,21,312,371
2006,Iowa,Autism,1102,7,10,96,63,926,1102
2006,Iowa,Traumatic brain injury,191,NA,NA,17,11,160,191
2006,Iowa,Developmental delay,0,0,0,0,0,0,0
2006,Iowa,All disabilities,65195,401,597,5685,3696,54816,65195
2006,Kansas,Mental retardation,4364,68,43,952,465,2836,4364
2006,Kansas,Hearing impairments,547,9,14,46,82,396,547
2006,Kansas,Speech or language impairments,9338,138,170,691,858,7481,9338
2006,Kansas,Visual impairments,187,NA,NA,29,27,124,187
2006,Kansas,Emotional disturbance,3365,63,17,565,216,2504,3365
2006,Kansas,Orthopedic impairments,321,NA,0,NA,33,257,321
2006,Kansas,Other health impairments,7048,105,42,760,399,5742,7048
2006,Kansas,Specific learning disabilities,23785,456,245,2897,2999,17188,23785
2006,Kansas,Deaf-blindness,12,0,NA,NA,NA,7,12
2006,Kansas,Multiple disabilities,2128,35,23,245,165,1660,2128
2006,Kansas,Autism,1510,18,47,151,106,1188,1510
2006,Kansas,Traumatic brain injury,209,NA,NA,24,NA,159,209
2006,Kansas,Developmental delay,3493,49,48,345,439,2612,3493
2006,Kansas,All disabilities,56307,958,658,6728,5809,42154,56307
2006,Kentucky,Mental retardation,17383,14,35,2581,184,14569,17383
2006,Kentucky,Hearing impairments,588,NA,NA,54,20,504,588
2006,Kentucky,Speech or language impairments,20121,23,103,1779,357,17859,20121
2006,Kentucky,Visual impairments,450,NA,0,32,NA,415,450
2006,Kentucky,Emotional disturbance,5788,13,8,1411,49,4307,5788
2006,Kentucky,Orthopedic impairments,448,0,9,43,7,389,448
2006,Kentucky,Other health impairments,14185,21,25,1744,123,12272,14185
2006,Kentucky,Specific learning disabilities,14408,22,35,1519,316,12516,14408
2006,Kentucky,Deaf-blindness,12,0,0,NA,0,NA,12
2006,Kentucky,Multiple disabilities,3865,7,12,388,39,3419,3865
2006,Kentucky,Autism,2068,NA,28,241,NA,1773,2068
2006,Kentucky,Traumatic brain injury,235,0,NA,NA,NA,NA,235
2006,Kentucky,Developmental delay,8796,8,35,1233,154,7366,8796
2006,Kentucky,All disabilities,88347,114,302,11056,1276,75599,88347
2006,Louisiana,Mental retardation,8524,48,27,5644,56,2749,8524
2006,Louisiana,Hearing impairments,1117,14,14,444,33,612,1117
2006,Louisiana,Speech or language impairments,19227,157,154,7025,357,11534,19227
2006,Louisiana,Visual impairments,403,NA,5,163,NA,228,403
2006,Louisiana,Emotional disturbance,2865,NA,NA,1732,26,1088,2865
2006,Louisiana,Orthopedic impairments,1042,14,10,374,13,631,1042
2006,Louisiana,Other health impairments,9291,45,25,3309,97,5815,9291
2006,Louisiana,Specific learning disabilities,27919,276,67,15708,357,11511,27919
2006,Louisiana,Deaf-blindness,7,0,0,NA,NA,5,7
2006,Louisiana,Multiple disabilities,936,9,11,383,17,516,936
2006,Louisiana,Autism,1964,NA,38,790,NA,1112,1964
2006,Louisiana,Traumatic brain injury,250,NA,NA,NA,NA,124,250
2006,Louisiana,Developmental delay,5374,63,24,2799,68,2420,5374
2006,Louisiana,All disabilities,78919,649,380,38491,1054,38345,78919
2006,Maine,Mental retardation,824,NA,NA,20,NA,787,824
2006,Maine,Hearing impairments,247,0,NA,7,NA,234,247
2006,Maine,Speech or language impairments,6871,64,114,130,86,6477,6871
2006,Maine,Visual impairments,82,NA,NA,NA,NA,74,82
2006,Maine,Emotional disturbance,3020,47,10,80,33,2850,3020
2006,Maine,Orthopedic impairments,53,NA,0,NA,NA,49,53
2006,Maine,Other health impairments,5144,45,35,117,60,4887,5144
2006,Maine,Specific learning disabilities,10642,101,57,209,95,10180,10642
2006,Maine,Deaf-blindness,9,0,0,0,0,9,9
2006,Maine,Multiple disabilities,3064,26,20,67,35,2916,3064
2006,Maine,Autism,1384,11,17,18,15,1323,1384
2006,Maine,Traumatic brain injury,79,NA,NA,NA,0,75,79
2006,Maine,Developmental delay,0,0,0,0,0,0,0
2006,Maine,All disabilities,31419,305,263,653,337,29861,31419
2006,Maryland,Mental retardation,5627,14,136,3337,292,1848,5627
2006,Maryland,Hearing impairments,1094,NA,NA,347,84,599,1094
2006,Maryland,Speech or language impairments,19446,79,729,6618,1714,10306,19446
2006,Maryland,Visual impairments,452,NA,NA,203,26,202,452
2006,Maryland,Emotional disturbance,8806,40,50,4986,245,3485,8806
2006,Maryland,Orthopedic impairments,397,NA,NA,188,37,159,397
2006,Maryland,Other health impairments,13284,58,185,5587,548,6906,13284
2006,Maryland,Specific learning disabilities,34845,131,469,15370,3197,15678,34845
2006,Maryland,Deaf-blindness,23,0,NA,6,NA,15,23
2006,Maryland,Multiple disabilities,4758,25,106,1997,216,2414,4758
2006,Maryland,Autism,5130,12,291,1671,249,2907,5130
2006,Maryland,Traumatic brain injury,305,NA,NA,133,NA,142,305
2006,Maryland,Developmental delay,982,6,35,530,100,311,982
2006,Maryland,All disabilities,95149,372,2107,40973,6725,44972,95149
2006,Massachusetts,Mental retardation,11757,53,308,2190,3208,5998,11757
2006,Massachusetts,Hearing impairments,1088,NA,NA,121,188,724,1088
2006,Massachusetts,Speech or language impairments,22292,87,903,2064,3764,15474,22292
2006,Massachusetts,Visual impairments,499,0,NA,NA,66,355,499
2006,Massachusetts,Emotional disturbance,13730,61,195,2094,2474,8906,13730
2006,Massachusetts,Orthopedic impairments,1277,NA,NA,119,125,987,1277
2006,Massachusetts,Other health impairments,9269,31,119,545,921,7653,9269
2006,Massachusetts,Specific learning disabilities,63974,237,1137,7002,10368,45230,63974
2006,Massachusetts,Deaf-blindness,209,0,NA,NA,47,115,209
2006,Massachusetts,Multiple disabilities,4857,16,147,439,667,3588,4857
2006,Massachusetts,Autism,5966,10,257,385,415,4899,5966
2006,Massachusetts,Traumatic brain injury,5404,23,103,284,403,4591,5404
2006,Massachusetts,Developmental delay,9824,36,246,853,1568,7121,9824
2006,Massachusetts,All disabilities,150146,567,3538,16186,24214,105641,150146
2006,Michigan,Mental retardation,23999,207,288,8998,850,13656,23999
2006,Michigan,Hearing impairments,2885,19,84,597,154,2031,2885
2006,Michigan,Speech or language impairments,43886,425,839,7691,1706,33225,43886
2006,Michigan,Visual impairments,818,NA,NA,166,36,589,818
2006,Michigan,Emotional disturbance,18022,224,101,4115,423,13159,18022
2006,Michigan,Orthopedic impairments,3525,22,60,1069,123,2251,3525
2006,Michigan,Other health impairments,17450,204,155,2055,449,14587,17450
2006,Michigan,Specific learning disabilities,92486,1069,779,21683,4532,64423,92486
2006,Michigan,Deaf-blindness,7,0,0,0,0,7,7
2006,Michigan,Multiple disabilities,3015,27,79,644,127,2138,3015
2006,Michigan,Autism,9723,81,215,1365,196,7866,9723
2006,Michigan,Traumatic brain injury,578,NA,NA,120,23,425,578
2006,Michigan,Developmental delay,1279,NA,NA,298,80,866,1279
2006,Michigan,All disabilities,217673,2303,2647,48801,8699,155223,217673
2006,Minnesota,Mental retardation,9098,326,350,1290,477,6655,9098
2006,Minnesota,Hearing impairments,2029,36,217,180,139,1457,2029
2006,Minnesota,Speech or language impairments,16603,432,830,1228,888,13225,16603
2006,Minnesota,Visual impairments,338,NA,NA,NA,20,255,338
2006,Minnesota,Emotional disturbance,16706,1041,199,3622,703,11141,16706
2006,Minnesota,Orthopedic impairments,1549,30,73,90,74,1282,1549
2006,Minnesota,Other health impairments,13441,452,209,1347,526,10907,13441
2006,Minnesota,Specific learning disabilities,32385,1063,1465,4469,2620,22768,32385
2006,Minnesota,Deaf-blindness,55,NA,NA,NA,5,43,55
2006,Minnesota,Multiple disabilities,633,14,27,66,42,484,633
2006,Minnesota,Autism,8613,117,298,494,264,7440,8613
2006,Minnesota,Traumatic brain injury,456,18,27,60,21,330,456
2006,Minnesota,Developmental delay,2029,88,74,224,193,1450,2029
2006,Minnesota,All disabilities,103935,3625,3796,13105,5972,77437,103935
2006,Mississippi,Mental retardation,4401,NA,NA,3144,28,1206,4401
2006,Mississippi,Hearing impairments,562,NA,NA,281,10,267,562
2006,Mississippi,Speech or language impairments,15197,15,82,5801,135,9164,15197
2006,Mississippi,Visual impairments,289,NA,NA,152,NA,132,289
2006,Mississippi,Emotional disturbance,1607,NA,NA,734,18,844,1607
2006,Mississippi,Orthopedic impairments,488,0,5,227,5,251,488
2006,Mississippi,Other health impairments,4793,12,11,2139,37,2594,4793
2006,Mississippi,Specific learning disabilities,27704,61,49,17033,242,10319,27704
2006,Mississippi,Deaf-blindness,11,0,0,NA,0,NA,11
2006,Mississippi,Multiple disabilities,606,0,NA,321,NA,277,606
2006,Mississippi,Autism,880,NA,NA,424,11,434,880
2006,Mississippi,Traumatic brain injury,173,0,NA,NA,NA,NA,173
2006,Mississippi,Developmental delay,2449,8,8,1397,25,1011,2449
2006,Mississippi,All disabilities,59160,112,194,31745,520,26589,59160
2006,Missouri,Mental retardation,11472,44,88,3723,227,7390,11472
2006,Missouri,Hearing impairments,1307,NA,NA,232,54,991,1307
2006,Missouri,Speech or language impairments,33655,95,355,4809,733,27663,33655
