year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2008,Alabama,Hearing impairments,919,8,8,379,38,486,919,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Speech or language impairments,14295,92,94,4757,299,9053,14295,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Visual impairments,447,NA,NA,155,NA,271,447,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Emotional disturbance,1527,NA,NA,585,21,913,1527,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Orthopedic impairments,619,NA,NA,196,16,398,619,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Other health impairments,6252,47,27,1893,70,4215,6252,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Specific learning disabilities,37863,262,116,17841,972,18672,37863,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Deaf-blindness,8,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Multiple disabilities,1388,7,11,583,27,760,1388,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Autism,2958,22,29,945,57,1905,2958,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Traumatic brain injury,243,5,NA,86,NA,148,243,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,Developmental delay,2596,13,18,1064,91,1410,2596,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alabama,All disabilities,75782,513,337,31871,1705,41356,75782,NA,NA,NA,NA,NA,NA,NA,NA
2008,Alaska,Mental retardation,638,NA,NA,NA,NA,NA,NA,33,227,26,30,NA,NA,NA,638
2008,Alaska,Hearing impairments,152,NA,NA,NA,NA,NA,NA,11,38,11,NA,9,74,NA,152
2008,Alaska,Speech or language impairments,2723,NA,NA,NA,NA,NA,NA,NA,884,92,NA,42,1288,190,2723
2008,Alaska,Visual impairments,43,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,43
2008,Alaska,Emotional disturbance,754,NA,NA,NA,NA,NA,NA,40,178,NA,45,NA,393,81,754
2008,Alaska,Orthopedic impairments,66,NA,NA,NA,NA,NA,NA,5,14,NA,NA,NA,NA,NA,66
2008,Alaska,Other health impairments,1869,NA,NA,NA,NA,NA,NA,98,460,35,96,14,1005,161,1869
2008,Alaska,Specific learning disabilities,7450,NA,NA,NA,NA,NA,NA,503,2326,NA,NA,135,3400,543,7450
2008,Alaska,Deaf-blindness,5,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,5
2008,Alaska,Multiple disabilities,386,NA,NA,NA,NA,NA,NA,12,146,10,17,NA,NA,32,386
2008,Alaska,Autism,575,NA,NA,NA,NA,NA,NA,40,62,21,NA,NA,NA,43,575
2008,Alaska,Traumatic brain injury,48,NA,NA,NA,NA,NA,NA,NA,10,0,5,0,NA,NA,48
2008,Alaska,Developmental delay,1012,NA,NA,NA,NA,NA,NA,78,315,39,44,15,431,90,1012
2008,Alaska,All disabilities,15721,NA,NA,NA,NA,NA,NA,NA,4671,NA,NA,246,7506,1193,15721
2008,American Samoa,Mental retardation,23,NA,NA,NA,NA,NA,NA,0,0,0,0,23,0,0,23
2008,American Samoa,Hearing impairments,13,NA,NA,NA,NA,NA,NA,0,0,0,0,13,0,0,13
2008,American Samoa,Speech or language impairments,75,NA,NA,NA,NA,NA,NA,0,0,0,0,75,0,0,75
2008,American Samoa,Visual impairments,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA
2008,American Samoa,Emotional disturbance,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2008,American Samoa,Orthopedic impairments,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2008,American Samoa,Other health impairments,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2008,American Samoa,Specific learning disabilities,833,NA,NA,NA,NA,NA,NA,0,0,0,0,833,0,0,833
2008,American Samoa,Deaf-blindness,8,NA,NA,NA,NA,NA,NA,0,0,0,0,8,0,0,8
2008,American Samoa,Multiple disabilities,26,NA,NA,NA,NA,NA,NA,0,0,0,0,26,0,0,26
2008,American Samoa,Autism,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA
2008,American Samoa,Traumatic brain injury,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2008,American Samoa,Developmental delay,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2008,American Samoa,All disabilities,981,NA,NA,NA,NA,NA,NA,0,0,0,0,981,0,0,981
2008,Arizona,Mental retardation,8004,604,146,682,3659,2913,8004,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Hearing impairments,1751,142,57,73,788,691,1751,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Speech or language impairments,20982,1243,462,1061,8192,10024,20982,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Visual impairments,573,61,18,28,201,265,573,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Emotional disturbance,7932,453,71,918,1756,4734,7932,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Orthopedic impairments,804,36,14,34,298,422,804,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Other health impairments,7397,308,89,564,1734,4702,7397,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Specific learning disabilities,55832,5091,522,3906,24891,21422,55832,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Deaf-blindness,108,NA,NA,NA,40,46,108,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Multiple disabilities,1819,180,43,119,658,819,1819,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Autism,5256,153,184,310,1275,3334,5256,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Traumatic brain injury,307,NA,NA,NA,113,139,307,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arizona,All disabilities,110765,8311,1613,7725,43605,49511,110765,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Mental retardation,7149,28,33,3063,352,3673,7149,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Hearing impairments,560,NA,NA,107,66,367,560,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Speech or language impairments,12247,104,163,2664,859,8457,12247,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Visual impairments,212,NA,NA,51,11,145,212,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Emotional disturbance,821,NA,NA,161,31,619,821,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Orthopedic impairments,201,NA,NA,NA,10,145,201,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Other health impairments,8006,65,29,1614,208,6090,8006,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Specific learning disabilities,19663,184,86,5284,1437,12672,19663,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Deaf-blindness,10,0,0,NA,0,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Multiple disabilities,1328,6,9,346,75,892,1328,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Autism,2073,19,32,297,82,1643,2073,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Traumatic brain injury,161,NA,NA,42,5,NA,161,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Arkansas,All disabilities,52431,421,383,13670,3136,34821,52431,NA,NA,NA,NA,NA,NA,NA,NA
2008,BIE schools,Mental retardation,340,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,340
2008,BIE schools,Hearing impairments,40,NA,NA,NA,NA,NA,NA,0,40,0,0,0,0,0,40
2008,BIE schools,Speech or language impairments,1173,NA,NA,NA,NA,NA,NA,NA,1160,0,NA,NA,10,0,1173
2008,BIE schools,Visual impairments,15,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,15
2008,BIE schools,Emotional disturbance,378,NA,NA,NA,NA,NA,NA,0,373,0,0,0,5,0,378
2008,BIE schools,Orthopedic impairments,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA
2008,BIE schools,Other health impairments,392,NA,NA,NA,NA,NA,NA,0,387,0,0,0,5,0,392
2008,BIE schools,Specific learning disabilities,3550,NA,NA,NA,NA,NA,NA,0,3528,NA,NA,NA,17,0,3550
2008,BIE schools,Deaf-blindness,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA
2008,BIE schools,Multiple disabilities,147,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,147
2008,BIE schools,Autism,68,NA,NA,NA,NA,NA,NA,0,63,0,0,NA,NA,0,68
2008,BIE schools,Traumatic brain injury,26,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,27
2008,BIE schools,Developmental delay,255,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,255
2008,BIE schools,All disabilities,6400,NA,NA,NA,NA,NA,NA,NA,6342,NA,NA,NA,49,0,6400
2008,California,Mental retardation,37721,319,3301,4460,20063,9578,37721,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Hearing impairments,10342,60,1127,776,5307,3072,10342,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Speech or language impairments,127698,1108,12410,8854,61756,43570,127698,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Visual impairments,3764,27,391,373,1648,1325,3764,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Emotional disturbance,27022,377,882,5741,7349,12673,27022,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Orthopedic impairments,12690,78,1118,1022,5996,4476,12690,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Other health impairments,46564,462,1972,6165,15040,22925,46564,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Specific learning disabilities,286859,2663,10624,37457,162708,73407,286859,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Deaf-blindness,133,NA,13,NA,59,48,133,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Multiple disabilities,4237,35,444,514,1755,1489,4237,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Autism,41826,253,6421,3550,13000,18602,41826,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Traumatic brain injury,1742,NA,128,NA,807,585,1742,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,California,All disabilities,600598,5405,38831,69124,295488,191750,600598,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Mental retardation,3107,59,58,395,1127,1468,3107,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Hearing impairments,1375,19,52,77,482,745,1375,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Speech or language impairments,14842,243,435,1024,4626,8514,14842,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Visual impairments,323,NA,NA,24,91,193,323,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Emotional disturbance,7475,154,62,911,1522,4826,7475,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Orthopedic impairments,9287,131,144,675,1802,6535,9287,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Other health impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Specific learning disabilities,29991,534,399,2547,10430,16081,29991,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Deaf-blindness,27,NA,0,NA,8,17,27,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Multiple disabilities,3071,45,94,225,833,1874,3071,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Autism,2416,21,72,124,317,1882,2416,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Traumatic brain injury,408,10,NA,NA,110,258,408,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,All disabilities,72322,1220,1338,6023,21348,42393,72322,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Mental retardation,2587,9,57,545,603,1373,2587,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Hearing impairments,669,NA,NA,97,164,367,669,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Speech or language impairments,11666,46,328,1815,2463,7014,11666,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Visual impairments,196,NA,NA,41,38,111,196,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Emotional disturbance,5577,35,43,1275,1298,2926,5577,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Orthopedic impairments,96,NA,NA,NA,18,66,96,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Other health impairments,11297,65,132,1592,1792,7716,11297,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Specific learning disabilities,21867,109,214,3704,4795,13045,21867,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Deaf-blindness,30,0,NA,NA,5,23,30,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Multiple disabilities,2416,13,76,446,450,1431,2416,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Autism,4424,15,169,547,459,3234,4424,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Traumatic brain injury,117,0,5,20,22,70,117,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,All disabilities,60942,296,1070,10093,12107,37376,60942,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Mental retardation,1831,NA,NA,965,164,676,1831,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Hearing impairments,256,0,11,69,36,140,256,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Speech or language impairments,1476,NA,NA,337,102,991,1476,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Visual impairments,47,0,NA,15,NA,24,47,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Emotional disturbance,781,NA,NA,327,38,408,781,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Orthopedic impairments,373,NA,NA,103,46,219,373,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Other health impairments,2100,8,13,694,117,1268,2100,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Specific learning disabilities,9060,29,79,3947,1065,3940,9060,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Deaf-blindness,55,NA,NA,17,10,25,55,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Autism,732,NA,29,193,NA,482,732,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Traumatic brain injury,42,0,NA,16,NA,19,42,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,Developmental delay,94,0,NA,37,NA,48,94,NA,NA,NA,NA,NA,NA,NA,NA
2008,Delaware,All disabilities,16847,56,207,6720,1624,8240,16847,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Mental retardation,991,0,NA,947,40,NA,991,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Hearing impairments,49,0,NA,36,8,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Speech or language impairments,832,NA,NA,650,113,NA,832,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Visual impairments,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Emotional disturbance,1493,0,NA,1448,26,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Orthopedic impairments,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Other health impairments,501,0,NA,446,28,NA,501,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Specific learning disabilities,4624,0,22,4070,359,173,4624,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Deaf-blindness,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Multiple disabilities,1024,0,NA,909,75,NA,1024,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Autism,312,0,NA,257,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Traumatic brain injury,25,0,0,22,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,Developmental delay,232,0,NA,191,28,NA,232,NA,NA,NA,NA,NA,NA,NA,NA
2008,District of Columbia,All disabilities,10128,NA,NA,9015,702,NA,10128,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Mental retardation,31387,65,389,13647,5985,11301,31387,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Hearing impairments,3587,8,97,851,953,1678,3587,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Speech or language impairments,79376,220,1538,19255,15481,42882,79376,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Visual impairments,1158,NA,NA,249,238,647,1158,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Emotional disturbance,28936,77,73,11894,4005,12887,28936,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Orthopedic impairments,3623,9,74,756,809,1975,3623,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Other health impairments,23453,81,187,4710,4799,13676,23453,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Specific learning disabilities,166494,498,1236,41280,44877,78603,166494,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Deaf-blindness,55,0,NA,NA,12,30,55,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Autism,12532,27,366,2215,3223,6701,12532,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Traumatic brain injury,578,NA,NA,NA,99,304,578,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Florida,All disabilities,351179,991,3986,95037,80481,170684,351179,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Mental retardation,20262,24,253,11742,1268,6608,19895,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Hearing impairments,1695,NA,NA,618,224,751,1655,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Speech or language impairments,27844,36,630,9440,2551,14213,26870,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Visual impairments,713,0,18,251,48,368,685,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Emotional disturbance,18887,31,93,9234,521,8398,18277,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Orthopedic impairments,969,NA,NA,300,75,541,935,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Other health impairments,25556,49,196,8552,1002,14932,24731,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Specific learning disabilities,51250,92,555,19889,5824,23517,49877,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Deaf-blindness,20,0,NA,NA,NA,12,19,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Autism,8747,11,297,2944,451,4743,8446,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Traumatic brain injury,458,0,6,NA,NA,223,442,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Developmental delay,7121,8,105,3063,632,3053,6861,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,All disabilities,163522,256,2230,66216,12632,77359,158693,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Mental retardation,74,0,NA,0,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Hearing impairments,56,0,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Speech or language impairments,181,0,176,0,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Visual impairments,8,NA,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Emotional disturbance,119,0,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Orthopedic impairments,28,0,28,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Other health impairments,153,0,151,0,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Specific learning disabilities,1206,0,1193,0,0,13,1206,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Deaf-blindness,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Multiple disabilities,67,NA,NA,0,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Autism,91,0,NA,0,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Traumatic brain injury,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,Developmental delay,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Guam,All disabilities,1988,0,1957,NA,NA,25,1988,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Mental retardation,1307,NA,1088,29,52,NA,1307,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Hearing impairments,316,NA,273,8,NA,29,316,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Speech or language impairments,667,12,443,23,34,155,667,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Visual impairments,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Emotional disturbance,1554,17,1188,37,59,253,1554,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Orthopedic impairments,65,0,51,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Other health impairments,2658,26,1896,102,106,528,2658,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Specific learning disabilities,8404,61,6737,213,359,1034,8404,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Deaf-blindness,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Multiple disabilities,423,0,354,NA,12,NA,423,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Autism,978,11,644,27,35,261,978,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Traumatic brain injury,62,NA,52,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,Developmental delay,1134,13,900,49,49,123,1134,NA,NA,NA,NA,NA,NA,NA,NA
2008,Hawaii,All disabilities,17629,151,13674,504,713,2587,17629,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Mental retardation,1825,41,23,29,303,1429,1825,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Hearing impairments,259,5,9,7,35,203,259,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Speech or language impairments,5165,98,74,64,660,4269,5165,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Visual impairments,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Emotional disturbance,1446,34,12,47,109,1244,1446,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Orthopedic impairments,113,NA,0,NA,16,92,113,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Other health impairments,2618,55,19,54,175,2315,2618,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Specific learning disabilities,8888,267,65,129,1512,6915,8888,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Deaf-blindness,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Multiple disabilities,463,8,7,13,60,375,463,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Autism,1435,19,28,17,92,1279,1435,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Traumatic brain injury,129,5,NA,NA,21,98,129,NA,NA,NA,NA,NA,NA,NA,NA
2008,Idaho,Developmental delay,1509,42,26,24,234,1183,1509,NA,NA,NA,NA,NA,NA,NA,NA
