year,state,disability,total_6to21,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2011,Alaska,Traumatic brain injury,49,NA,12,0,NA,0,26,6,49
2011,Alaska,Developmental delay,996,65,295,40,44,19,424,109,996
2011,Alaska,All disabilities,15889,1051,4624,511,742,327,7290,1344,15889
2011,American Samoa,Intellectual disabilities,12,0,NA,0,0,12,NA,0,NA
2011,American Samoa,Hearing impairments,11,NA,0,0,0,NA,0,NA,NA
2011,American Samoa,Speech or language impairments,49,0,NA,0,0,NA,0,0,49
2011,American Samoa,Visual impairments,NA,NA,0,NA,0,NA,NA,NA,NA
2011,American Samoa,Emotional disturbance,0,NA,0,0,0,0,0,0,NA
2011,American Samoa,Orthopedic impairments,0,0,0,0,NA,0,0,NA,0
2011,American Samoa,Other health impairments,NA,0,0,0,0,NA,0,0,NA
2011,American Samoa,Specific learning disabilities,634,0,0,NA,0,633,0,0,NA
2011,American Samoa,Deaf-blindness,NA,0,0,0,0,NA,0,NA,NA
2011,American Samoa,Multiple disabilities,55,NA,0,0,0,NA,0,0,55
2011,American Samoa,Autism,NA,NA,0,0,0,NA,0,0,NA
2011,American Samoa,Traumatic brain injury,NA,NA,0,NA,NA,NA,0,0,NA
2011,American Samoa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,American Samoa,All disabilities,771,0,0,NA,0,NA,0,0,771
2011,Arizona,Intellectual disabilities,7379,3385,551,136,642,18,2572,75,7379
2011,Arizona,Hearing impairments,1495,702,78,52,83,NA,569,NA,1495
2011,Arizona,Speech or language impairments,19670,8169,1061,386,843,43,8866,302,19670
2011,Arizona,Visual impairments,477,160,42,17,NA,NA,226,NA,477
2011,Arizona,Emotional disturbance,7859,2045,416,55,943,10,4229,161,7859
2011,Arizona,Orthopedic impairments,702,262,19,17,33,NA,358,NA,702
2011,Arizona,Other health impairments,8726,2356,330,89,647,13,5135,156,8726
2011,Arizona,Specific learning disabilities,52790,25245,4380,417,3559,78,18525,586,52790
2011,Arizona,Deaf-blindness,109,49,9,NA,NA,0,45,NA,109
2011,Arizona,Multiple disabilities,2093,822,187,45,114,NA,898,NA,2093
2011,Arizona,Autism,7876,2207,227,237,477,16,4586,126,7876
2011,Arizona,Traumatic brain injury,323,118,30,NA,23,NA,146,NA,323
2011,Arizona,Developmental delay,2464,1179,190,32,159,7,852,45,2464
2011,Arizona,All disabilities,111963,46699,7520,1488,7547,194,47007,1508,111963
2011,Arkansas,Intellectual disabilities,5662,438,31,20,2173,31,2909,60,5662
2011,Arkansas,Hearing impairments,525,76,NA,10,101,10,323,NA,525
2011,Arkansas,Speech or language impairments,12694,1243,90,151,2659,30,8262,259,12694
2011,Arkansas,Visual impairments,202,13,0,NA,54,0,131,NA,202
2011,Arkansas,Emotional disturbance,736,32,NA,NA,139,0,537,20,736
2011,Arkansas,Orthopedic impairments,199,14,NA,NA,NA,0,146,NA,199
2011,Arkansas,Other health impairments,8670,318,79,21,1970,9,6134,139,8670
2011,Arkansas,Specific learning disabilities,18377,1665,161,57,4770,55,11426,243,18377
2011,Arkansas,Deaf-blindness,6,NA,0,0,NA,0,NA,0,6
2011,Arkansas,Multiple disabilities,1344,100,NA,15,333,NA,873,15,1344
2011,Arkansas,Autism,2930,199,NA,53,375,NA,2215,59,2930
2011,Arkansas,Traumatic brain injury,170,NA,NA,0,47,0,NA,NA,170
2011,Arkansas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Arkansas,All disabilities,51515,4109,403,334,12652,145,33064,808,51515
2011,BIE schools,Intellectual disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Hearing impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Speech or language impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Visual impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Emotional disturbance,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Orthopedic impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Other health impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Specific learning disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Deaf-blindness,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Autism,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Traumatic brain injury,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,BIE schools,All disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,California,Intellectual disabilities,38230,21305,281,2994,4132,204,8463,851,38230
2011,California,Hearing impairments,10605,5860,56,1060,649,81,2659,240,10605
2011,California,Speech or language impairments,115330,58937,967,9918,6921,591,34091,3905,115330
2011,California,Visual impairments,3534,1591,30,331,310,24,1157,91,3534
2011,California,Emotional disturbance,25867,7949,307,699,5030,104,10889,889,25867
2011,California,Orthopedic impairments,11691,5778,70,927,828,75,3756,257,11691
2011,California,Other health impairments,57720,21678,541,2075,7432,199,23946,1849,57720
2011,California,Specific learning disabilities,277827,166091,2587,8439,31311,1195,61605,6599,277827
2011,California,Deaf-blindness,117,46,0,17,NA,NA,42,6,117
2011,California,Multiple disabilities,4547,2105,26,442,455,29,1359,131,4547
2011,California,Autism,58432,21088,340,8111,4456,215,22246,1976,58432
2011,California,Traumatic brain injury,1649,821,23,102,NA,NA,473,52,1649
2011,California,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,California,All disabilities,605549,313249,5228,35115,61696,2729,170686,16846,605549
2011,Colorado,Intellectual disabilities,2922,1122,46,54,322,5,1290,83,2922
2011,Colorado,Hearing impairments,1304,513,NA,55,62,NA,625,38,1304
2011,Colorado,Speech or language impairments,13208,4694,148,330,638,29,6895,474,13208
2011,Colorado,Visual impairments,310,NA,0,NA,NA,NA,173,NA,310
2011,Colorado,Emotional disturbance,6689,1537,94,52,620,18,4079,289,6689
2011,Colorado,Orthopedic impairments,9640,2130,90,119,563,8,6373,357,9640
2011,Colorado,Other health impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Colorado,Specific learning disabilities,32981,12974,479,355,2427,49,15758,939,32981
2011,Colorado,Deaf-blindness,19,NA,0,0,NA,0,13,0,19
2011,Colorado,Multiple disabilities,3316,1071,37,85,205,5,1818,95,3316
2011,Colorado,Autism,4008,728,44,100,181,13,2805,137,4008
2011,Colorado,Traumatic brain injury,488,143,NA,NA,27,0,285,NA,488
2011,Colorado,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Colorado,All disabilities,74885,25006,954,1171,5066,129,40114,2445,74885
2011,Connecticut,Intellectual disabilities,2399,605,NA,57,476,NA,1215,NA,2399
2011,Connecticut,Hearing impairments,561,147,NA,39,81,0,287,NA,561
2011,Connecticut,Speech or language impairments,9961,2482,41,307,1578,8,5394,151,9961
2011,Connecticut,Visual impairments,174,40,NA,NA,33,0,96,0,174
2011,Connecticut,Emotional disturbance,5291,1313,NA,42,1144,NA,2657,108,5291
2011,Connecticut,Orthopedic impairments,71,NA,0,NA,NA,0,51,0,71
2011,Connecticut,Other health impairments,12007,2466,NA,153,1726,NA,7408,196,12007
2011,Connecticut,Specific learning disabilities,21023,5222,93,227,3553,12,11590,326,21023
2011,Connecticut,Deaf-blindness,20,NA,0,0,NA,0,15,0,NA
2011,Connecticut,Multiple disabilities,2631,549,12,90,433,0,1503,44,2631
2011,Connecticut,Autism,6071,824,NA,243,723,NA,4178,82,6071
2011,Connecticut,Traumatic brain injury,115,20,0,NA,20,0,70,0,NA
2011,Connecticut,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Connecticut,All disabilities,60324,13684,260,1169,9774,32,34464,941,60324
2011,Delaware,Intellectual disabilities,1600,175,8,26,774,0,598,19,1600
2011,Delaware,Hearing impairments,224,38,NA,7,65,0,108,NA,224
2011,Delaware,Speech or language impairments,1492,154,NA,27,359,NA,909,29,1492
2011,Delaware,Visual impairments,62,NA,0,0,22,0,32,NA,62
2011,Delaware,Emotional disturbance,724,52,NA,NA,334,0,318,16,NA
2011,Delaware,Orthopedic impairments,246,29,NA,9,73,0,133,NA,246
2011,Delaware,Other health impairments,2162,165,11,17,746,0,1189,34,2162
2011,Delaware,Specific learning disabilities,8764,1182,NA,79,3851,NA,3501,108,8764
2011,Delaware,Deaf-blindness,56,13,NA,NA,16,0,25,0,56
2011,Delaware,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Delaware,Autism,947,68,5,44,222,0,596,12,947
2011,Delaware,Traumatic brain injury,59,NA,0,NA,20,0,28,0,NA
2011,Delaware,Developmental delay,600,107,NA,10,228,NA,230,22,600
2011,Delaware,All disabilities,16936,2000,NA,222,6710,NA,7667,246,16936
2011,District of Columbia,Intellectual disabilities,876,53,0,NA,813,0,NA,NA,NA
2011,District of Columbia,Hearing impairments,39,5,0,0,32,0,NA,NA,39
2011,District of Columbia,Speech or language impairments,794,111,0,NA,605,0,66,NA,794
2011,District of Columbia,Visual impairments,NA,NA,0,0,NA,0,NA,0,NA
2011,District of Columbia,Emotional disturbance,1475,45,NA,0,1409,0,18,NA,1475
2011,District of Columbia,Orthopedic impairments,NA,0,0,0,NA,0,0,0,NA
2011,District of Columbia,Other health impairments,1115,81,NA,NA,958,0,61,9,1115
2011,District of Columbia,Specific learning disabilities,4522,476,NA,19,3886,NA,124,13,NA
2011,District of Columbia,Deaf-blindness,0,0,0,0,0,0,0,0,0
2011,District of Columbia,Multiple disabilities,1398,73,0,NA,1237,0,79,NA,1398
2011,District of Columbia,Autism,489,42,0,NA,362,NA,NA,NA,489
2011,District of Columbia,Traumatic brain injury,30,NA,0,NA,25,0,0,0,30
2011,District of Columbia,Developmental delay,342,56,0,0,269,0,NA,NA,342
2011,District of Columbia,All disabilities,11105,949,NA,42,9616,NA,447,43,11105
2011,Florida,Intellectual disabilities,27140,5817,109,391,10804,21,9439,559,27140
2011,Florida,Hearing impairments,3555,998,NA,106,801,NA,1552,82,3555
2011,Florida,Speech or language impairments,78582,18310,337,1492,18484,74,37336,2549,78582
2011,Florida,Visual impairments,1180,297,NA,30,260,NA,563,25,1180
2011,Florida,Emotional disturbance,21468,3558,66,50,8767,9,8379,639,21468
2011,Florida,Orthopedic impairments,3074,812,NA,60,614,NA,1491,76,3074
2011,Florida,Other health impairments,25619,6285,108,200,5270,12,13042,702,25619
2011,Florida,Specific learning disabilities,140880,43009,629,1042,35249,93,57315,3543,140880
2011,Florida,Deaf-blindness,54,14,0,NA,11,0,24,NA,54
2011,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Florida,Autism,19365,5427,61,524,3170,24,9556,603,19365
2011,Florida,Traumatic brain injury,560,113,NA,NA,152,0,268,NA,560
2011,Florida,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Florida,All disabilities,321477,84640,1351,3906,83582,238,138965,8795,321477
2011,Georgia,Intellectual disabilities,17257,1401,27,256,9544,19,5690,320,17257
2011,Georgia,Hearing impairments,1697,270,NA,62,637,0,681,NA,1697
2011,Georgia,Speech or language impairments,23678,2553,44,581,7466,10,12227,797,23678
2011,Georgia,Visual impairments,707,62,NA,18,261,NA,340,24,707
2011,Georgia,Emotional disturbance,14538,666,51,76,6912,12,6334,487,14538
2011,Georgia,Orthopedic impairments,849,89,NA,25,252,NA,463,NA,849
2011,Georgia,Other health impairments,25854,1420,61,194,8872,16,14449,842,25854
2011,Georgia,Specific learning disabilities,55481,7890,152,621,22141,32,23245,1400,55481
2011,Georgia,Deaf-blindness,21,NA,0,NA,8,0,10,0,NA
2011,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Georgia,Autism,11638,869,19,440,3979,10,5936,385,11638
2011,Georgia,Traumatic brain injury,433,NA,0,NA,179,0,192,15,NA
2011,Georgia,Developmental delay,10731,1416,23,191,4264,5,4503,329,10731
2011,Georgia,All disabilities,162884,16676,385,2474,64515,106,74070,4658,162884
2011,Guam,Intellectual disabilities,83,0,0,16,0,65,0,NA,NA
2011,Guam,Hearing impairments,49,0,0,NA,0,39,0,0,NA
2011,Guam,Speech or language impairments,165,0,NA,43,NA,119,0,NA,165
2011,Guam,Visual impairments,13,0,0,NA,0,12,0,0,NA
2011,Guam,Emotional disturbance,116,0,0,NA,NA,108,NA,NA,116
2011,Guam,Orthopedic impairments,19,0,0,NA,0,NA,0,NA,NA
2011,Guam,Other health impairments,171,0,0,15,NA,151,NA,NA,NA
2011,Guam,Specific learning disabilities,1022,NA,NA,102,0,896,10,9,NA
2011,Guam,Deaf-blindness,NA,0,0,0,0,NA,0,0,NA
2011,Guam,Multiple disabilities,73,0,0,13,0,56,NA,NA,NA
2011,Guam,Autism,121,0,0,50,0,64,NA,NA,121
2011,Guam,Traumatic brain injury,NA,0,0,0,0,NA,0,0,NA
2011,Guam,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Guam,All disabilities,1834,NA,NA,257,NA,1527,18,22,1834
2011,Hawaii,Intellectual disabilities,1156,62,7,325,34,538,116,74,1156
2011,Hawaii,Hearing impairments,308,10,NA,91,NA,151,NA,21,308
2011,Hawaii,Speech or language impairments,541,NA,NA,108,20,181,139,33,541
2011,Hawaii,Visual impairments,58,NA,0,NA,NA,NA,10,NA,58
2011,Hawaii,Emotional disturbance,1100,78,7,155,31,566,191,72,1100
2011,Hawaii,Orthopedic impairments,79,NA,0,21,0,38,NA,NA,79
2011,Hawaii,Other health impairments,2636,179,20,450,83,1162,544,198,2636
2011,Hawaii,Specific learning disabilities,8509,564,NA,1827,258,4284,955,552,NA
2011,Hawaii,Deaf-blindness,10,0,0,NA,0,NA,0,0,10
2011,Hawaii,Multiple disabilities,497,19,0,167,11,196,69,35,497
2011,Hawaii,Autism,1133,62,11,399,30,238,291,102,1133
2011,Hawaii,Traumatic brain injury,61,NA,0,15,NA,28,13,NA,NA
2011,Hawaii,Developmental delay,1068,81,5,265,32,497,108,80,1068
2011,Hawaii,All disabilities,17156,1116,133,3840,505,7911,2477,1174,17156
2011,Idaho,Intellectual disabilities,1905,395,34,20,36,6,1383,31,1905
2011,Idaho,Hearing impairments,264,58,NA,9,10,NA,179,NA,264
2011,Idaho,Speech or language impairments,5145,768,109,65,64,14,4009,116,5145
2011,Idaho,Visual impairments,NA,21,NA,NA,0,0,NA,NA,NA
2011,Idaho,Emotional disturbance,1402,140,33,NA,31,NA,1153,39,NA
2011,Idaho,Orthopedic impairments,112,18,0,NA,NA,0,90,NA,112
2011,Idaho,Other health impairments,3501,367,59,18,68,9,2908,72,3501
2011,Idaho,Specific learning disabilities,6960,1517,191,26,96,NA,4996,122,NA
2011,Idaho,Deaf-blindness,NA,0,0,NA,0,0,NA,0,NA
2011,Idaho,Multiple disabilities,509,67,10,7,11,0,407,7,509
2011,Idaho,Autism,1988,190,35,29,20,7,1672,35,1988
2011,Idaho,Traumatic brain injury,109,21,6,0,NA,NA,79,NA,109
2011,Idaho,Developmental delay,1491,302,41,8,14,5,1085,36,1491
2011,Idaho,All disabilities,23485,3864,521,191,352,59,18032,466,23485
2011,Illinois,Intellectual disabilities,18740,3445,77,440,6668,18,7725,367,18740
2011,Illinois,Hearing impairments,3423,823,14,134,529,8,1824,91,3423
2011,Illinois,Speech or language impairments,44362,8602,165,1285,5933,60,27045,1272,44362
2011,Illinois,Visual impairments,1061,201,NA,NA,NA,NA,591,28,1061
2011,Illinois,Emotional disturbance,20696,2411,79,196,6589,13,10714,694,20696
2011,Illinois,Orthopedic impairments,1483,297,NA,49,257,NA,840,33,1483
2011,Illinois,Other health impairments,27357,2932,109,360,3889,26,19191,850,27357
2011,Illinois,Specific learning disabilities,108297,27027,507,1144,26547,98,50359,2615,108297
2011,Illinois,Deaf-blindness,19,NA,0,0,NA,NA,14,0,NA
2011,Illinois,Multiple disabilities,2032,342,NA,67,313,NA,1262,41,2032
2011,Illinois,Autism,16144,2289,55,781,2505,37,10015,462,16144
2011,Illinois,Traumatic brain injury,661,NA,NA,NA,203,0,318,18,NA
2011,Illinois,Developmental delay,11738,2527,52,324,2167,15,6222,431,11738
2011,Illinois,All disabilities,256013,51003,1076,4835,55794,283,136120,6902,256013
2011,Indiana,Intellectual disabilities,16288,1187,73,107,3950,7,10256,708,16288
2011,Indiana,Hearing impairments,2075,169,NA,68,207,NA,1540,81,2075
2011,Indiana,Speech or language impairments,30935,2395,116,324,2841,16,23794,1449,30935
2011,Indiana,Visual impairments,904,58,NA,NA,116,0,675,35,904
2011,Indiana,Emotional disturbance,13234,429,68,NA,2564,NA,9326,833,13234
2011,Indiana,Orthopedic impairments,1406,98,NA,24,126,NA,1098,54,1406
2011,Indiana,Other health impairments,14517,571,NA,77,1805,NA,11283,724,14517
2011,Indiana,Specific learning disabilities,52681,4016,222,179,7354,18,38582,2310,52681
2011,Indiana,Deaf-blindness,26,NA,0,0,NA,0,21,0,NA
2011,Indiana,Multiple disabilities,1962,121,NA,18,228,NA,1506,82,1962
2011,Indiana,Autism,11486,592,NA,146,1021,NA,9208,486,11486
2011,Indiana,Traumatic brain injury,461,NA,NA,NA,NA,0,327,20,NA
2011,Indiana,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Indiana,All disabilities,145975,9675,587,971,20287,57,107616,6782,145975
2011,Iowa,Intellectual disabilities,10429,992,75,99,919,12,8026,306,10429
2011,Iowa,Hearing impairments,423,41,NA,NA,38,NA,323,13,423
2011,Iowa,Speech or language impairments,5213,496,37,49,460,6,4012,153,5213
2011,Iowa,Visual impairments,83,8,NA,NA,NA,0,64,NA,83
2011,Iowa,Emotional disturbance,5897,562,42,56,520,7,4537,173,5897
2011,Iowa,Orthopedic impairments,676,65,NA,6,60,NA,519,20,676
2011,Iowa,Other health impairments,83,8,NA,NA,NA,0,64,NA,83
2011,Iowa,Specific learning disabilities,36546,3474,262,347,3220,44,28125,1074,36546
2011,Iowa,Deaf-blindness,0,0,0,0,0,0,0,0,0
2011,Iowa,Multiple disabilities,334,32,NA,NA,30,0,257,10,334
2011,Iowa,Autism,676,65,NA,6,60,NA,519,20,676
2011,Iowa,Traumatic brain injury,163,16,NA,NA,15,0,124,5,163
2011,Iowa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Iowa,All disabilities,60523,5759,434,574,5336,72,46570,1778,60523
2011,Kansas,Intellectual disabilities,3372,495,49,NA,555,NA,1769,457,3372
2011,Kansas,Hearing impairments,509,98,5,17,26,0,317,46,509
2011,Kansas,Speech or language impairments,8664,1116,88,144,440,12,6060,804,8664
2011,Kansas,Visual impairments,166,NA,7,NA,16,NA,98,NA,NA
2011,Kansas,Emotional disturbance,2528,208,29,NA,337,NA,1493,447,2528
2011,Kansas,Orthopedic impairments,245,30,NA,5,6,NA,184,18,245
2011,Kansas,Other health impairments,6918,562,76,32,651,7,4969,621,6918
2011,Kansas,Specific learning disabilities,22922,4199,414,233,2500,24,14036,1516,22922
2011,Kansas,Deaf-blindness,18,NA,0,NA,0,0,12,NA,NA
2011,Kansas,Multiple disabilities,2328,216,41,NA,188,NA,1484,368,2328
2011,Kansas,Autism,2526,239,NA,57,212,NA,1642,350,2526
2011,Kansas,Traumatic brain injury,170,26,NA,NA,17,NA,101,19,NA
2011,Kansas,Developmental delay,4845,782,62,46,430,5,3138,382,4845
2011,Kansas,All disabilities,55211,7995,797,628,5378,63,35303,5047,55211
2011,Kentucky,Intellectual disabilities,14682,297,NA,57,1892,NA,12243,175,14682
2011,Kentucky,Hearing impairments,630,24,NA,15,54,NA,520,14,630
2011,Kentucky,Speech or language impairments,19474,733,35,196,1685,15,16426,384,19474
2011,Kentucky,Visual impairments,493,12,NA,NA,44,0,430,NA,493
2011,Kentucky,Emotional disturbance,4922,104,10,NA,1137,NA,3498,164,4922
2011,Kentucky,Orthopedic impairments,438,12,0,5,39,0,374,8,438
2011,Kentucky,Other health impairments,13941,239,NA,44,2154,NA,11145,330,13941
2011,Kentucky,Specific learning disabilities,13944,640,36,NA,1729,NA,11233,273,13944
2011,Kentucky,Deaf-blindness,16,NA,0,0,NA,0,10,NA,NA
2011,Kentucky,Multiple disabilities,2410,55,NA,13,249,NA,2051,39,2410
2011,Kentucky,Autism,3906,95,NA,NA,410,0,3279,66,3906
2011,Kentucky,Traumatic brain injury,207,NA,NA,NA,NA,NA,172,NA,NA
2011,Kentucky,Developmental delay,6300,247,NA,36,842,NA,5013,151,6300
2011,Kentucky,All disabilities,81363,2468,142,461,10259,30,66394,1609,81363
2011,Louisiana,Intellectual disabilities,7420,135,57,33,4773,NA,2397,NA,7420
2011,Louisiana,Hearing impairments,1156,59,15,10,494,0,568,10,1156
2011,Louisiana,Speech or language impairments,16144,483,139,155,6378,8,8836,145,16144
2011,Louisiana,Visual impairments,468,NA,NA,6,204,0,242,NA,468
2011,Louisiana,Emotional disturbance,1877,29,12,5,1100,NA,716,14,NA
2011,Louisiana,Orthopedic impairments,1088,31,11,10,433,0,598,5,1088
2011,Louisiana,Other health impairments,9492,188,49,31,3811,7,5339,67,9492
2011,Louisiana,Specific learning disabilities,23386,521,224,87,13170,5,9248,131,23386
2011,Louisiana,Deaf-blindness,NA,0,0,0,NA,0,NA,0,NA
2011,Louisiana,Multiple disabilities,942,23,8,NA,419,NA,478,8,942
2011,Louisiana,Autism,3380,84,NA,57,1303,NA,1893,30,3380
2011,Louisiana,Traumatic brain injury,NA,NA,NA,NA,NA,0,NA,0,NA
2011,Louisiana,Developmental delay,5517,115,42,NA,2705,NA,2549,63,5517
2011,Louisiana,All disabilities,71095,1683,572,439,34916,28,32957,500,71095
2011,Maine,Intellectual disabilities,666,NA,9,NA,21,0,618,NA,666
2011,Maine,Hearing impairments,184,5,NA,NA,7,0,167,0,184
2011,Maine,Speech or language impairments,4597,103,NA,64,91,NA,4223,63,4597
2011,Maine,Visual impairments,60,0,NA,NA,NA,0,56,NA,NA
2011,Maine,Emotional disturbance,2438,65,47,NA,88,NA,2197,27,2438
2011,Maine,Orthopedic impairments,NA,NA,NA,0,5,0,NA,NA,NA
2011,Maine,Other health impairments,5729,107,64,35,189,5,5265,64,5729
2011,Maine,Specific learning disabilities,9223,167,130,66,241,9,8527,83,9223
2011,Maine,Deaf-blindness,NA,0,0,0,0,NA,NA,0,NA
2011,Maine,Multiple disabilities,2816,54,42,22,82,6,2589,21,2816
