year,state,Ethnicity,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2009,Arizona,5,Autism,6223,175,205,394,1564,3885,6223,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Traumatic brain injury,335,37,NA,24,122,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Developmental delay,48,NA,0,NA,16,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,All disabilities,111526,8179,1729,8073,44550,48995,111526,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arkansas,7,Mental retardation,6448,NA,NA,NA,NA,NA,NA,372,32,17,2673,18,3302,34,6448
2009,Arkansas,7,Hearing impairments,543,NA,NA,NA,NA,NA,NA,63,NA,9,108,11,345,NA,543
2009,Arkansas,7,Speech or language impairments,12544,NA,NA,NA,NA,NA,NA,1042,107,134,2586,34,8466,175,12544
2009,Arkansas,7,Visual impairments,213,NA,NA,NA,NA,NA,NA,13,NA,NA,49,NA,145,NA,213
2009,Arkansas,7,Emotional disturbance,804,NA,NA,NA,NA,NA,NA,35,NA,5,145,0,597,17,NA
2009,Arkansas,7,Orthopedic impairments,199,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,145,NA,199
2009,Arkansas,7,Other health impairments,8258,NA,NA,NA,NA,NA,NA,243,67,35,1738,17,6074,84,8258
2009,Arkansas,7,Specific learning disabilities,19289,NA,NA,NA,NA,NA,NA,1567,173,74,5067,58,12177,173,19289
2009,Arkansas,7,Deaf-blindness,12,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,9,0,NA
2009,Arkansas,7,Multiple disabilities,1364,NA,NA,NA,NA,NA,NA,90,6,11,360,NA,891,NA,1364
2009,Arkansas,7,Autism,2340,NA,NA,NA,NA,NA,NA,117,NA,39,324,NA,1814,22,2340
2009,Arkansas,7,Traumatic brain injury,160,NA,NA,NA,NA,NA,NA,6,NA,NA,35,NA,114,NA,NA
2009,Arkansas,7,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arkansas,7,All disabilities,52174,NA,NA,NA,NA,NA,NA,3557,418,332,13123,146,34079,519,52174
2009,BIE schools,7,Mental retardation,347,NA,NA,NA,NA,NA,NA,0,340,0,0,0,NA,0,NA
2009,BIE schools,7,Hearing impairments,47,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA
2009,BIE schools,7,Speech or language impairments,1201,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1201
2009,BIE schools,7,Visual impairments,15,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA
2009,BIE schools,7,Emotional disturbance,372,NA,NA,NA,NA,NA,NA,0,367,0,0,0,5,0,372
2009,BIE schools,7,Orthopedic impairments,9,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,0,9
2009,BIE schools,7,Other health impairments,407,NA,NA,NA,NA,NA,NA,0,396,0,0,0,11,0,407
2009,BIE schools,7,Specific learning disabilities,3426,NA,NA,NA,NA,NA,NA,0,3402,0,0,0,24,0,3426
2009,BIE schools,7,Deaf-blindness,12,NA,NA,NA,NA,NA,NA,0,12,0,0,0,0,0,12
2009,BIE schools,7,Multiple disabilities,135,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA
2009,BIE schools,7,Autism,86,NA,NA,NA,NA,NA,NA,0,86,0,0,0,0,0,86
2009,BIE schools,7,Traumatic brain injury,32,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA
2009,BIE schools,7,Developmental delay,264,NA,NA,NA,NA,NA,NA,0,264,0,0,0,0,0,264
2009,BIE schools,7,All disabilities,6353,NA,NA,NA,NA,NA,NA,NA,6305,0,0,0,NA,0,6353
2009,California,7,Mental retardation,38017,NA,NA,NA,NA,NA,NA,20757,266,3019,4295,209,9044,427,38017
2009,California,7,Hearing impairments,10436,NA,NA,NA,NA,NA,NA,5560,52,1039,712,75,2869,129,10436
2009,California,7,Speech or language impairments,123088,NA,NA,NA,NA,NA,NA,62019,887,10800,7817,672,38889,2004,123088
2009,California,7,Visual impairments,3663,NA,NA,NA,NA,NA,NA,1642,23,346,333,26,1244,49,3663
2009,California,7,Emotional disturbance,27186,NA,NA,NA,NA,NA,NA,7856,335,732,5548,109,12083,523,27186
2009,California,7,Orthopedic impairments,12634,NA,NA,NA,NA,NA,NA,6142,70,1004,967,73,4218,160,12634
2009,California,7,Other health impairments,50045,NA,NA,NA,NA,NA,NA,17312,426,1798,6494,210,23075,730,50045
2009,California,7,Specific learning disabilities,282792,NA,NA,NA,NA,NA,NA,165441,2308,8718,34993,1238,67415,2679,282792
2009,California,7,Deaf-blindness,125,NA,NA,NA,NA,NA,NA,59,NA,8,NA,0,47,5,125
2009,California,7,Multiple disabilities,4207,NA,NA,NA,NA,NA,NA,1851,27,391,465,27,1392,54,4207
2009,California,7,Autism,47745,NA,NA,NA,NA,NA,NA,16044,257,6667,3825,183,19801,968,47745
2009,California,7,Traumatic brain injury,1707,NA,NA,NA,NA,NA,NA,820,NA,117,NA,8,539,23,1707
2009,California,7,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,California,7,All disabilities,601645,NA,NA,NA,NA,NA,NA,305503,4672,34639,65634,2830,180616,7751,601645
2009,Colorado,5,Mental retardation,3033,63,64,383,1111,1412,3033,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Hearing impairments,1354,13,52,76,506,707,1354,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Speech or language impairments,14287,210,419,916,4654,8088,14287,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Visual impairments,320,NA,NA,24,81,196,320,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Emotional disturbance,7169,158,73,834,1460,4644,7169,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Orthopedic impairments,9389,121,147,701,1823,6597,9389,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Other health impairments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Specific learning disabilities,30430,515,416,2593,10833,16073,30430,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Deaf-blindness,22,NA,0,NA,6,14,22,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Multiple disabilities,3140,41,102,243,855,1899,3140,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Autism,2867,28,97,156,402,2184,2867,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Traumatic brain injury,427,8,NA,NA,124,261,427,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,5,All disabilities,72438,1160,1400,5948,21855,42075,72438,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Mental retardation,2525,11,62,507,627,1318,2525,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Hearing impairments,647,NA,NA,96,162,349,647,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Speech or language impairments,11123,44,348,1803,2441,6487,11123,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Visual impairments,173,NA,NA,36,34,97,173,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Emotional disturbance,5385,33,43,1241,1280,2788,5385,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Orthopedic impairments,83,NA,NA,7,16,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Other health impairments,11452,75,138,1659,1954,7626,11452,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Specific learning disabilities,21634,94,238,3677,4933,12692,21634,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Deaf-blindness,27,0,NA,NA,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Multiple disabilities,2525,16,77,473,478,1481,2525,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Autism,5028,21,205,620,570,3612,5028,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Traumatic brain injury,117,0,NA,NA,22,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,5,All disabilities,60719,298,1160,10142,12522,36597,60719,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Mental retardation,1761,NA,NA,914,171,649,1761,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Hearing impairments,246,NA,NA,64,35,135,246,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Speech or language impairments,1366,6,32,314,106,908,1366,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Visual impairments,54,0,NA,20,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Emotional disturbance,791,NA,NA,343,45,394,791,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Orthopedic impairments,334,NA,NA,90,40,194,334,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Other health impairments,2111,NA,NA,695,130,1256,2111,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Specific learning disabilities,8980,25,83,3965,1058,3849,8980,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Deaf-blindness,52,NA,NA,14,11,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Autism,816,NA,35,210,NA,539,816,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Traumatic brain injury,43,0,NA,19,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,Developmental delay,222,0,5,93,22,102,222,NA,NA,NA,NA,NA,NA,NA,NA
2009,Delaware,5,All disabilities,16776,NA,NA,6741,1661,8094,16776,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Mental retardation,979,0,NA,932,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Hearing impairments,43,0,0,32,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Speech or language impairments,747,0,11,593,105,38,747,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Visual impairments,17,0,0,12,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Emotional disturbance,1588,NA,NA,1540,29,NA,1588,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Orthopedic impairments,20,0,0,18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Other health impairments,700,0,5,607,51,37,700,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Specific learning disabilities,4644,0,19,4064,403,158,4644,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Deaf-blindness,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Multiple disabilities,1339,0,NA,1202,78,NA,1339,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Autism,369,0,NA,292,NA,NA,369,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Traumatic brain injury,33,0,0,31,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,Developmental delay,209,0,NA,169,24,NA,209,NA,NA,NA,NA,NA,NA,NA,NA
2009,District of Columbia,5,All disabilities,10688,NA,NA,9492,770,NA,10688,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Mental retardation,29477,81,398,12551,5777,10670,29477,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Hearing impairments,3481,13,88,803,977,1600,3481,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Speech or language impairments,79864,319,1643,19226,16669,42007,79864,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Visual impairments,1090,NA,NA,232,257,574,1090,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Emotional disturbance,26238,69,85,10836,3842,11406,26238,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Orthopedic impairments,3325,13,66,699,767,1780,3325,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Other health impairments,23828,96,200,4876,5313,13343,23828,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Specific learning disabilities,159096,589,1276,39898,45285,72048,159096,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Deaf-blindness,45,0,NA,NA,13,23,45,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Autism,14636,47,435,2550,3854,7750,14636,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Traumatic brain injury,552,NA,6,NA,105,285,552,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Florida,5,All disabilities,341632,1236,4221,91830,82859,161486,341632,NA,NA,NA,NA,NA,NA,NA,NA
2009,Georgia,7,Mental retardation,18880,NA,NA,NA,NA,NA,NA,1313,52,234,10787,12,6195,287,18880
2009,Georgia,7,Hearing impairments,1682,NA,NA,NA,NA,NA,NA,200,NA,57,621,NA,756,43,1682
2009,Georgia,7,Speech or language impairments,25345,NA,NA,NA,NA,NA,NA,2647,64,569,8510,14,12770,771,25345
2009,Georgia,7,Visual impairments,705,NA,NA,NA,NA,NA,NA,59,0,NA,248,NA,356,24,705
2009,Georgia,7,Emotional disturbance,17172,NA,NA,NA,NA,NA,NA,675,47,84,8269,9,7576,512,17172
2009,Georgia,7,Orthopedic impairments,929,NA,NA,NA,NA,NA,NA,92,NA,20,286,0,509,NA,929
2009,Georgia,7,Other health impairments,25246,NA,NA,NA,NA,NA,NA,1234,81,197,8528,15,14470,721,25246
2009,Georgia,7,Specific learning disabilities,51937,NA,NA,NA,NA,NA,NA,6690,182,574,20355,35,22937,1164,51937
2009,Georgia,7,Deaf-blindness,25,NA,NA,NA,NA,NA,NA,NA,0,NA,5,0,16,0,25
2009,Georgia,7,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Georgia,7,Autism,9563,NA,NA,NA,NA,NA,NA,609,29,323,3227,6,5082,287,9563
2009,Georgia,7,Traumatic brain injury,440,NA,NA,NA,NA,NA,NA,NA,0,NA,168,0,224,NA,440
2009,Georgia,7,Developmental delay,8655,NA,NA,NA,NA,NA,NA,1000,NA,171,3526,NA,3690,244,8655
2009,Georgia,7,All disabilities,160579,NA,NA,NA,NA,NA,NA,14555,481,2249,64530,99,74581,4084,160579
2009,Guam,5,Mental retardation,72,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Hearing impairments,60,0,NA,0,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Speech or language impairments,198,0,195,0,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Visual impairments,13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Emotional disturbance,118,0,115,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Orthopedic impairments,29,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Other health impairments,171,0,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Specific learning disabilities,1079,NA,1066,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Deaf-blindness,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Multiple disabilities,59,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Autism,105,0,NA,0,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Traumatic brain injury,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Guam,5,All disabilities,1906,NA,1874,NA,5,22,1906,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Mental retardation,1244,5,1037,30,47,125,1244,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Hearing impairments,314,NA,272,6,NA,NA,314,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Speech or language impairments,598,12,398,19,31,138,598,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Visual impairments,58,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Emotional disturbance,1420,11,1069,33,62,245,1420,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Orthopedic impairments,71,0,52,0,0,19,71,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Other health impairments,2664,20,1929,89,98,528,2664,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Specific learning disabilities,8393,NA,6738,232,351,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Deaf-blindness,5,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Multiple disabilities,457,0,377,NA,12,NA,457,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Autism,1042,11,700,27,33,271,1042,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Traumatic brain injury,69,NA,54,NA,NA,10,69,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,Developmental delay,1167,13,928,41,48,137,1167,NA,NA,NA,NA,NA,NA,NA,NA
2009,Hawaii,5,All disabilities,17502,143,13605,491,692,2571,17502,NA,NA,NA,NA,NA,NA,NA,NA
2009,Idaho,7,Mental retardation,1833,NA,NA,NA,NA,NA,NA,342,31,17,29,NA,1386,NA,1833
2009,Idaho,7,Hearing impairments,233,NA,NA,NA,NA,NA,NA,41,NA,6,8,NA,170,NA,233
2009,Idaho,7,Speech or language impairments,5222,NA,NA,NA,NA,NA,NA,657,113,58,61,20,4245,68,5222
2009,Idaho,7,Visual impairments,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,86
2009,Idaho,7,Emotional disturbance,1440,NA,NA,NA,NA,NA,NA,106,48,NA,42,7,1223,11,NA
2009,Idaho,7,Orthopedic impairments,116,NA,NA,NA,NA,NA,NA,16,NA,0,NA,0,96,0,116
2009,Idaho,7,Other health impairments,2870,NA,NA,NA,NA,NA,NA,241,74,12,50,9,2453,31,2870
2009,Idaho,7,Specific learning disabilities,8329,NA,NA,NA,NA,NA,NA,1533,246,33,122,31,6302,62,8329
2009,Idaho,7,Deaf-blindness,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
2009,Idaho,7,Multiple disabilities,475,NA,NA,NA,NA,NA,NA,63,8,NA,11,0,382,NA,475
2009,Idaho,7,Autism,1659,NA,NA,NA,NA,NA,NA,126,19,27,18,NA,1453,NA,1659
2009,Idaho,7,Traumatic brain injury,126,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,101,0,126
2009,Idaho,7,Developmental delay,1461,NA,NA,NA,NA,NA,NA,262,37,16,16,0,1111,19,1461
2009,Idaho,7,All disabilities,23855,NA,NA,NA,NA,NA,NA,3415,586,182,363,85,18996,228,23855
2009,Illinois,5,Mental retardation,21972,36,451,8555,3836,9094,21972,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Hearing impairments,3629,7,140,603,859,2020,3629,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Speech or language impairments,50763,99,1422,7664,8986,32592,50763,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Visual impairments,1079,NA,NA,224,181,633,1079,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Emotional disturbance,23862,53,213,8444,2571,12581,23862,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Orthopedic impairments,1741,NA,NA,341,344,1005,1741,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Other health impairments,25610,63,294,3673,2232,19348,25610,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Specific learning disabilities,124450,215,1413,31586,28128,63108,124450,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Deaf-blindness,41,0,NA,6,NA,27,41,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Multiple disabilities,1723,6,45,304,269,1099,1723,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Autism,13526,33,648,2253,1678,8914,13526,NA,NA,NA,NA,NA,NA,NA,NA
