year,state,disability,total_6to21,aian,api,black,hisp,white,total_ethnicity,tworace,el_yes,el_no
2008,Alabama,Aut,2958,22,29,945,57,1905,2958,NA,NA,NA
2008,Alabama,TBI,243,5,NA,86,NA,148,243,NA,NA,NA
2008,Alabama,DD,2596,13,18,1064,91,1410,2596,NA,NA,NA
2008,Alabama,All disabilities,75782,513,337,31871,1705,41356,75782,NA,NA,NA
2009,Alabama,ID,6402,39,NA,3221,114,2998,NA,NA,NA,NA
2009,Alabama,HI,922,8,14,366,42,492,922,NA,NA,NA
2009,Alabama,SLI,13693,91,96,4379,333,8794,13693,NA,NA,NA
2009,Alabama,VI,460,NA,NA,159,NA,281,460,NA,NA,NA
2009,Alabama,ED,1537,5,NA,592,18,921,NA,NA,NA,NA
2009,Alabama,OI,615,NA,NA,201,15,390,615,NA,NA,NA
2009,Alabama,OHI,6865,54,33,2141,97,4540,6865,NA,NA,NA
2009,Alabama,SLD,37393,234,NA,17540,1056,18450,NA,NA,NA,NA
2009,Alabama,DB,7,0,0,0,0,7,7,NA,NA,NA
2009,Alabama,MI,1348,7,9,547,33,752,1348,NA,NA,NA
2009,Alabama,Aut,3451,25,41,1065,67,2253,3451,NA,NA,NA
2009,Alabama,TBI,245,NA,NA,93,NA,142,245,NA,NA,NA
2009,Alabama,DD,2801,18,19,1118,129,1517,2801,NA,NA,NA
2009,Alabama,All disabilities,75739,496,367,31422,1917,41537,75739,NA,NA,NA
2010,Alabama,ID,6121,34,27,3061,118,2873,NA,NA,NA,NA
2010,Alabama,HI,918,8,13,351,49,497,918,0,NA,NA
2010,Alabama,SLI,13229,77,97,4027,392,8590,13229,46,NA,NA
2010,Alabama,VI,455,6,0,149,NA,281,455,NA,NA,NA
2010,Alabama,ED,1425,6,0,542,13,854,NA,7,NA,NA
2010,Alabama,OI,599,NA,5,200,16,372,599,NA,NA,NA
2010,Alabama,OHI,7757,56,32,2570,120,4957,7757,22,NA,NA
2010,Alabama,SLD,35987,225,99,16718,1143,17729,NA,70,NA,NA
2010,Alabama,DB,9,0,0,NA,0,NA,9,0,NA,NA
2010,Alabama,MI,1310,5,10,516,43,734,1310,NA,NA,NA
2010,Alabama,Aut,3985,23,47,1177,80,2648,3985,NA,NA,NA
2010,Alabama,TBI,244,NA,0,NA,NA,NA,244,NA,NA,NA
2010,Alabama,DD,2755,16,19,1079,142,1486,2755,13,NA,NA
2010,Alabama,All disabilities,74794,462,364,30486,2129,41169,74794,184,NA,NA
2011,Alabama,ID,5891,34,23,2968,121,2727,NA,17,NA,NA
2011,Alabama,HI,897,10,12,330,44,492,897,9,NA,NA
2011,Alabama,SLI,13109,NA,115,3921,380,8499,13109,102,NA,NA
2011,Alabama,VI,448,NA,0,145,16,274,448,NA,NA,NA
2011,Alabama,ED,1347,5,0,497,15,817,NA,12,NA,NA
2011,Alabama,OI,600,5,7,191,19,372,600,6,NA,NA
2011,Alabama,OHI,8072,71,NA,2743,120,5025,8072,69,NA,NA
2011,Alabama,SLD,33618,248,108,15467,1077,16571,33618,147,NA,NA
2011,Alabama,DB,10,0,0,0,0,NA,NA,0,NA,NA
2011,Alabama,MI,1294,6,11,504,42,726,1294,5,NA,NA
2011,Alabama,Aut,4418,NA,48,1316,85,2916,4418,26,NA,NA
2011,Alabama,TBI,244,NA,NA,96,5,NA,244,NA,NA,NA
2011,Alabama,DD,2846,20,18,1119,134,1522,2846,33,NA,NA
2011,Alabama,All disabilities,72794,519,400,29297,2058,40088,72794,432,NA,NA
2012,Alabama,All disabilities,72361,513,401,28811,2358,39628,72361,650,0,70785
2012,Alabama,Aut,4915,30,54,1455,119,3207,4915,50,NA,NA
2012,Alabama,DB,9,0,0,1,0,8,9,0,NA,NA
2012,Alabama,DD,2804,11,24,1158,142,1419,2804,50,NA,NA
2012,Alabama,ED,1322,3,0,484,14,799,1322,22,NA,NA
2012,Alabama,HI,869,7,15,309,48,482,869,8,NA,NA
2012,Alabama,ID,5942,37,29,3019,143,2689,5942,25,NA,NA
2012,Alabama,MI,1272,6,9,494,48,708,1272,7,NA,NA
2012,Alabama,OI,582,5,6,178,20,366,582,7,NA,NA
2012,Alabama,OHI,8763,69,41,3087,151,5310,8763,105,NA,NA
2012,Alabama,SLD,32112,244,111,14517,1183,15847,32112,210,NA,NA
2012,Alabama,SLI,13084,93,101,3870,472,8392,13084,156,NA,NA
2012,Alabama,TBI,220,3,3,92,3,118,220,1,NA,NA
2012,Alabama,VI,467,5,8,147,15,283,467,9,NA,NA
2013,Alabama,All disabilities,73565,535,441,28895,2751,40049,73565,894,1743,71822
2013,Alabama,Aut,5437,33,57,1622,138,3508,5437,79,78,5359
2013,Alabama,DB,10,0,0,1,0,9,10,0,0,10
2013,Alabama,DD,2914,13,28,1169,172,1461,2914,71,130,2784
2013,Alabama,ED,1322,6,1,495,20,776,1322,24,5,1317
2013,Alabama,HI,895,6,13,322,51,495,895,8,35,860
2013,Alabama,ID,6104,38,34,3127,165,2702,6104,38,128,5976
2013,Alabama,MI,1284,6,10,489,52,715,1284,12,21,1263
2013,Alabama,OI,566,4,9,165,24,357,566,7,12,554
2013,Alabama,OHI,9447,67,38,3454,193,5555,9447,140,93,9354
2013,Alabama,SLD,31647,251,121,13986,1357,15668,31647,264,890,30757
2013,Alabama,SLI,13227,104,118,3835,558,8374,13227,238,339,12888
2013,Alabama,TBI,231,3,2,91,6,126,231,3,3,228
2013,Alabama,VI,481,4,10,139,15,303,481,10,9,472
2014,Alabama,All disabilities,75204,538,458,28815,3244,40939,75204,1210,1930,73274
2014,Alabama,Aut,5840,34,60,1720,172,3741,5840,113,85,5755
2014,Alabama,DB,11,0,0,2,0,9,11,0,0,11
2014,Alabama,DD,3012,13,30,1196,172,1521,3012,80,136,2876
2014,Alabama,ED,1308,6,0,531,28,724,1308,19,8,1300
2014,Alabama,HI,908,5,15,313,64,500,908,11,43,865
2014,Alabama,ID,6217,33,34,3156,210,2726,6217,58,168,6049
2014,Alabama,MI,1271,4,13,495,59,688,1271,12,25,1246
2014,Alabama,OI,565,4,11,166,28,345,565,11,15,550
2014,Alabama,OHI,10163,78,43,3625,247,5979,10163,191,102,10061
2014,Alabama,SLD,31860,260,127,13566,1574,15933,31860,400,948,30912
2014,Alabama,SLI,13315,91,111,3810,662,8338,13315,303,387,12928
2014,Alabama,TBI,246,4,2,89,11,136,246,4,6,240
2014,Alabama,VI,488,6,12,146,17,299,488,8,7,481
2015,Alabama,All disabilities,76910,555,475,29067,3735,41790,76910,1288,2102,74808
2015,Alabama,Aut,6208,32,73,1853,226,3903,6208,121,109,6099
2015,Alabama,DB,15,0,0,3,1,11,15,0,0,15
2015,Alabama,DD,3080,13,30,1169,216,1573,3080,79,146,2934
2015,Alabama,ED,1348,5,0,541,30,748,1348,24,6,1342
2015,Alabama,HI,926,7,20,326,71,493,926,9,50,876
2015,Alabama,ID,6357,30,36,3204,242,2777,6357,68,199,6158
2015,Alabama,MI,1230,5,16,464,64,670,1230,11,28,1202
2015,Alabama,OI,537,3,13,161,29,320,537,11,16,521
2015,Alabama,OHI,10754,75,43,3868,300,6255,10754,213,135,10619
2015,Alabama,SLD,32392,286,120,13423,1788,16310,32392,465,1018,31374
2015,Alabama,SLI,13316,92,113,3800,735,8301,13316,275,384,12932
2015,Alabama,TBI,254,3,1,91,12,142,254,5,4,250
2015,Alabama,VI,493,4,10,164,21,287,493,7,7,486
2016,Alabama,All disabilities,79196,628,521,29727,4374,42426,79196,1520,2356,76840
2016,Alabama,Aut,6565,38,80,1966,282,4056,6565,143,143,6422
2016,Alabama,DB,15,0,0,1,2,11,15,1,1,14
2016,Alabama,DD,3238,18,26,1231,255,1623,3238,85,169,3069
2016,Alabama,ED,1333,6,2,553,33,717,1333,22,8,1325
2016,Alabama,HI,929,7,18,322,83,489,929,10,51,878
2016,Alabama,ID,6527,34,44,3258,322,2786,6527,83,253,6274
2016,Alabama,MI,1221,4,18,448,58,674,1221,19,25,1196
2016,Alabama,OI,527,2,11,149,29,322,527,14,18,509
2016,Alabama,OHI,11340,90,51,4132,370,6448,11340,249,154,11186
2016,Alabama,SLD,33556,310,136,13648,2132,16774,33556,556,1133,32423
2016,Alabama,SLI,13217,112,121,3770,769,8122,13217,323,388,12829
2016,Alabama,TBI,259,2,2,92,14,143,259,6,5,254
2016,Alabama,VI,469,5,12,157,25,261,469,9,8,461
2017,Alabama,All disabilities,82492,690,567,30770,4949,43860,82492,1656,3052,79440
2017,Alabama,Aut,7069,42,82,2092,343,4351,7069,159,170,6899
2017,Alabama,DB,13,0,0,1,0,12,13,0,0,13
2017,Alabama,DD,3316,15,36,1267,293,1617,3316,88,210,3106
2017,Alabama,ED,1365,8,2,535,31,768,1365,21,10,1355
2017,Alabama,HI,942,8,21,311,94,497,942,11,62,880
2017,Alabama,ID,6800,33,51,3436,339,2845,6800,96,284,6516
2017,Alabama,MI,1240,6,18,459,66,672,1240,19,29,1211
2017,Alabama,OI,512,2,11,149,28,310,512,12,20,492
2017,Alabama,OHI,12098,100,57,4509,425,6725,12098,282,202,11896
2017,Alabama,SLD,34899,341,150,13963,2502,17318,34899,625,1562,33337
2017,Alabama,SLI,13488,130,123,3797,783,8330,13488,325,475,13013
2017,Alabama,TBI,268,1,1,98,14,146,268,8,8,260
2017,Alabama,VI,482,4,15,153,31,269,482,10,20,462
2018,Alabama,All disabilities,85436,731,628,31528,5496,45220,85436,1833,3424,82012
2018,Alabama,Aut,7465,40,94,2213,387,4548,7465,183,205,7260
2018,Alabama,DB,12,0,1,1,1,8,12,1,0,12
2018,Alabama,DD,3419,16,42,1324,299,1662,3419,76,207,3212
2018,Alabama,ED,1406,11,1,527,40,803,1406,24,13,1393
2018,Alabama,HI,894,8,19,288,91,472,894,16,60,834
2018,Alabama,ID,7014,40,54,3548,388,2888,7014,96,315,6699
2018,Alabama,MI,1251,6,16,453,67,687,1251,22,33,1218
2018,Alabama,OI,508,2,11,162,32,290,508,11,26,482
2018,Alabama,OHI,12819,96,73,4849,466,7009,12819,326,228,12591
2018,Alabama,SLD,35963,359,159,14121,2817,17814,35963,693,1782,34181
2018,Alabama,SLI,13916,146,140,3786,865,8612,13916,367,527,13389
2018,Alabama,TBI,272,2,1,101,15,147,272,6,7,265
2018,Alabama,VI,497,5,17,155,28,280,497,12,21,476
2005,Alaska,ID,742,287,52,41,32,330,742,NA,NA,NA
2005,Alaska,HI,169,46,19,5,8,91,169,NA,NA,NA
2005,Alaska,SLI,3499,1207,176,175,137,1804,3499,NA,NA,NA
2005,Alaska,VI,40,NA,NA,NA,NA,23,40,NA,NA,NA
2005,Alaska,ED,745,225,20,69,21,410,745,NA,NA,NA
2005,Alaska,OI,69,18,NA,NA,NA,43,69,NA,NA,NA
2005,Alaska,OHI,967,351,29,30,24,533,967,NA,NA,NA
2005,Alaska,SLD,7872,2770,298,462,319,4023,7872,NA,NA,NA
2005,Alaska,DB,11,NA,NA,0,0,7,11,NA,NA,NA
2005,Alaska,MI,406,151,14,16,6,219,406,NA,NA,NA
2005,Alaska,Aut,390,48,21,23,20,278,390,NA,NA,NA
2005,Alaska,TBI,63,17,NA,NA,NA,36,63,NA,NA,NA
2005,Alaska,DD,942,340,49,56,54,443,942,NA,NA,NA
2005,Alaska,All disabilities,15915,5476,685,884,630,8240,15915,NA,NA,NA
2006,Alaska,ID,705,272,53,40,32,308,705,NA,NA,NA
2006,Alaska,HI,160,40,17,NA,NA,90,160,NA,NA,NA
2006,Alaska,SLI,2938,1139,162,100,103,1434,2938,NA,NA,NA
2006,Alaska,VI,35,8,NA,NA,NA,NA,35,NA,NA,NA
2006,Alaska,ED,726,218,14,76,22,396,726,NA,NA,NA
2006,Alaska,OI,72,19,NA,NA,NA,44,72,NA,NA,NA
2006,Alaska,OHI,1652,473,58,109,63,949,1652,NA,NA,NA
2006,Alaska,SLD,7545,2640,281,471,342,3811,7545,NA,NA,NA
2006,Alaska,DB,10,5,NA,0,0,NA,10,NA,NA,NA
2006,Alaska,MI,395,153,14,18,7,203,395,NA,NA,NA
2006,Alaska,Aut,454,62,25,18,26,323,454,NA,NA,NA
2006,Alaska,TBI,68,19,NA,NA,NA,39,68,NA,NA,NA
2006,Alaska,DD,1013,375,48,69,50,471,1013,NA,NA,NA
2006,Alaska,All disabilities,15773,5423,680,913,662,8095,15773,NA,NA,NA
2007,Alaska,ID,689,244,44,38,45,281,652,NA,NA,NA
2007,Alaska,HI,145,40,17,NA,NA,69,126,NA,NA,NA
2007,Alaska,SLI,2749,960,135,92,135,1290,2612,NA,NA,NA
2007,Alaska,VI,37,NA,0,NA,NA,NA,0,NA,NA,NA
2007,Alaska,ED,732,178,8,54,41,389,670,NA,NA,NA
2007,Alaska,OI,71,19,NA,5,NA,36,60,NA,NA,NA
2007,Alaska,OHI,1733,451,57,97,82,940,1627,NA,NA,NA
2007,Alaska,SLD,7410,2404,294,362,467,3395,6922,NA,NA,NA
2007,Alaska,DB,8,NA,NA,0,0,NA,0,NA,NA,NA
2007,Alaska,MI,390,145,15,17,15,175,367,NA,NA,NA
2007,Alaska,Aut,507,58,23,15,39,339,474,NA,NA,NA
2007,Alaska,TBI,65,16,NA,NA,NA,35,51,NA,NA,NA
2007,Alaska,DD,1045,347,48,45,73,447,960,NA,NA,NA
2007,Alaska,All disabilities,15581,4876,649,732,922,7420,14599,NA,NA,NA
2008,Alaska,ID,638,227,26,30,33,NA,638,NA,NA,NA
2008,Alaska,HI,152,38,20,NA,11,74,152,NA,NA,NA
2008,Alaska,SLI,2723,884,134,NA,NA,1288,2723,190,NA,NA
2008,Alaska,VI,43,NA,0,0,NA,NA,43,NA,NA,NA
2008,Alaska,ED,754,178,NA,45,40,393,754,81,NA,NA
2008,Alaska,OI,66,14,NA,NA,5,NA,66,NA,NA,NA
2008,Alaska,OHI,1869,460,49,96,98,1005,1869,161,NA,NA
2008,Alaska,SLD,7450,2326,135,NA,503,3400,7450,543,NA,NA
2008,Alaska,DB,5,NA,0,0,0,NA,5,0,NA,NA
2008,Alaska,MI,386,146,10,17,12,NA,386,32,NA,NA
2008,Alaska,Aut,575,62,21,NA,40,NA,575,43,NA,NA
2008,Alaska,TBI,48,10,0,5,NA,NA,48,NA,NA,NA
2008,Alaska,DD,1012,315,54,44,78,431,1012,90,NA,NA
2008,Alaska,All disabilities,15721,4671,246,NA,NA,7506,15721,1193,NA,NA
2009,Alaska,ID,629,204,46,38,37,NA,NA,44,NA,NA
2009,Alaska,HI,150,41,19,NA,12,70,150,NA,NA,NA
2009,Alaska,SLI,2637,811,149,90,142,1294,2637,151,NA,NA
2009,Alaska,VI,41,NA,NA,NA,NA,24,41,NA,NA,NA
2009,Alaska,ED,725,165,15,53,33,380,725,79,NA,NA
2009,Alaska,OI,67,14,NA,NA,6,36,67,NA,NA,NA
2009,Alaska,OHI,2015,518,62,123,111,1078,2015,123,NA,NA
2009,Alaska,SLD,7488,2382,223,363,500,3362,NA,504,NA,NA
2009,Alaska,DB,8,NA,0,0,0,5,NA,0,NA,NA
2009,Alaska,MI,398,147,23,17,21,165,398,25,NA,NA
2009,Alaska,Aut,648,75,27,NA,46,433,648,47,NA,NA
2009,Alaska,TBI,46,10,0,6,NA,24,NA,NA,NA,NA
2009,Alaska,DD,1054,292,66,51,73,474,1054,98,NA,NA
2009,Alaska,All disabilities,15906,4669,513,767,985,NA,15906,1084,NA,NA
2010,Alaska,ID,618,203,41,39,39,251,618,45,NA,NA
2010,Alaska,HI,150,47,23,NA,9,66,150,NA,NA,NA
2010,Alaska,SLI,2557,742,142,78,146,1248,2557,201,NA,NA
2010,Alaska,VI,40,NA,0,NA,NA,24,40,NA,NA,NA
2010,Alaska,ED,723,171,16,52,37,370,723,77,NA,NA
2010,Alaska,OI,68,13,NA,NA,NA,41,68,NA,NA,NA
2010,Alaska,OHI,2122,518,58,114,114,1153,2122,165,NA,NA
2010,Alaska,SLD,7445,2346,228,376,513,3240,NA,578,NA,NA
2010,Alaska,DB,8,NA,0,0,0,5,NA,0,NA,NA
2010,Alaska,MI,394,150,20,13,18,164,394,29,NA,NA
2010,Alaska,Aut,737,82,35,NA,54,491,737,49,NA,NA
2010,Alaska,TBI,43,10,0,6,NA,22,43,NA,NA,NA
2010,Alaska,DD,1039,291,57,39,69,475,1039,108,NA,NA
2010,Alaska,All disabilities,15944,4584,797,743,1004,7550,15944,1266,NA,NA
2011,Alaska,ID,614,206,49,37,42,239,614,41,NA,NA
2011,Alaska,HI,145,45,26,NA,9,57,145,NA,NA,NA
2011,Alaska,SLI,2447,685,131,69,147,1193,2447,222,NA,NA
2011,Alaska,VI,37,NA,0,NA,NA,NA,NA,NA,NA,NA
2011,Alaska,ED,669,154,8,59,29,339,NA,73,NA,NA
2011,Alaska,OI,65,13,NA,NA,NA,36,65,NA,NA,NA
2011,Alaska,OHI,2220,561,55,113,135,1167,2220,189,NA,NA
2011,Alaska,SLD,7407,2392,226,370,530,3093,NA,601,NA,NA
2011,Alaska,DB,5,NA,0,0,0,NA,5,0,NA,NA
2011,Alaska,MI,399,153,21,17,22,159,399,27,NA,NA
2011,Alaska,Aut,836,98,51,24,67,534,836,62,NA,NA
2011,Alaska,TBI,49,12,0,NA,NA,26,49,6,NA,NA
2011,Alaska,DD,996,295,59,44,65,424,996,109,NA,NA
2011,Alaska,All disabilities,15889,4624,838,742,1051,7290,15889,1344,NA,NA
2012,Alaska,All disabilities,15843,4595,876,740,1095,7095,15843,1442,2372,13471
2012,Alaska,Aut,925,115,62,30,72,574,925,72,NA,NA
2012,Alaska,DB,5,2,1,0,0,2,5,0,NA,NA
2012,Alaska,DD,1029,288,59,39,79,457,1029,107,NA,NA
2012,Alaska,ED,671,151,17,48,26,347,671,82,NA,NA
2012,Alaska,HI,161,44,33,3,11,59,161,11,NA,NA
2012,Alaska,ID,579,201,44,32,38,220,579,44,NA,NA
2012,Alaska,MI,409,157,22,13,16,172,409,29,NA,NA
2012,Alaska,OI,66,12,9,2,4,34,66,5,NA,NA
2012,Alaska,OHI,2381,579,52,116,164,1244,2381,226,NA,NA
2012,Alaska,SLD,7182,2338,423,383,537,2854,7182,647,NA,NA
2012,Alaska,SLI,2360,692,152,68,146,1091,2360,211,NA,NA
2012,Alaska,TBI,39,10,0,5,0,20,39,4,NA,NA
2012,Alaska,VI,36,6,2,1,2,21,36,4,NA,NA
2013,Alaska,All disabilities,15858,4691,910,679,1098,6950,15858,1530,2403,13455
2013,Alaska,Aut,1004,116,73,36,70,622,1004,87,66,938
2013,Alaska,DB,4,2,1,0,0,1,4,0,0,4
2013,Alaska,DD,1038,318,54,37,80,427,1038,122,145,893
2013,Alaska,ED,643,154,18,40,40,314,643,77,40,603
2013,Alaska,HI,162,43,30,5,15,56,162,13,26,136
2013,Alaska,ID,598,209,47,26,43,217,598,56,121,477
2013,Alaska,MI,432,154,26,15,21,182,432,34,47,385
2013,Alaska,OI,61,13,6,2,3,32,61,5,5,56
2013,Alaska,OHI,2445,609,62,115,158,1259,2445,242,151,2294
2013,Alaska,SLD,7089,2394,433,341,514,2744,7089,663,1443,5646
2013,Alaska,SLI,2293,659,157,56,150,1051,2293,220,353,1940
2013,Alaska,TBI,47,14,1,4,1,20,47,7,3,44
2013,Alaska,VI,42,6,2,2,3,25,42,4,3,39
2014,Alaska,All disabilities,15989,4698,932,653,1137,6912,15989,1657,2468,13521
2014,Alaska,Aut,1089,132,80,30,75,663,1089,109,77,1012
2014,Alaska,DB,4,2,1,0,0,1,4,0,0,4
2014,Alaska,DD,1130,340,67,41,81,470,1130,131,161,969
2014,Alaska,ED,662,176,20,31,40,320,662,75,53,609
2014,Alaska,HI,159,39,33,6,13,59,159,9,23,136
2014,Alaska,ID,613,232,49,28,44,203,613,57,127,486
2014,Alaska,MI,446,161,27,13,23,178,446,44,51,395
2014,Alaska,OI,61,12,8,4,1,31,61,5,7,54
2014,Alaska,OHI,2499,622,60,121,160,1256,2499,280,159,2340
2014,Alaska,SLD,7019,2315,447,331,551,2687,7019,688,1474,5545
2014,Alaska,SLI,2218,646,137,42,144,997,2218,252,333,1885
2014,Alaska,TBI,49,14,2,4,2,23,49,4,2,47
2014,Alaska,VI,40,7,1,2,3,24,40,3,1,39
2015,Alaska,All disabilities,16275,4692,948,630,1176,6975,16275,1854,2502,13773
2015,Alaska,Aut,1207,139,86,36,84,730,1207,132,81,1126
2015,Alaska,DB,2,1,1,0,0,0,2,0,0,2
2015,Alaska,DD,1114,361,61,45,81,398,1114,168,163,951
2015,Alaska,ED,665,172,21,29,36,321,665,86,58,607
2015,Alaska,HI,165,43,32,7,15,57,165,11,23,142
2015,Alaska,ID,606,217,52,25,43,215,606,54,118,488
2015,Alaska,MI,467,153,30,14,25,189,467,56,50,417
2015,Alaska,OI,63,10,9,3,1,35,63,5,5,58
2015,Alaska,OHI,2499,628,54,116,156,1229,2499,316,169,2330
2015,Alaska,SLD,7146,2367,468,301,570,2694,7146,746,1520,5626
2015,Alaska,SLI,2257,583,129,48,160,1065,2257,272,311,1946
2015,Alaska,TBI,43,8,2,3,2,23,43,5,2,41
2015,Alaska,VI,41,10,3,3,3,19,41,3,2,39
2016,Alaska,All disabilities,16490,4720,979,608,1173,6993,16490,2017,2484,14006
2016,Alaska,Aut,1325,166,96,39,81,766,1325,177,88,1237
2016,Alaska,DB,3,0,1,0,0,1,3,1,0,3
2016,Alaska,DD,1188,377,69,32,78,437,1188,195,168,1020
2016,Alaska,ED,663,170,21,18,40,322,663,92,59,604
2016,Alaska,HI,146,42,23,9,11,48,146,13,17,129
2016,Alaska,ID,586,220,55,27,37,196,586,51,130,456
2016,Alaska,MI,495,156,36,19,33,202,495,49,56,439
2016,Alaska,OI,58,10,8,0,1,34,58,5,4,54
2016,Alaska,OHI,2553,616,64,118,175,1228,2553,352,186,2367
2016,Alaska,SLD,7129,2343,465,295,560,2653,7129,813,1468,5661
2016,Alaska,SLI,2269,602,135,45,154,1071,2269,262,302,1967
2016,Alaska,TBI,38,8,2,4,1,19,38,4,1,37
2016,Alaska,VI,37,10,4,2,2,16,37,3,5,32
2017,Alaska,All disabilities,16718,4733,1002,569,1187,7045,16718,2182,2496,14222
2017,Alaska,Aut,1380,168,112,39,94,774,1380,193,105,1275
2017,Alaska,DB,4,1,1,0,1,0,4,1,0,4
2017,Alaska,DD,1208,359,79,37,82,464,1208,187,171,1037
2017,Alaska,ED,707,163,15,18,39,358,707,114,43,664
2017,Alaska,HI,162,46,24,8,9,59,162,16,19,143
2017,Alaska,ID,581,232,53,22,40,177,581,57,127,454
2017,Alaska,MI,545,166,45,23,33,215,545,63,60,485
2017,Alaska,OI,60,12,5,1,1,34,60,7,4,56
2017,Alaska,OHI,2631,647,76,114,175,1243,2631,376,202,2429
2017,Alaska,SLD,7075,2312,466,266,554,2600,7075,877,1459,5616
2017,Alaska,SLI,2292,606,122,36,155,1089,2292,284,300,1992
2017,Alaska,TBI,33,8,2,3,1,15,33,4,1,32
2017,Alaska,VI,40,13,2,2,3,17,40,3,5,35
2018,Alaska,All disabilities,17002,4742,1057,535,1193,7197,17002,2278,2406,14596
2018,Alaska,Aut,1451,184,115,35,107,802,1451,208,114,1337
2018,Alaska,DB,3,1,1,0,0,1,3,0,0,3
2018,Alaska,DD,1251,361,98,37,87,471,1251,197,175,1076
2018,Alaska,ED,745,175,16,20,41,372,745,121,51,694
2018,Alaska,HI,161,46,23,7,8,60,161,17,23,138
2018,Alaska,ID,568,230,53,19,37,170,568,59,126,442
2018,Alaska,MI,576,175,47,24,42,220,576,68,66,510
2018,Alaska,OI,52,10,4,1,1,26,52,10,3,49
2018,Alaska,OHI,2662,650,68,111,180,1257,2662,396,202,2460
2018,Alaska,SLD,7026,2297,476,238,523,2587,7026,905,1361,5665
2018,Alaska,SLI,2422,586,151,38,161,1201,2422,285,273,2149
