Created,10/5/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,1/21/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,American Indian or Alaska Native Age 3 to 5,Asian or Pacific Islander Age 3 to 5,Black (not Hispanic) Age 3 to 5,Hispanic Age 3 to 5,White (not Hispanic) Age 3 to 5,Age 3-5 Ethnicity Totals,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 6 to 21,American Indian or Alaska Native Age 6 to 21,Asian or Pacific Islander Age 6 to 21,Black (not Hispanic) Age 6 to 21,Hispanic Age 6 to 21,White (not Hispanic) Age 6 to 21,Age 6-21 Ethnicity Totals,Age 22,Age 6 to 22,Age 3-21 Totals
2005,"50 states, D.C. (including BIE schools)           ",Autism                             ,"6,680","9,702","13,778","30,160",156,"2,377","3,802","5,101","18,724","30,160","18,177","18,971","18,795","18,467","18,147","17,312","109,869","15,717","15,091","13,042","11,209","9,270","7,560","71,889","4,751","2,906","2,152","1,076","10,885","192,643","1,377","10,108","28,425","21,280","131,453","192,643",341,"62,316","222,803"
2005,"50 states, D.C. (including BIE schools)           ",Traumatic brain injury             ,220,351,498,"1,069",15,23,157,170,704,"1,069",694,944,"1,162","1,520","1,723","1,833","7,876","2,088","2,187","2,244","2,337","2,271","2,169","13,296","1,262",547,320,148,"2,277","23,449",338,580,"3,994","2,998","15,539","23,449",16,"5,985","24,518"
2005,"50 states, D.C. (including BIE schools)           ",Developmental delay                ,"72,193","106,096","82,194","260,483","4,746","7,779","45,424","37,091","165,443","260,483","34,930","27,495","13,624","2,866",0,0,"78,915",0,0,0,0,0,0,0,0,0,0,0,0,"78,915","2,922","2,037","17,501","7,335","49,120","78,915",0,"78,915","339,398"
2005,"50 states, D.C. (including BIE schools)           ",All disabilities                   ,"153,227","245,705","300,006","698,938","9,418","20,791","102,310","112,883","453,536","698,938","361,500","411,737","454,121","488,584","504,217","509,663","2,729,822","514,659","520,048","521,682","519,947","484,768","417,991","2,979,095","209,873","60,442","28,865","13,365","312,545","6,021,462","91,778","129,163","1,243,867","1,006,257","3,550,397","6,021,462","3,464","2,101,993","6,720,400"
2005,Alabama                                           ,Mental retardation                 ,0,0,         x,         x,0,0,         x,0,0,         x,49,134,281,448,546,660,"2,118",767,895,"1,066","1,121","1,105","1,075","6,029",778,315,167,41,"1,301","9,448",37,21,"5,324",89,"3,977","9,448",         x,         x,         x
2005,Alabama                                           ,Hearing impairments                ,22,23,40,85,0,         x,24,         x,54,85,50,59,61,61,82,66,379,88,79,86,71,78,78,480,55,24,         x,         x,91,950,         x,         x,405,22,511,950,0,950,"1,035"
2005,Alabama                                           ,Speech or language impairments     ,771,"1,625","3,005","5,401",16,61,"1,562",58,"3,704","5,401","3,694","3,381","2,724","2,032","1,459","1,055","14,345",731,525,382,315,281,225,"2,459",104,33,         x,         x,145,"16,949",90,103,"6,068",224,"10,464","16,949",0,"16,949","22,350"
2005,Alabama                                           ,Visual impairments                 ,8,10,19,37,0,0,         x,         x,25,37,         x,         x,39,40,39,33,         x,         x,54,41,47,         x,27,         x,23,         x,         x,0,         x,445,         x,0,168,         x,263,445,0,445,482
2005,Alabama                                           ,Emotional disturbance              ,0,0,         x,         x,0,0,         x,0,         x,         x,18,42,83,101,135,195,574,200,257,307,303,230,175,"1,472",85,34,20,8,147,"2,193",         x,         x,868,17,"1,294","2,193",0,"2,193",         x
2005,Alabama                                           ,Orthopedic impairments             ,27,16,34,77,0,0,         x,         x,50,77,39,43,46,47,52,54,281,46,49,46,31,42,39,253,34,         x,         x,0,51,585,         x,         x,165,11,403,585,0,585,662
2005,Alabama                                           ,Other health impairments           ,10,28,48,86,         x,0,21,         x,63,86,101,240,402,489,532,662,"2,426",706,657,672,638,497,416,"3,586",208,47,         x,         x,271,"6,283",37,18,"1,911",64,"4,253","6,283",0,"6,283","6,369"
2005,Alabama                                           ,Specific learning disabilities     ,         x,         x,11,18,0,0,8,0,10,18,121,691,"1,723","2,750","3,392","3,716","12,393","4,197","4,530","4,829","4,871","4,378","3,661","26,466","2,209",517,86,25,"2,837","41,696",296,113,"19,480",786,"21,021","41,696",0,"41,696","41,714"
2005,Alabama                                           ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,         x,0,         x,         x,0,         x,6,0,0,0,0,6,6,0,6,6
2005,Alabama                                           ,Multiple disabilities              ,31,33,28,92,0,0,43,5,44,92,56,76,84,102,123,97,538,116,119,99,102,95,95,626,76,70,58,15,219,"1,383",11,8,582,24,758,"1,383",0,"1,383","1,475"
2005,Alabama                                           ,Autism                             ,41,61,76,178,         x,         x,55,         x,117,178,130,177,182,194,193,152,"1,028",171,161,146,102,90,66,736,45,39,         x,         x,110,"1,874",12,20,679,26,"1,137","1,874",0,"1,874","2,052"
2005,Alabama                                           ,Traumatic brain injury             ,         x,         x,8,13,         x,0,         x,0,         x,13,         x,         x,         x,         x,15,15,         x,         x,30,         x,29,         x,35,         x,20,9,10,0,39,274,         x,0,91,         x,174,274,0,274,287
2005,Alabama                                           ,Developmental delay                ,517,790,916,"2,223",         x,         x,896,70,"1,228","2,223",964,803,         x,         x,0,0,"2,331",0,0,0,0,0,0,0,0,0,0,0,0,"2,331",11,18,952,46,"1,304","2,331",0,"2,331","4,554"
2005,Alabama                                           ,All disabilities                   ,"1,430","2,595","4,193","8,218",21,94,"2,651",144,"5,308","8,218","5,251","5,679","6,193","6,279","6,568","6,705","36,675","7,077","7,356","7,693","7,630","6,849","5,892","42,497","3,637","1,110",397,101,"5,245","84,417",529,310,"36,693","1,320","45,565","84,417",         x,         x,"92,635"
2005,Alaska                                            ,Mental retardation                 ,         x,         x,         x,5,         x,0,0,0,         x,5,7,17,23,56,44,55,202,52,62,66,82,71,72,405,44,42,24,25,135,742,287,52,41,32,330,742,         x,0,747
2005,Alaska                                            ,Hearing impairments                ,5,0,8,13,6,         x,0,         x,         x,13,12,15,13,14,13,13,80,9,16,13,14,9,21,82,         x,         x,         x,0,7,169,46,19,5,8,91,169,0,0,182
2005,Alaska                                            ,Speech or language impairments     ,107,194,307,608,215,         x,18,         x,337,608,549,515,450,500,394,277,"2,685",215,175,127,111,85,60,773,27,9,         x,         x,41,"3,499","1,207",176,175,137,"1,804","3,499",         x,0,"4,107"
2005,Alaska                                            ,Visual impairments                 ,         x,         x,         x,         x,         x,0,         x,0,         x,         x,6,         x,         x,         x,         x,         x,23,         x,         x,0,         x,         x,         x,12,         x,         x,0,0,5,40,         x,         x,         x,         x,23,40,0,0,         x
2005,Alaska                                            ,Emotional disturbance              ,0,0,0,0,0,0,0,0,0,0,7,19,24,39,53,65,207,67,83,92,87,85,75,489,33,8,         x,         x,49,745,225,20,69,21,410,745,0,0,745
2005,Alaska                                            ,Orthopedic impairments             ,         x,         x,         x,         x,         x,0,0,0,         x,         x,         x,6,9,5,         x,10,         x,7,6,         x,         x,         x,8,         x,         x,         x,0,0,         x,69,18,         x,         x,         x,43,69,0,0,         x
2005,Alaska                                            ,Other health impairments           ,5,6,12,23,         x,0,         x,0,14,23,19,35,48,77,87,95,361,103,91,106,109,85,73,567,24,12,         x,         x,39,967,351,29,30,24,533,967,0,0,990
2005,Alaska                                            ,Specific learning disabilities     ,         x,         x,7,10,         x,0,0,0,         x,10,57,229,508,649,740,795,"2,978",840,766,802,802,744,584,"4,538",283,56,         x,         x,356,"7,872","2,770",298,462,319,"4,023","7,872",0,0,"7,882"
2005,Alaska                                            ,Deaf-blindness                     ,0,0,         x,         x,         x,0,0,0,0,         x,         x,0,0,0,0,         x,         x,         x,0,         x,0,         x,0,         x,0,0,0,         x,         x,11,         x,         x,0,0,7,11,0,0,         x
2005,Alaska                                            ,Multiple disabilities              ,         x,         x,8,16,9,0,0,0,7,16,15,10,19,22,19,25,110,24,47,38,38,30,34,211,30,21,18,16,85,406,151,14,16,6,219,406,0,0,422
2005,Alaska                                            ,Autism                             ,         x,         x,14,         x,         x,         x,0,0,         x,         x,27,37,37,37,41,30,209,36,42,35,15,18,14,160,11,6,         x,         x,21,390,48,21,23,20,278,390,0,0,         x
2005,Alaska                                            ,Traumatic brain injury             ,0,         x,         x,         x,         x,0,0,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,7,11,8,         x,         x,         x,         x,0,0,10,63,17,         x,         x,         x,36,63,0,0,         x
2005,Alaska                                            ,Developmental delay                ,339,492,538,"1,369",411,53,74,49,782,"1,369",423,328,191,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,942,340,49,56,54,443,942,0,942,"2,311"
2005,Alaska                                            ,All disabilities                   ,477,704,901,"2,082",665,72,94,72,"1,179","2,082","1,130","1,217","1,327","1,406","1,400","1,375","7,855","1,360","1,294","1,291","1,272","1,143",949,"7,309",460,169,71,51,751,"15,915","5,476",685,884,630,"8,240","15,915",0,0,"17,997"
2005,American Samoa                                    ,Mental retardation                 ,0,0,0,0,0,0,0,0,0,0,         x,0,0,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,0,7,24,0,         x,         x,0,         x,24,0,0,24
2005,American Samoa                                    ,Hearing impairments                ,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,7,         x,0,         x,         x,         x,0,6,0,0,0,0,0,13,0,13,0,0,0,13,         x,0,13
2005,American Samoa                                    ,Speech or language impairments     ,         x,31,         x,55,0,55,0,0,0,55,         x,         x,         x,         x,0,         x,13,         x,         x,0,         x,0,0,6,0,0,         x,         x,0,19,         x,         x,0,0,0,19,         x,0,74
2005,American Samoa                                    ,Visual impairments                 ,         x,0,0,0,0,0,         x,0,         x,0,0,0,         x,0,0,         x,         x,         x,0,0,0,         x,0,         x,0,         x,0,         x,0,         x,0,         x,0,0,         x,         x,         x,0,         x
2005,American Samoa                                    ,Emotional disturbance              ,         x,         x,         x,         x,0,0,0,         x,0,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,         x,0,         x
2005,American Samoa                                    ,Orthopedic impairments             ,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,0,         x,         x,         x,0,0,0,0,0,         x,0,         x,         x,0,0,         x,0,         x,0,         x,         x,         x,0,0,         x
2005,American Samoa                                    ,Other health impairments           ,         x,         x,0,         x,0,         x,0,0,         x,         x,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,0,0,0,0,0,         x,         x,         x,0,0,0,         x,0,0,3
2005,American Samoa                                    ,Specific learning disabilities     ,         x,         x,         x,         x,0,         x,0,         x,         x,         x,27,52,83,108,124,139,533,151,110,79,67,48,33,488,         x,         x,0,0,7,"1,028",0,         x,0,0,         x,"1,028",0,0,         x
2005,American Samoa                                    ,Deaf-blindness                     ,         x,         x,         x,0,0,         x,0,         x,0,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,0,0,0,         x,         x,0,         x
2005,American Samoa                                    ,Multiple disabilities              ,0,         x,         x,         x,0,         x,         x,0,0,         x,         x,5,         x,         x,         x,         x,         x,         x,         x,         x,0,0,0,         x,         x,0,         x,0,         x,27,0,27,0,0,0,27,0,0,         x
2005,American Samoa                                    ,Autism                             ,0,0,0,0,0,0,         x,         x,0,0,0,0,0,0,0,0,0,         x,0,0,0,0,0,         x,0,0,0,         x,0,         x,0,         x,0,0,0,         x,0,0,         x
2005,American Samoa                                    ,Traumatic brain injury             ,0,         x,         x,0,0,0,0,0,0,0,0,         x,0,         x,0,         x,0,0,         x,         x,         x,0,0,0,         x,         x,0,         x,0,0,0,0,0,         x,0,0,0,0,0
2005,American Samoa                                    ,Developmental delay                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,0,0,0,0
2005,American Samoa                                    ,All disabilities                   ,24,39,17,80,0,80,0,0,0,80,35,62,91,116,128,148,580,166,116,86,75,54,35,532,14,         x,         x,0,19,"1,131",0,"1,126",0,0,5,"1,131",0,0,"1,211"
2005,Arizona                                           ,Mental retardation                 ,0,0,340,340,30,9,25,154,122,340,478,511,546,569,633,653,"3,390",684,679,686,701,634,600,"3,984",485,317,237,168,"1,207","8,581",676,121,745,"3,675","3,364","8,581",0,"8,581","8,921"
2005,Arizona                                           ,Hearing impairments                ,79,78,94,251,23,8,10,102,108,251,111,131,168,147,183,143,883,156,179,141,133,109,104,822,62,17,8,0,87,"1,792",166,52,63,735,776,"1,792",0,"1,792","2,043"
2005,Arizona                                           ,Speech or language impairments     ,0,         x,         x,"3,131",178,51,135,"1,159","1,608","3,131","4,682","4,209","3,531","2,791","1,982","1,338","18,533",728,435,228,145,79,64,"1,679",27,         x,         x,0,35,"20,247","1,190",443,971,"7,279","10,364","20,247",0,"20,247","23,378"
2005,Arizona                                           ,Visual impairments                 ,58,63,55,176,16,         x,         x,48,99,176,51,55,56,32,52,37,283,39,43,51,38,         x,         x,240,23,         x,         x,         x,32,555,76,13,29,183,254,555,0,555,731
2005,Arizona                                           ,Emotional disturbance              ,0,0,77,77,         x,0,         x,19,41,77,168,292,375,503,577,736,"2,651",732,935,945,926,838,640,"5,016",264,78,21,8,371,"8,038",436,42,834,"1,608","5,118","8,038",0,"8,038","8,115"
2005,Arizona                                           ,Orthopedic impairments             ,0,0,46,46,0,0,         x,         x,28,46,71,76,67,68,70,55,407,41,36,49,         x,         x,43,229,18,6,         x,         x,30,666,41,16,32,209,368,666,0,666,712
2005,Arizona                                           ,Other health impairments           ,0,0,112,112,         x,0,         x,41,61,112,186,297,378,475,538,569,"2,443",603,558,509,409,357,259,"2,695",126,19,         x,         x,160,"5,298",201,70,363,"1,118","3,546","5,298",0,"5,298","5,410"
2005,Arizona                                           ,Specific learning disabilities     ,0,0,289,289,22,5,19,138,105,289,666,"1,673","3,015","4,674","5,575","6,186","21,789","6,293","6,314","6,158","6,021","5,482","4,538","34,806","2,094",425,136,73,"2,728","59,323","5,565",505,"3,731","24,727","24,795","59,323",0,"59,323","59,612"
2005,Arizona                                           ,Deaf-blindness                     ,0,         x,         x,8,0,0,0,         x,         x,8,         x,7,6,         x,         x,7,29,6,         x,         x,         x,         x,         x,31,11,         x,         x,         x,17,77,6,0,5,25,41,77,0,77,85
2005,Arizona                                           ,Multiple disabilities              ,0,0,72,72,         x,         x,         x,24,39,72,103,116,140,149,151,167,826,169,169,177,183,158,132,988,140,75,76,49,340,"2,154",220,37,132,787,978,"2,154",0,"2,154","2,226"
2005,Arizona                                           ,Autism                             ,0,0,287,287,5,12,15,55,200,287,393,355,368,318,285,277,"1,996",236,257,193,163,133,116,"1,098",71,56,39,27,193,"3,287",77,106,191,758,"2,155","3,287",0,"3,287","3,574"
2005,Arizona                                           ,Traumatic brain injury             ,0,0,         x,10,         x,0,0,5,         x,10,         x,14,23,         x,         x,40,145,30,         x,         x,48,50,38,237,24,9,         x,         x,42,424,35,7,26,140,216,424,0,424,434
2005,Arizona                                           ,Developmental delay                ,"2,989","5,014","1,260","9,263",470,200,418,"3,438","4,737","9,263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,263"
2005,Arizona                                           ,All disabilities                   ,"3,126","5,176","5,760","14,062",759,291,653,"5,205","7,154","14,062","6,929","7,736","8,673","9,759","10,070","10,208","53,375","9,717","9,644","9,182","8,804","7,909","6,569","51,825","3,345","1,015",547,335,"5,242","110,442","8,689","1,412","7,122","41,244","51,975","110,442",0,"110,442","124,504"
2005,Arkansas                                          ,Mental retardation                 ,0,0,138,138,         x,         x,36,14,86,138,241,357,446,569,638,803,"3,054",793,953,"1,045","1,091","1,134","1,026","6,042",628,130,         x,         x,786,"9,882",45,36,"4,354",314,"5,133","9,882",0,0,"10,020"
2005,Arkansas                                          ,Hearing impairments                ,15,18,23,56,0,         x,7,         x,44,56,35,38,36,43,57,52,261,56,50,48,45,52,45,296,25,         x,         x,0,32,589,         x,         x,122,43,410,589,0,0,645
2005,Arkansas                                          ,Speech or language impairments     ,680,"1,391","2,413","4,484",23,31,832,135,"3,463","4,484","2,939","2,649","1,913","1,326",968,575,"10,370",426,287,213,153,113,77,"1,269",31,         x,0,         x,36,"11,675",93,111,"2,362",551,"8,558","11,675",0,0,"16,159"
2005,Arkansas                                          ,Visual impairments                 ,         x,         x,10,14,0,0,         x,0,         x,14,         x,16,15,         x,20,14,82,26,23,16,19,9,18,111,         x,         x,0,0,13,206,         x,         x,40,8,153,206,0,0,220
2005,Arkansas                                          ,Emotional disturbance              ,0,0,         x,         x,0,0,0,0,         x,         x,         x,         x,40,39,59,64,229,91,86,104,80,87,84,532,23,         x,         x,0,27,788,         x,         x,168,17,593,788,0,0,         x
2005,Arkansas                                          ,Orthopedic impairments             ,         x,         x,13,20,0,0,         x,         x,16,20,         x,         x,12,21,13,16,         x,15,         x,12,21,         x,         x,         x,         x,0,         x,0,         x,172,         x,         x,         x,10,125,172,0,0,192
2005,Arkansas                                          ,Other health impairments           ,7,5,81,93,0,         x,25,         x,59,93,161,304,458,585,631,775,"2,914",831,847,865,889,778,609,"4,819",282,44,6,0,332,"8,065",47,21,"1,569",155,"6,273","8,065",0,0,"8,158"
2005,Arkansas                                          ,Specific learning disabilities     ,0,0,92,92,         x,         x,11,7,71,92,216,494,954,"1,358","1,729","1,972","6,723","2,183","2,330","2,538","2,604","2,610","2,405","14,670","1,259",162,         x,         x,"1,452","22,845",190,93,"5,862","1,249","15,451","22,845",0,0,"22,937"
2005,Arkansas                                          ,Deaf-blindness                     ,0,         x,0,         x,0,0,0,0,         x,         x,0,0,         x,         x,0,0,         x,         x,0,0,0,         x,0,         x,0,         x,0,0,         x,8,0,0,         x,0,         x,8,0,0,         x
2005,Arkansas                                          ,Multiple disabilities              ,7,11,63,81,0,0,22,5,54,81,96,98,102,91,105,112,604,90,101,102,96,92,80,561,47,22,24,0,93,"1,258",8,6,348,48,848,"1,258",0,0,"1,339"
2005,Arkansas                                          ,Autism                             ,12,29,65,106,         x,         x,15,6,81,106,115,105,130,136,119,139,744,111,138,116,86,79,61,591,26,         x,8,         x,43,"1,378",10,19,239,32,"1,078","1,378",0,0,"1,484"
2005,Arkansas                                          ,Traumatic brain injury             ,         x,         x,         x,         x,0,0,0,0,         x,         x,         x,         x,         x,15,11,9,         x,         x,         x,14,16,18,         x,         x,         x,         x,0,0,19,162,         x,         x,40,5,         x,162,0,0,         x
2005,Arkansas                                          ,Developmental delay                ,"1,545","2,883",768,"5,196",11,34,"1,796",322,"3,033","5,196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,196"
2005,Arkansas                                          ,All disabilities                   ,"2,272","4,345","3,669","10,286",39,71,"2,749",503,"6,924","10,286","3,843","4,089","4,116","4,196","4,350","4,531","25,125","4,633","4,842","5,073","5,100","4,982","4,430","29,060","2,355",386,         x,         x,"2,843","57,028",406,312,"15,142","2,432","38,736","57,028",0,0,"67,314"
2005,BIE schools                                       ,Mental retardation                 ,0,0,         x,         x,         x,0,0,0,0,         x,12,22,21,25,34,36,150,40,43,49,32,35,41,240,25,         x,         x,         x,32,422,416,0,         x,0,         x,422,0,0,         x
2005,BIE schools                                       ,Hearing impairments                ,0,0,         x,         x,         x,0,0,0,0,         x,         x,         x,         x,         x,         x,9,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,0,         x,45,         x,0,0,0,         x,45,0,0,         x
2005,BIE schools                                       ,Speech or language impairments     ,0,         x,         x,208,         x,0,0,0,         x,208,274,232,188,136,         x,         x,         x,67,46,18,         x,12,         x,         x,         x,0,0,0,         x,"1,183","1,172",0,         x,0,         x,"1,183",0,0,"1,391"
2005,BIE schools                                       ,Visual impairments                 ,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,0,0,         x,         x,         x,         x,         x,0,         x,0,         x,0,0,         x,0,         x,18,18,0,0,0,0,18,0,0,18
2005,BIE schools                                       ,Emotional disturbance              ,0,0,0,0,0,0,0,0,0,0,7,7,20,16,22,51,123,56,69,64,59,52,45,345,19,         x,         x,0,28,496,480,0,         x,         x,11,496,0,0,496
2005,BIE schools                                       ,Orthopedic impairments             ,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,         x,         x,         x,0,0,0,         x,0,         x,         x,0,0,0,0,0,         x,         x,0,0,0,0,         x,0,0,         x
2005,BIE schools                                       ,Other health impairments           ,0,         x,         x,         x,         x,0,0,0,0,         x,8,12,28,30,45,44,167,31,23,31,23,24,20,152,10,         x,0,         x,12,331,323,0,0,0,8,331,0,0,         x
2005,BIE schools                                       ,Specific learning disabilities     ,0,0,         x,         x,         x,0,0,0,0,         x,38,106,200,287,315,438,"1,384",486,510,482,434,470,395,"2,777",223,51,         x,         x,296,"4,457","4,432",0,0,0,25,"4,457",0,0,         x
2005,BIE schools                                       ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,0,0,         x,0,0,0,         x,0,0,0,0,0,         x,         x,0,0,0,0,         x,0,0,         x
2005,BIE schools                                       ,Multiple disabilities              ,0,0,         x,         x,         x,0,0,0,0,         x,8,         x,13,         x,10,13,52,13,15,16,12,17,9,82,5,         x,         x,0,11,145,145,0,0,0,0,145,0,0,         x
2005,BIE schools                                       ,Autism                             ,0,0,         x,         x,         x,0,0,0,0,         x,         x,         x,6,         x,0,         x,         x,         x,9,         x,         x,         x,         x,         x,0,         x,0,0,         x,34,         x,0,0,0,         x,34,0,0,         x
2005,BIE schools                                       ,Traumatic brain injury             ,0,0,0,0,0,0,0,0,0,0,0,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,0,0,         x,25,25,0,0,0,0,25,0,0,25
2005,BIE schools                                       ,Developmental delay                ,0,         x,         x,107,         x,0,0,0,         x,107,81,94,68,53,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,296,         x,0,0,0,         x,296,0,296,403
2005,BIE schools                                       ,All disabilities                   ,0,20,310,330,325,0,0,0,5,330,437,488,548,561,552,675,"3,261",702,722,669,579,625,519,"3,816",288,68,27,5,388,"7,465","7,393",0,         x,         x,63,"7,465",0,0,"7,795"
2005,California                                        ,Mental retardation                 ,"1,074","1,405","1,696","4,175",24,361,379,"2,351","1,060","4,175","1,877","2,121","2,250","2,366","2,629","2,732","13,975","2,896","3,097","3,009","3,154","2,994","2,900","18,050","2,228","1,643","1,382","1,247","6,500","38,525",320,"3,274","4,714","19,304","10,913","38,525",0,0,"42,700"
