Created,1/19/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,10/18/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,3/22/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,American Indian or Alaska Native Age 3 to 5,Asian or Pacific Islander Age 3 to 5,Black (not Hispanic) Age 3 to 5,Hispanic Age 3 to 5,White (not Hispanic) Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 6 to 21,American Indian or Alaska Native Age 6 to 21,Asian or Pacific Islander Age 6 to 21,Black (not Hispanic) Age 6 to 21,Hispanic Age 6 to 21,White (not Hispanic) Age 6 to 21,"Ages3_21
Total "
2007,Alaska                                            ,Speech or language impairments     ,105,187,264,556,206,11,15,12,302,509,518,448,409,309,217,"2,410",113,73,53,34,32,21,326,         x,         x,0,0,13,"2,749",960,135,92,135,"1,290","3,305"
2007,Alaska                                            ,Visual impairments                 ,         x,0,         x,5,         x,0,         x,0,         x,         x,         x,5,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,         x,         x,37,         x,0,         x,         x,         x,42
2007,Alaska                                            ,Emotional disturbance              ,0,0,0,0,0,0,0,0,0,         x,         x,         x,56,46,78,225,60,82,78,88,78,63,449,45,10,         x,         x,58,732,178,8,54,41,389,732
2007,Alaska                                            ,Orthopedic impairments             ,         x,         x,         x,9,         x,         x,         x,         x,         x,         x,7,7,5,9,         x,36,         x,10,6,7,         x,         x,35,0,0,0,0,0,71,19,         x,5,         x,36,80
2007,Alaska                                            ,Other health impairments           ,         x,         x,11,21,6,0,0,0,14,30,68,90,148,147,169,652,194,181,183,162,148,124,992,68,12,         x,         x,89,"1,733",451,57,97,82,940,"1,754"
2007,Alaska                                            ,Specific learning disabilities     ,         x,         x,0,         x,         x,0,0,0,         x,34,248,479,647,707,686,"2,801",754,698,720,681,727,617,"4,197",297,78,31,6,412,"7,410","2,404",294,362,467,"3,395",         x
2007,Alaska                                            ,Deaf-blindness                     ,         x,         x,0,         x,         x,0,0,0,         x,0,         x,         x,0,0,0,         x,0,         x,         x,         x,0,         x,         x,         x,         x,0,0,         x,8,         x,         x,0,0,         x,         x
2007,Alaska                                            ,Multiple disabilities              ,6,7,7,20,13,         x,         x,0,         x,9,18,15,24,23,20,109,24,29,28,39,36,34,190,20,28,23,20,91,390,145,15,17,15,175,410
2007,Alaska                                            ,Autism                             ,7,11,13,31,         x,         x,0,         x,21,33,38,40,51,50,37,249,49,37,38,44,33,19,220,15,10,7,6,38,507,58,23,15,39,339,538
2007,Alaska                                            ,Traumatic brain injury             ,         x,0,         x,         x,         x,0,0,0,         x,0,         x,         x,         x,         x,         x,         x,         x,5,         x,5,7,17,         x,6,         x,         x,         x,12,65,16,         x,         x,         x,35,         x
2007,Alaska                                            ,Developmental delay                ,323,424,546,"1,293",270,61,59,97,677,412,365,268,0,0,0,"1,045",         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,"1,045",347,48,45,73,447,"2,338"
2007,Alaska                                            ,All disabilities                   ,459,641,854,"1,954",508,76,77,115,"1,035","1,051","1,308","1,419","1,402","1,360","1,287","7,827","1,254","1,184","1,177","1,129","1,148",984,"6,876",523,182,105,68,878,"15,581","4,876",649,732,922,"7,420","17,535"
2007,American Samoa                                    ,Mental retardation                 ,0,0,0,0,         x,         x,         x,         x,         x,         x,         x,         x,0,0,         x,5,         x,         x,         x,0,         x,         x,12,         x,0,         x,0,5,22,0,         x,         x,0,0,22
2007,American Samoa                                    ,Hearing impairments                ,         x,0,         x,         x,         x,         x,0,0,0,0,         x,0,         x,         x,         x,6,         x,         x,         x,         x,         x,0,6,         x,         x,0,         x,0,12,         x,         x,0,0,0,         x
2007,American Samoa                                    ,Speech or language impairments     ,40,64,36,140,0,         x,         x,         x,0,8,6,         x,         x,         x,0,         x,         x,         x,0,0,0,0,         x,0,0,0,0,0,19,0,         x,0,0,         x,159
2007,American Samoa                                    ,Visual impairments                 ,0,0,0,0,         x,         x,         x,0,         x,         x,0,0,0,         x,0,         x,         x,         x,0,0,0,0,         x,0,0,0,0,0,         x,         x,         x,0,0,         x,         x
2007,American Samoa                                    ,Emotional disturbance              ,         x,         x,0,0,         x,         x,         x,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,0,         x,0,0,0,0,0,0,0,0
2007,American Samoa                                    ,Orthopedic impairments             ,0,0,0,0,         x,         x,         x,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,0,0
2007,American Samoa                                    ,Other health impairments           ,0,0,0,0,         x,         x,         x,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,0,         x,0,0,0,0,0,0,0,0
2007,American Samoa                                    ,Specific learning disabilities     ,0,         x,         x,         x,         x,17,         x,0,         x,18,31,53,68,88,99,357,97,105,124,97,70,42,535,         x,         x,0,0,14,906,0,         x,0,0,         x,         x
2007,American Samoa                                    ,Deaf-blindness                     ,         x,         x,         x,         x,         x,0,0,         x,0,0,         x,         x,         x,         x,         x,         x,0,0,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,         x,0,         x,0,         x,0,         x
2007,American Samoa                                    ,Multiple disabilities              ,         x,         x,         x,         x,         x,         x,         x,0,0,         x,         x,         x,         x,         x,         x,         x,5,0,         x,         x,         x,         x,         x,         x,0,         x,0,         x,29,0,29,0,0,0,         x
2007,American Samoa                                    ,Autism                             ,0,0,0,0,         x,         x,         x,0,         x,         x,         x,0,0,0,0,         x,         x,0,0,         x,0,0,         x,0,0,0,0,0,         x,         x,         x,0,0,0,         x
2007,American Samoa                                    ,Traumatic brain injury             ,         x,         x,         x,         x,         x,0,0,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,0,         x,         x,         x,0,         x,         x,0,         x,         x,         x,         x,0,0,         x
2007,American Samoa                                    ,Developmental delay                ,0,0,0,0,         x,         x,         x,         x,0,         x,         x,0,         x,0,0,0,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,0,         x,         x,         x,0,         x,0
2007,American Samoa                                    ,All disabilities                   ,43,74,52,169,0,169,0,0,0,30,43,58,76,95,104,406,105,110,130,102,76,49,572,16,         x,         x,0,24,"1,002",0,         x,0,0,         x,"1,171"
2007,Arizona                                           ,Mental retardation                 ,0,0,302,302,         x,         x,19,149,121,465,509,527,537,566,542,"3,146",644,626,642,617,594,644,"3,767",433,306,227,169,"1,135","8,048",623,138,689,"3,647","2,951","8,350"
2007,Arizona                                           ,Hearing impairments                ,         x,         x,77,152,17,         x,         x,57,71,107,127,127,118,164,128,771,155,129,107,138,102,94,725,60,13,         x,         x,81,"1,577",127,60,61,631,698,"1,729"
2007,Arizona                                           ,Speech or language impairments     ,0,         x,         x,"2,894",177,58,119,"1,159","1,381","4,540","4,287","3,634","2,852","2,080","1,313","18,706",804,441,233,121,80,57,"1,736",34,         x,         x,0,42,"20,484","1,202",441,"1,027","7,928","9,886","23,378"
2007,Arizona                                           ,Visual impairments                 ,38,43,30,111,13,         x,         x,37,51,47,46,52,60,64,38,307,46,40,31,47,47,33,244,19,6,         x,         x,28,579,64,         x,         x,202,268,690
2007,Arizona                                           ,Emotional disturbance              ,0,0,75,75,         x,         x,7,27,36,195,311,386,476,557,690,"2,615",706,806,794,843,794,669,"4,612",308,84,39,8,439,"7,666",394,60,873,"1,608","4,731","7,741"
2007,Arizona                                           ,Orthopedic impairments             ,0,0,59,59,         x,         x,         x,         x,32,76,87,60,80,69,63,435,68,61,39,44,59,43,314,25,16,15,5,61,810,49,18,42,272,429,869
2007,Arizona                                           ,Other health impairments           ,0,0,105,105,7,         x,         x,36,54,227,354,447,585,638,722,"2,973",712,728,687,592,518,432,"3,669",193,45,         x,         x,257,"6,899",295,81,496,"1,540","4,487","7,004"
2007,Arizona                                           ,Specific learning disabilities     ,0,0,281,281,37,         x,         x,128,99,636,"1,603","2,858","4,190","5,116","5,758","20,161","5,939","6,044","5,726","5,442","5,106","4,654","32,911","2,229",418,141,49,"2,837","55,909","5,006",495,"3,730","24,623","22,055","56,190"
2007,Arizona                                           ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,         x,         x,0,0,0,0,         x,0,0,0,0,0,6,         x,0,0,         x,         x,6
2007,Arizona                                           ,Multiple disabilities              ,0,0,59,59,         x,         x,         x,24,         x,105,121,132,124,133,142,757,155,134,144,136,138,128,835,99,62,72,48,281,"1,873",181,41,106,681,864,"1,932"
2007,Arizona                                           ,Autism                             ,0,         x,         x,352,8,29,16,106,193,537,510,491,443,419,378,"2,778",334,317,255,283,214,172,"1,575",104,69,45,38,256,"4,609",131,163,281,"1,097","2,937","4,961"
2007,Arizona                                           ,Traumatic brain injury             ,         x,0,         x,10,         x,0,0,         x,         x,8,16,26,         x,         x,         x,         x,         x,         x,19,24,33,26,         x,14,         x,         x,         x,25,297,         x,         x,         x,         x,         x,307
2007,Arizona                                           ,Developmental delay                ,"3,103","4,822","1,261","9,186",432,213,412,"3,730","4,399",0,0,0,0,0,0,0,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,0,0,0,0,0,0,"9,186"
2007,Arizona                                           ,All disabilities                   ,"3,176","4,916","5,494","13,586",711,324,608,"5,478","6,465","6,943","7,971","8,740","9,482","9,836","9,805","52,777","9,584","9,353","8,677","8,287","7,685","6,952","50,538","3,518","1,028",570,326,"5,442","108,757","8,106","1,515","7,356","42,326","49,454","122,343"
2007,Arkansas                                          ,Mental retardation                 ,0,0,123,123,         x,0,44,         x,68,201,296,372,447,459,564,"2,339",649,756,739,868,882,929,"4,823",616,121,         x,         x,761,"7,923",35,35,"3,373",340,"4,140","8,046"
2007,Arkansas                                          ,Hearing impairments                ,14,18,24,56,0,         x,13,         x,38,32,38,46,37,37,52,242,54,47,53,47,48,39,288,24,5,0,0,29,559,         x,         x,116,62,366,615
2007,Arkansas                                          ,Speech or language impairments     ,691,"1,390","2,320","4,401",24,33,844,211,"3,289","2,950","2,624","1,929","1,561","1,065",692,"10,821",435,248,207,139,134,101,"1,264",52,5,0,0,57,"12,142",106,144,"2,559",760,"8,573","16,543"
2007,Arkansas                                          ,Visual impairments                 ,         x,         x,7,15,0,0,         x,0,         x,         x,         x,         x,23,17,         x,81,22,         x,29,26,         x,18,126,         x,         x,0,0,9,216,         x,         x,45,11,155,231
2007,Arkansas                                          ,Emotional disturbance              ,         x,0,         x,         x,         x,0,0,0,         x,11,26,41,39,60,61,238,67,80,101,99,106,91,544,         x,         x,         x,0,35,817,         x,         x,164,29,617,         x
2007,Arkansas                                          ,Orthopedic impairments             ,         x,         x,14,26,         x,         x,6,         x,16,         x,19,         x,14,15,23,         x,19,         x,15,15,         x,22,         x,         x,         x,0,0,         x,198,         x,         x,         x,8,146,224
2007,Arkansas                                          ,Other health impairments           ,11,12,75,98,0,0,         x,         x,68,164,282,441,593,698,728,"2,906",747,810,820,813,816,777,"4,783",346,41,         x,         x,390,"8,079",58,22,"1,606",198,"6,195","8,177"
2007,Arkansas                                          ,Specific learning disabilities     ,0,0,78,78,0,         x,15,         x,56,136,353,760,"1,271","1,546","1,867","5,933","1,952","2,127","2,286","2,410","2,440","2,330","13,545","1,210",185,         x,         x,"1,434","20,912",191,83,"5,563","1,411","13,664","20,990"
2007,Arkansas                                          ,Deaf-blindness                     ,         x,         x,0,         x,         x,0,0,0,         x,         x,0,0,0,0,         x,         x,         x,0,         x,0,0,0,         x,         x,         x,0,0,         x,8,0,0,         x,0,         x,         x
2007,Arkansas                                          ,Multiple disabilities              ,29,40,66,135,         x,         x,30,12,91,87,101,108,105,103,96,600,123,112,90,89,100,93,607,62,26,         x,         x,104,"1,311",6,8,346,67,884,"1,446"
2007,Arkansas                                          ,Autism                             ,28,44,135,207,         x,         x,36,11,157,174,135,177,166,174,171,997,134,146,130,135,128,90,763,61,11,         x,         x,77,"1,837",16,32,269,64,"1,456","2,044"
2007,Arkansas                                          ,Traumatic brain injury             ,         x,         x,         x,9,0,0,         x,0,         x,         x,         x,         x,10,11,17,         x,         x,16,         x,19,15,23,         x,9,         x,         x,         x,16,168,         x,         x,40,8,         x,177
2007,Arkansas                                          ,Developmental delay                ,"2,301","3,506",835,"6,642",9,43,"2,265",477,"3,848",0,0,0,0,0,0,0,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,0,0,0,0,0,0,"6,642"
2007,Arkansas                                          ,All disabilities                   ,"3,083","5,026","3,686","11,795",37,84,"3,285",735,"7,654","3,773","3,896","3,902","4,266","4,185","4,289","24,311","4,214","4,367","4,485","4,660","4,699","4,513","26,938","2,418",412,81,10,"2,921","54,170",426,346,"14,122","2,958","36,318","65,965"
2007,BIE schools                                       ,Mental retardation                 ,         x,0,         x,         x,         x,         x,0,0,0,20,         x,         x,26,33,38,146,36,41,29,36,34,35,211,14,         x,         x,0,37,394,394,0,0,0,0,         x
2007,BIE schools                                       ,Hearing impairments                ,         x,0,         x,         x,         x,         x,0,0,0,         x,         x,         x,0,         x,         x,         x,         x,5,         x,         x,0,         x,         x,         x,         x,0,0,         x,41,         x,0,0,0,         x,         x
2007,BIE schools                                       ,Speech or language impairments     ,0,14,190,204,         x,0,0,0,         x,292,240,215,158,97,67,"1,069",55,40,19,         x,         x,5,133,0,0,0,0,0,"1,202","1,178",         x,0,         x,21,"1,406"
2007,BIE schools                                       ,Visual impairments                 ,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,         x,0,         x,0,         x,         x,         x,         x,0,         x,         x,         x,0,0,         x,19,19,0,0,0,0,19
2007,BIE schools                                       ,Emotional disturbance              ,         x,0,         x,         x,         x,         x,0,0,0,         x,16,         x,24,38,43,138,48,67,52,49,45,39,300,         x,         x,0,0,11,449,         x,0,0,0,         x,         x
2007,BIE schools                                       ,Orthopedic impairments             ,         x,0,         x,         x,         x,         x,0,0,0,         x,0,         x,         x,0,0,         x,         x,0,         x,         x,0,         x,         x,         x,         x,0,0,         x,         x,         x,0,0,0,         x,         x
2007,BIE schools                                       ,Other health impairments           ,         x,0,         x,         x,         x,         x,0,0,0,         x,         x,24,29,37,47,163,36,52,42,23,28,27,208,6,         x,         x,0,11,382,376,0,0,0,6,         x
2007,BIE schools                                       ,Specific learning disabilities     ,0,         x,         x,9,9,0,0,0,0,40,108,163,263,312,359,"1,245",349,407,413,371,359,328,"2,227",211,59,         x,         x,284,"3,756","3,725",0,0,7,24,"3,765"
2007,BIE schools                                       ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,         x,         x,0,0,0,0,         x,0,0,0,0,0,0,0,         x,0,0,         x,         x,         x,         x,         x,0,0,0,         x
2007,BIE schools                                       ,Multiple disabilities              ,         x,0,         x,         x,         x,         x,0,0,0,         x,7,         x,5,         x,11,48,10,12,12,13,         x,         x,59,         x,         x,         x,         x,13,120,         x,0,0,0,         x,         x
2007,BIE schools                                       ,Autism                             ,         x,0,         x,5,         x,0,0,0,         x,         x,         x,         x,8,         x,6,         x,         x,         x,         x,6,         x,         x,         x,         x,         x,0,0,         x,54,48,0,0,0,6,59
2007,BIE schools                                       ,Traumatic brain injury             ,0,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,         x,25,25,0,0,0,0,25
2007,BIE schools                                       ,Developmental delay                ,0,         x,         x,90,         x,0,0,         x,0,98,89,60,31,0,0,278,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,278,275,0,0,         x,         x,368
2007,BIE schools                                       ,All disabilities                   ,0,18,307,325,316,0,0,         x,         x,479,497,517,550,540,581,"3,164",548,631,578,515,482,449,"3,203",252,86,21,6,365,"6,732","6,651",         x,0,         x,69,"7,057"
2007,California                                        ,Mental retardation                 ,982,"1,308","1,540","3,830",18,381,339,"2,204",888,"1,833","2,037","2,131","2,298","2,384","2,550","13,233","2,696","2,857","2,947","3,110","3,070","3,122","17,802","2,391","1,827","1,577","1,369","7,164","38,199",306,"3,287","4,560","19,996","10,050","42,029"
2007,California                                        ,Hearing impairments                ,388,409,430,"1,227",7,148,69,614,389,530,609,679,775,847,877,"4,317",858,926,851,845,850,781,"5,111",363,136,87,54,640,"10,068",58,"1,077",754,"5,080","3,099","11,295"
2007,California                                        ,Speech or language impairments     ,"9,392","15,715","18,298","43,405",335,"3,641","2,607","21,119","15,703","22,725","23,219","21,390","18,548","13,922","9,746","109,550","6,756","4,927","3,307","2,626","2,072","1,729","21,417",547,82,28,17,674,"131,641","1,104","12,714","9,193","62,094","46,536","175,046"
2007,California                                        ,Visual impairments                 ,126,188,184,498,8,45,39,220,186,189,264,254,275,282,281,"1,545",297,310,305,306,302,325,"1,845",128,68,64,38,298,"3,688",22,371,340,"1,588","1,367","4,186"
2007,California                                        ,Emotional disturbance              ,6,11,64,81,         x,         x,15,20,42,228,477,735,"1,143","1,373","1,799","5,755","2,187","2,628","3,018","3,526","3,954","3,922","19,235","1,532",354,163,68,"2,117","27,107",380,874,"6,018","6,959","12,876","27,188"
2007,California                                        ,Orthopedic impairments             ,555,669,723,"1,947",8,157,132,962,688,801,923,883,949,912,935,"5,403","1,038",927,986,947,872,842,"5,612",556,428,336,264,"1,584","12,599",78,"1,103","1,049","5,817","4,552","14,546"
2007,California                                        ,Other health impairments           ,650,754,807,"2,211",9,196,178,957,871,"1,297","1,874","2,616","3,310","3,826","4,167","17,090","4,322","4,370","4,381","4,080","3,872","3,522","24,547","1,267",223,106,45,"1,641","43,278",448,"1,806","5,558","13,400","22,066","45,489"
2007,California                                        ,Specific learning disabilities     ,"1,165","1,440","1,629","4,234",18,210,377,"2,978",651,"2,473","6,713","12,829","19,603","24,051","27,967","93,636","30,206","30,761","30,589","31,089","32,120","31,533","186,298","11,420","1,747",376,175,"13,718","293,652","2,727","10,865","39,242","162,614","78,204","297,886"
2007,California                                        ,Deaf-blindness                     ,10,13,8,31,         x,         x,         x,15,10,11,10,12,8,9,8,58,12,12,13,10,9,14,70,         x,         x,6,8,22,150,         x,14,         x,68,58,181
2007,California                                        ,Multiple disabilities              ,205,273,246,724,5,97,57,315,250,258,291,309,295,304,296,"1,753",313,306,328,322,312,323,"1,904",261,210,205,171,847,"4,504",32,477,517,"1,892","1,586","5,228"
